cbg_id,store_id,rank,distance,geometry,Origin,Destination
410510001011,0,0,565.902,"LINESTRING (-122.6507453 45.461473, -122.6510168 45.4614733, -122.6510219 45.4621789, -122.6510972 45.4621792, -122.6524681 45.4621847, -122.6525903 45.4621852, -122.6525918 45.4622511, -122.6529089 45.462498, -122.6529094 45.4628274, -122.6530066 45.4628273, -122.6530068 45.462892, -122.6530074 45.4630977, -122.6530088 45.4636063, -122.6530069 45.4639213, -122.6530065 45.4639886, -122.6530054 45.4643211, -122.6535005 45.4643207, -122.653821 45.4643205, -122.653973 45.4643204)","(45.461473, -122.65074529999997)","(45.4643204, -122.653973)"
410510001011,5,1,1822.21,"LINESTRING (-122.6507453 45.461473, -122.6510168 45.4614733, -122.6510219 45.4621789, -122.6510222 45.4622524, -122.6510234 45.4625374, -122.6510247 45.4628289, -122.651025 45.4628936, -122.6510226 45.463608, -122.6510229 45.4639041, -122.6510233 45.4643246, -122.6510217 45.4646149, -122.6510195 45.465037, -122.6510196 45.465749, -122.6510162 45.466301, -122.6510158 45.4664635, -122.6510206 45.46718, -122.6510152 45.467888, -122.6510098 45.468605, -122.6510124 45.469399, -122.6498942 45.4694125, -122.6499141 45.4701271, -122.6499244 45.4708449, -122.6499447 45.4715576, -122.6499647 45.47226939999999, -122.6499878 45.4729851, -122.6499928 45.4732083, -122.6500037 45.47370079999999, -122.6500071 45.47386449999998, -122.6500187 45.4744165, -122.650023 45.4746215, -122.6500296 45.4749346, -122.6500338 45.4751334, -122.6493735 45.4751398, -122.649334 45.4751402, -122.6489396 45.4753312, -122.6489632 45.4755259, -122.6490085 45.4759017, -122.6490388 45.4761523)","(45.461473, -122.65074529999997)","(45.4761523, -122.6490388)"
410510001012,0,0,397.294,"LINESTRING (-122.6550011 45.4614638, -122.6549964 45.4621838, -122.6549878 45.4628951, -122.6549929 45.46360539999998, -122.6541926 45.46360579999999, -122.654193 45.4637388, -122.6541943 45.4641875, -122.6541947 45.4643203, -122.653973 45.4643204)","(45.4614638, -122.65500109999998)","(45.4643204, -122.653973)"
410510001012,5,1,1987.15,"LINESTRING (-122.6550011 45.4614638, -122.6549964 45.4621838, -122.6549878 45.4628951, -122.6549929 45.46360539999998, -122.6549927 45.4639038, -122.6549925 45.4643303, -122.6550007 45.4650399, -122.655 45.4651076, -122.6550009 45.4656873, -122.6550013 45.4657506, -122.6550049 45.466466, -122.6549928 45.4671768, -122.6550004 45.4678972, -122.6549954 45.46859619999999, -122.6549963 45.4693153, -122.6549904 45.4700314, -122.6549845 45.4707458, -122.652995 45.471488, -122.6525808 45.4729602, -122.6517244 45.4736805, -122.650405 45.4736936, -122.6500037 45.47370079999999, -122.6500071 45.47386449999998, -122.6500187 45.4744165, -122.650023 45.4746215, -122.6500296 45.4749346, -122.6500338 45.4751334, -122.6493735 45.4751398, -122.649334 45.4751402, -122.6489396 45.4753312, -122.6489632 45.4755259, -122.6490085 45.4759017, -122.6490388 45.4761523)","(45.4614638, -122.65500109999998)","(45.4761523, -122.6490388)"
410510001013,0,0,815.942,"LINESTRING (-122.6608907 45.4621308, -122.659975 45.4621071, -122.6598726 45.4621594, -122.6590083 45.4621864, -122.6579909 45.4621831, -122.6569783 45.4621868, -122.6549964 45.4621838, -122.6549878 45.4628951, -122.6549929 45.46360539999998, -122.6541926 45.46360579999999, -122.654193 45.4637388, -122.6541943 45.4641875, -122.6541947 45.4643203, -122.653973 45.4643204)","(45.4621308, -122.6608907)","(45.4643204, -122.653973)"
410510001013,4,1,2240.364,"LINESTRING (-122.6608907 45.4621308, -122.659975 45.4621071, -122.660543 45.4629011, -122.6600221 45.4629022, -122.6600432 45.4636141, -122.6600481 45.4642287, -122.6600482 45.4643338, -122.6601437 45.464331, -122.668286 45.46427570000002, -122.6683572 45.4642759, -122.6685491 45.4643755, -122.6687012 45.4644679, -122.6697399 45.4667271, -122.6700855 45.4673766, -122.6710664 45.4684221, -122.6713225 45.4689251, -122.6715472 45.4697544, -122.6715525 45.469807, -122.6716251 45.4703517, -122.6716841 45.47097619999999, -122.6716664 45.4712934, -122.6715671 45.47135419999999, -122.6715235 45.4716574, -122.6715136 45.4717407, -122.6714331 45.4729951, -122.67157 45.4729812, -122.6720939 45.472975, -122.6722829 45.4729766, -122.672664 45.4729799, -122.6726905 45.4725143)","(45.4621308, -122.6608907)","(45.4725143, -122.67269049999999)"
410510001021,5,0,1922.583,"LINESTRING (-122.6551785 45.4811774, -122.655042 45.48103350000002, -122.6548581 45.4809768, -122.6547567 45.4808823, -122.6542862 45.48078149999998, -122.653791 45.4812715, -122.6532614 45.4817027, -122.6517475 45.4816155, -122.6499505 45.485625, -122.6497332 45.4856556, -122.6496004 45.4853176, -122.6495981 45.48511770000002, -122.6496106 45.4846884, -122.6496238 45.4842401, -122.6496257 45.4841777, -122.6496333 45.483925, -122.6496159 45.4835501, -122.6496237 45.4833042, -122.6496294 45.4831219, -122.6496303 45.4830818, -122.649639 45.4826722, -122.6496468 45.4823631, -122.6496603 45.4816668, -122.6496103 45.4811794, -122.6495869 45.4809613, -122.6495741 45.480845, -122.6494832 45.4800301, -122.6494093 45.479326, -122.64938 45.47905469999998, -122.6493342 45.4786205, -122.6493071 45.4783895, -122.6493021 45.47834670000001, -122.649288 45.478227, -122.6492565 45.4779587, -122.6492487 45.4778923, -122.6492129 45.4775941, -122.6492016 45.4775003, -122.6491812 45.4773298, -122.6491637 45.4771831, -122.649151 45.477074, -122.6491426 45.4769982, -122.6491339 45.4769301, -122.6491116 45.4767557, -122.6490855 45.4765396, -122.6490766 45.4764656, -122.6490709 45.4764182, -122.6490388 45.4761523)","(45.4811774, -122.6551785)","(45.4761523, -122.6490388)"
410510001021,26,1,2220.526,"LINESTRING (-122.6551785 45.4811774, -122.655042 45.48103350000002, -122.6548581 45.4809768, -122.6547567 45.4808823, -122.6542862 45.48078149999998, -122.653791 45.4812715, -122.6532614 45.4817027, -122.6517475 45.4816155, -122.6499505 45.485625, -122.6497332 45.4856556, -122.6497503 45.4856976, -122.6497936 45.4858002, -122.6498738 45.4859808, -122.6501548 45.48669249999998, -122.6504209 45.4875632, -122.6507223 45.48859680000001, -122.6507579 45.4887352, -122.6507903 45.4888644, -122.6508658 45.4891684, -122.650944 45.4894834, -122.6509792 45.4896276, -122.6511607 45.490337, -122.6513935 45.49085139999998, -122.6516033 45.4913304, -122.6516442 45.4914114, -122.6519198 45.4920272, -122.6519671 45.49212789999999, -122.6522289 45.492718, -122.6523751 45.4930366, -122.6526001 45.493548, -122.6528001 45.49399919999998, -122.652995 45.49460710000001, -122.6531122 45.49497319999998, -122.6532469 45.49540859999998, -122.6534398 45.4960796, -122.6535258 45.4963782, -122.6536478 45.4968008, -122.6537518 45.4971768, -122.6538457 45.4975064)","(45.4811774, -122.6551785)","(45.4975064, -122.6538457)"
410510001022,0,0,793.452,"LINESTRING (-122.6529956 45.4707781, -122.6529987 45.4700542, -122.6529953 45.46935, -122.6529978 45.46860079999998, -122.6530007 45.4682119, -122.6530031 45.46788669999999, -122.653 45.4671708, -122.6530004 45.4664603, -122.6530015 45.4660987, -122.6530037 45.4657507, -122.6530029 45.465684, -122.653002 45.4652283, -122.6530033 45.4650975, -122.6530044 45.4650381, -122.6530064 45.4646529, -122.6530054 45.4643211, -122.6535005 45.4643207, -122.653821 45.4643205, -122.653973 45.4643204)","(45.4707781, -122.6529956)","(45.4643204, -122.653973)"
410510001022,5,1,850.958,"LINESTRING (-122.6529956 45.4707781, -122.652995 45.471488, -122.6525808 45.4729602, -122.6517244 45.4736805, -122.650405 45.4736936, -122.6500037 45.47370079999999, -122.6500071 45.47386449999998, -122.6500187 45.4744165, -122.650023 45.4746215, -122.6500296 45.4749346, -122.6500338 45.4751334, -122.6493735 45.4751398, -122.649334 45.4751402, -122.6489396 45.4753312, -122.6489632 45.4755259, -122.6490085 45.4759017, -122.6490388 45.4761523)","(45.4707781, -122.6529956)","(45.4761523, -122.6490388)"
