cbg_id,store_id,rank,distance,geometry,Origin,Destination
371830501001,10,0,1205.733,"LINESTRING (-78.63437450000002 35.7809849, -78.63469190000001 35.7809985, -78.6346925 35.780985, -78.63470340000001 35.78073590000001, -78.63473159999999 35.7803865, -78.634736 35.7803151, -78.63483429999999 35.7803033, -78.6349252 35.7802879, -78.6349396 35.78029570000001, -78.635272 35.7801134, -78.6364186 35.7795901, -78.63650920000001 35.7795916, -78.6366072 35.779596, -78.63707460000001 35.7796127, -78.63806310000001 35.7796505, -78.63814309999999 35.7796557, -78.6382467 35.7796555, -78.6390016 35.7796761, -78.6390751 35.7796783, -78.6391405 35.7796802, -78.6392101 35.7796829, -78.63928369999999 35.7796862, -78.64000969999999 35.779716, -78.6400259 35.7796433, -78.6400366 35.7795613, -78.6401224 35.7795658, -78.6402415 35.7795674, -78.6407766 35.7795898, -78.6412919 35.77961, -78.6416579 35.7796277, -78.64167 35.7796145, -78.641766 35.7796142, -78.6418582 35.7796154, -78.6418663 35.7796283, -78.6420227 35.7796368, -78.6428112 35.7796576, -78.64307169999999 35.7796675, -78.6431876 35.7794323, -78.6433444 35.7791702, -78.6433514 35.7790423, -78.64344149999999 35.7789766, -78.643468 35.7784871, -78.6435673 35.7784912, -78.6445569 35.7785259, -78.6450229 35.7785427, -78.6450232 35.7785496, -78.64510319999999 35.7785556, -78.645201 35.7785615, -78.64520229999999 35.7785545)","(35.7809849, -78.63437450000002)","(35.7785545, -78.6452023)"
371830501001,17,1,1662.443,"LINESTRING (-78.63437450000002 35.7809849, -78.63469190000001 35.7809985, -78.634686 35.7810496, -78.63478480000001 35.7810547, -78.6347817 35.781145, -78.6347608 35.7816128, -78.63475889999999 35.7816562, -78.63472770000001 35.7823317, -78.63481229999999 35.7823342, -78.63481350000001 35.7824058, -78.6348431 35.7825161, -78.635063 35.7825067, -78.63520800000001 35.7827826, -78.6352359 35.7833115, -78.6358578 35.7833225, -78.6359465 35.7834393, -78.63612620000001 35.7836777, -78.6361826 35.7837141, -78.63626549999999 35.7837162, -78.63637 35.7837221, -78.6367616 35.7837355, -78.63783890000001 35.7837717, -78.6378498 35.7837783, -78.6378462 35.7838322, -78.6379348 35.7838352, -78.63802149999999 35.7838383, -78.63875160000001 35.7838644, -78.6388053 35.7838656, -78.6389406 35.7838688, -78.638977 35.7838689, -78.6390329 35.7838703, -78.6390878 35.7838716, -78.6398082 35.78389610000001, -78.63991 35.7839, -78.64 35.7839029, -78.6407987 35.7839302, -78.64144760000001 35.7839529, -78.6415508 35.7839558, -78.64164529999999 35.7839593, -78.64175539999999 35.7839628, -78.6418303 35.7839653, -78.64198399999999 35.78397, -78.6421672 35.7839767, -78.6425558 35.7839899, -78.64309950000001 35.7840083, -78.64319120000002 35.7840115, -78.64331300000001 35.7840171, -78.6433797 35.7840191, -78.6438866 35.7840352, -78.6439728 35.7840384, -78.64482310000001 35.7840702, -78.6448074 35.7846094, -78.6448011 35.7847724, -78.64479799999999 35.784824, -78.6447876 35.7849464, -78.644746 35.785245, -78.6444987 35.7862289, -78.6444561 35.7869506, -78.64444829999999 35.7870596, -78.6444448 35.7871626, -78.64434900000001 35.7877224, -78.6444405 35.787753, -78.6445873 35.7878103, -78.64462810000001 35.7878266)","(35.7809849, -78.63437450000002)","(35.7878266, -78.6446281)"
371830501002,10,0,682.362,"LINESTRING (-78.64043150000001 35.7757238, -78.64039699999999 35.7762895, -78.6403607 35.7768863, -78.64183090000002 35.7769397, -78.641912 35.7769472, -78.6420083 35.7769583, -78.64202520000001 35.77702020000001, -78.6420339 35.7771099, -78.642033 35.7772707, -78.6421895 35.7772715, -78.6424335 35.7774929, -78.64265390000001 35.7776775, -78.6427412 35.7776838, -78.642746 35.7777589, -78.64297999999999 35.7779715, -78.64315879999999 35.7781203, -78.6433401 35.7781346, -78.6433285 35.7783176, -78.643477 35.7783281, -78.6435711 35.7783346, -78.6440338 35.778357, -78.64489949999999 35.7783988, -78.6450305 35.7784113, -78.6450272 35.7784691, -78.6451067 35.7784763, -78.6452056 35.7784899, -78.64520229999999 35.7785545)","(35.7757238, -78.6404315)","(35.7785545, -78.6452023)"
371830501002,8,1,847.324,"LINESTRING (-78.64043150000001 35.7757238, -78.64189279999999 35.7757604, -78.64197880000002 35.7757625, -78.6420629 35.7757646, -78.6420653 35.7756926, -78.6420691 35.7756215, -78.64210749999999 35.7749796, -78.642134 35.7745167, -78.6425483 35.7745231, -78.6425496 35.7744446, -78.64276479999999 35.7744505, -78.64293739999999 35.7744544, -78.6433136 35.7744646, -78.6433445 35.774391, -78.6436144 35.7743996, -78.6436258 35.7743423, -78.6436941 35.7743435, -78.64374960000001 35.7736444, -78.643843 35.7732694, -78.6439663 35.773066, -78.6440156 35.7729644, -78.6441533 35.7724489, -78.64416420000001 35.7722985, -78.645624 35.7723046, -78.64561759999999 35.7724397, -78.6458401 35.7724356)","(35.7757238, -78.6404315)","(35.7724356, -78.6458401)"
371830501003,17,0,782.847,"LINESTRING (-78.64166640000001 35.7834141, -78.6416571 35.7835784, -78.6416473 35.7837831, -78.6417239 35.7839039, -78.64175899999999 35.7839069, -78.641989 35.783915, -78.6420249 35.7839171, -78.6421701 35.7839245, -78.6421672 35.7839767, -78.6425558 35.7839899, -78.64309950000001 35.7840083, -78.64319120000002 35.7840115, -78.64331300000001 35.7840171, -78.6433797 35.7840191, -78.6438866 35.7840352, -78.6439728 35.7840384, -78.64482310000001 35.7840702, -78.6448074 35.7846094, -78.6448011 35.7847724, -78.64479799999999 35.784824, -78.6447876 35.7849464, -78.644746 35.785245, -78.6444987 35.7862289, -78.6444561 35.7869506, -78.64444829999999 35.7870596, -78.6444448 35.7871626, -78.64434900000001 35.7877224, -78.6444405 35.787753, -78.6445873 35.7878103, -78.64462810000001 35.7878266)","(35.7834141, -78.6416664)","(35.7878266, -78.6446281)"
371830501003,10,1,837.83,"LINESTRING (-78.64166640000001 35.7834141, -78.6416723 35.7833321, -78.641683 35.7831103, -78.6417186 35.7827322, -78.6417107 35.7827252, -78.64171039999999 35.7826451, -78.6417151 35.7825733, -78.6417435 35.782013, -78.6417594 35.7816854, -78.6417723 35.7813929, -78.6417579 35.7813803, -78.64176980000001 35.7813037, -78.64177909999999 35.7812339, -78.6418158 35.7806165, -78.64182340000001 35.7804959, -78.64182719999999 35.7803916, -78.6418419 35.7800611, -78.6418609 35.7797789, -78.64186580000001 35.7797047, -78.6418663 35.7796283, -78.6420227 35.7796368, -78.6428112 35.7796576, -78.64307169999999 35.7796675, -78.6431876 35.7794323, -78.6433444 35.7791702, -78.6433514 35.7790423, -78.64344149999999 35.7789766, -78.643468 35.7784871, -78.6435673 35.7784912, -78.6445569 35.7785259, -78.6450229 35.7785427, -78.6450232 35.7785496, -78.64510319999999 35.7785556, -78.645201 35.7785615, -78.64520229999999 35.7785545)","(35.7834141, -78.6416664)","(35.7785545, -78.6452023)"
371830503001,17,0,969.708,"LINESTRING (-78.64796029999999 35.7933149, -78.647407 35.7930204, -78.64690779999999 35.7929389, -78.6469443 35.7922852, -78.64702130000001 35.79131619999998, -78.64702749999999 35.79126139999999, -78.64697099999999 35.791263, -78.64702 35.790937, -78.647158 35.790021, -78.6471938 35.7893344, -78.6472108 35.78892930000001, -78.6472191 35.7887129, -78.6471727 35.788647, -78.64715630000002 35.7885833, -78.6470685 35.788583, -78.64706150000001 35.7885771, -78.646582 35.7885775, -78.64617579999999 35.7885827, -78.64562859999999 35.7885773, -78.6455656 35.7885806, -78.6453298 35.7885604, -78.6452299 35.788538, -78.6451941 35.78855320000001, -78.64483749999999 35.7885572, -78.6442711 35.7885182, -78.64432239999999 35.7882389, -78.6442897 35.7881042, -78.6444405 35.787753, -78.6445873 35.7878103, -78.64462810000001 35.7878266)","(35.7933149, -78.6479603)","(35.7878266, -78.6446281)"
371830503001,20,1,1471.145,"LINESTRING (-78.64796029999999 35.7933149, -78.6481101 35.7932402, -78.64991209999999 35.7934154, -78.6501037 35.7933923, -78.65081929999999 35.7929791, -78.6506126 35.7928345, -78.6506899 35.7925732, -78.6508352 35.7923547, -78.6507896 35.7922895, -78.650685 35.7920545, -78.65094019999999 35.7917738, -78.6520397 35.7917299, -78.6521109 35.7917216, -78.6522027 35.7917112, -78.6523184 35.791698, -78.6528282 35.7915573, -78.6528239 35.79140849999999, -78.65340569999999 35.7911437, -78.6540011 35.7910951, -78.656413 35.7910134, -78.65689329999999 35.7910123, -78.65698519999999 35.79101210000001, -78.6575028 35.7909977, -78.65782350000001 35.7909907, -78.6582804 35.7909793, -78.65859639999999 35.7909735, -78.65859450000001 35.7909085, -78.65925780000001 35.7908912, -78.6592667 35.790875, -78.6593199 35.7908758, -78.6593161 35.7907523, -78.65931209999999 35.7906297, -78.6592935 35.790052, -78.65929149999999 35.7899896, -78.6592761 35.7895174, -78.659272 35.78939049999999, -78.6592624 35.7890956)","(35.7933149, -78.6479603)","(35.7890956, -78.6592624)"
371830503002,17,0,466.123,"LINESTRING (-78.64873919999999 35.7874664, -78.64795049999999 35.7874346, -78.6477702 35.7874328, -78.6473234 35.7874189, -78.647215 35.787419, -78.647116 35.7874151, -78.64711560000001 35.7874002, -78.6465998 35.7873808, -78.64610070000001 35.7873623, -78.6456937 35.7873365, -78.6455891 35.7873291, -78.64549100000001 35.7873183, -78.6450212 35.7871925, -78.6448666 35.787162, -78.64458430000001 35.7871604, -78.644576 35.7871693, -78.6444405 35.787753, -78.6445873 35.7878103, -78.64462810000001 35.7878266)","(35.7874664, -78.6487392)","(35.7878266, -78.6446281)"
371830503002,20,1,1030.474,"LINESTRING (-78.64873919999999 35.7874664, -78.6487576 35.787453, -78.64883039999999 35.7874557, -78.6489157 35.7874588, -78.6489244 35.7874679, -78.6492291 35.7874798, -78.6497825 35.7875025, -78.649914 35.7875071, -78.6500027 35.78751029999999, -78.6500594 35.7874974, -78.6501323 35.7875095, -78.65050859999999 35.7875234, -78.65082099999999 35.7875257, -78.6508285 35.787518, -78.6508932 35.7875261, -78.65095599999999 35.7875339, -78.65097160000001 35.7875463, -78.6511418 35.7875474, -78.65227950000001 35.78772969999999, -78.65229789999999 35.7877241, -78.65235060000001 35.7877223, -78.6523942 35.7877209, -78.6524038 35.7877273, -78.6549409 35.78851289999999, -78.6550179 35.7885234, -78.6550799 35.7886159, -78.65601169999999 35.7890697, -78.6560616 35.7890754, -78.6564872 35.78908189999999, -78.6571612 35.7890656, -78.65785390000001 35.7890458, -78.65788540000001 35.7890451, -78.65794030000001 35.7890435, -78.65810620000001 35.7890388, -78.65886639999999 35.7890272, -78.65919479999999 35.7890242, -78.6591966 35.7890975, -78.6592624 35.7890956)","(35.7874664, -78.6487392)","(35.7890956, -78.6592624)"
