cbg_id,store_id,rank,distance,geometry,Origin,Destination
320310017032,37,0,408.529,"LINESTRING (-119.7844675 39.5511778, -119.7831851 39.5523556, -119.7830973 39.5525162, -119.7825798 39.552981, -119.7823541 39.5538823, -119.7824853 39.5538828, -119.7824859 39.5539692)","(39.5511778, -119.7844675)","(39.5539692, -119.78248589999998)"
320310017032,38,1,1124.916,"LINESTRING (-119.7844675 39.5511778, -119.7869631 39.5511334, -119.7873553 39.5512198, -119.7890343 39.5516505, -119.7892781 39.5516885, -119.7893273 39.5516979, -119.7895141 39.55185, -119.789893 39.5528217, -119.7903319 39.5539285, -119.7906549 39.55474130000001, -119.7909867 39.555572, -119.7911118 39.5558839, -119.7911914 39.5560802, -119.7911069 39.5562839, -119.7911586 39.5563054, -119.7911652 39.5564027, -119.7911733 39.5565511, -119.7911733 39.55666080000002, -119.7912131 39.5566766, -119.791406 39.5571375, -119.7912673 39.5571418, -119.7910825 39.5571476, -119.7909323 39.5571523, -119.7908682 39.5571543)","(39.5511778, -119.7844675)","(39.5571543, -119.7908682)"
320310015032,36,0,463.534,"LINESTRING (-119.8028027 39.5466186, -119.8022346 39.5466258, -119.8020693 39.5464889, -119.8010675 39.5470673, -119.8002825 39.5472674, -119.799805 39.5473037, -119.7986178 39.5475577, -119.7986234 39.5478167, -119.7986303 39.5481358)","(39.5466186, -119.8028027)","(39.5481358, -119.7986303)"
320310015032,38,1,2006.095,"LINESTRING (-119.8028027 39.5466186, -119.8022346 39.5466258, -119.8020693 39.5464889, -119.8010675 39.5470673, -119.8002825 39.5472674, -119.799805 39.5473037, -119.7986178 39.5475577, -119.7981394 39.5477914, -119.7978593 39.5481073, -119.7977483 39.5482606, -119.7974011 39.5489521, -119.7974299 39.5497574, -119.7966592 39.5505746, -119.7966613 39.5507834, -119.7966634 39.55093939999998, -119.7956064 39.5521774, -119.7955724 39.552287, -119.7954442 39.552509, -119.7953889 39.5525587, -119.7946378 39.5527941, -119.793668 39.5527997, -119.7936905 39.5531275, -119.7938263 39.5537223, -119.7938326 39.5543992, -119.7928333 39.5552207, -119.7928393 39.5555684, -119.7920732 39.5555672, -119.7915228 39.55586620000001, -119.7911118 39.5558839, -119.7911914 39.5560802, -119.7911069 39.5562839, -119.7911586 39.5563054, -119.7911652 39.5564027, -119.7911733 39.5565511, -119.7911733 39.55666080000002, -119.7912131 39.5566766, -119.791406 39.5571375, -119.7912673 39.5571418, -119.7910825 39.5571476, -119.7909323 39.5571523, -119.7908682 39.5571543)","(39.5466186, -119.8028027)","(39.5571543, -119.7908682)"
320310031112,30,0,2428.147,"LINESTRING (-119.7652162 39.5208528, -119.7652393 39.5210587, -119.7653243 39.5212028, -119.7649759 39.5214606, -119.7652002 39.5215548, -119.7664974 39.5226126, -119.7667035 39.5233334, -119.7667088 39.5234151, -119.7667095 39.5235207, -119.7667099 39.52359160000001, -119.7667031 39.5240922, -119.7667017 39.5242224, -119.7667559 39.5247165, -119.7667551 39.52479360000002, -119.7667547 39.5248218, -119.7667514 39.5251247, -119.7667474 39.52549820000002, -119.7668826 39.5255009, -119.7668871 39.5258299, -119.7669038 39.5259267, -119.7673376 39.5259306, -119.7678376 39.5259332, -119.767962 39.5259339, -119.7684593 39.5259366, -119.7695232 39.5259423, -119.7698709 39.5259442, -119.7706089 39.5259481, -119.7706044 39.5260354, -119.771157 39.5260523, -119.7712931 39.5263937, -119.7712916 39.5265655, -119.7714256 39.5267874, -119.7714296 39.52709680000002, -119.771429 39.527491, -119.771537 39.5274929, -119.7721912 39.5275534, -119.7723261 39.5275538, -119.7732713 39.5275562, -119.7733877 39.5275562, -119.7743077 39.52756310000002, -119.7747316 39.5275667, -119.7767607 39.5275541, -119.7790645 39.5274542, -119.7793409 39.5274415, -119.7795359 39.5274356, -119.7795373 39.5275707, -119.7808742 39.5276203, -119.7820945 39.5276042, -119.7821204 39.5277077, -119.7821667 39.5277257, -119.7822323 39.5277182, -119.7822475 39.5277714, -119.7823791 39.5278922, -119.7826542 39.5279638, -119.7830842 39.5280471, -119.7831104 39.5280551, -119.783276 39.5281307, -119.7832973 39.5284094, -119.7831706 39.5284091, -119.7824683 39.5284146, -119.7824714 39.5285839, -119.7824745 39.528755, -119.7824776 39.5289261)","(39.5208528, -119.76521619999997)","(39.5289261, -119.78247760000002)"
320310031112,21,1,3795.333,"LINESTRING (-119.7652162 39.5208528, -119.7652393 39.5210587, -119.7653243 39.5212028, -119.7649759 39.5214606, -119.7652002 39.5215548, -119.7664974 39.5226126, -119.7667035 39.5233334, -119.7667088 39.5234151, -119.7667095 39.5235207, -119.7668467 39.5235254, -119.7669336 39.5235275, -119.7679796 39.5235442, -119.7686076 39.5235451, -119.7703936 39.5229493, -119.7705204 39.5228519, -119.7737765 39.52020770000001, -119.773921 39.52017570000002, -119.7740294 39.5201457, -119.7742594 39.5200672, -119.7755113 39.5192961, -119.7772253 39.5180084, -119.7774222 39.5177101, -119.777452 39.5176433, -119.777486 39.5175428, -119.7775021 39.5174386, -119.7775021 39.5172524, -119.7775021 39.5169671, -119.777429 39.5166621, -119.7774277 39.5165543, -119.7774278 39.5164141, -119.7774307 39.5159836, -119.777432 39.5158001, -119.7774327 39.5156855, -119.7774334 39.5153147, -119.7774348 39.5152292, -119.7774376 39.5150631, -119.7774399 39.5149288, -119.7774372 39.5147686, -119.777433 39.5145252, -119.7774361 39.5144922, -119.7774401 39.5142473, -119.77744 39.51415480000001, -119.7774396 39.5140378, -119.7774414 39.5137038, -119.7774415 39.5136035, -119.7774418 39.5135345, -119.7774433 39.5132137, -119.777444 39.5131331, -119.7774447 39.51305510000001, -119.7774441 39.5129732, -119.7774398 39.51238870000001, -119.7774383 39.5121761, -119.7774383 39.5121244, -119.777441 39.511765, -119.777443 39.511306, -119.7774428 39.5112605, -119.7778357 39.5103627, -119.7778681 39.5096137, -119.7778712 39.50947420000001, -119.7778646 39.5093606, -119.777852 39.5091385, -119.7778562 39.5085682, -119.7778539 39.5083981, -119.7778417 39.5075024, -119.7778471 39.5070616, -119.777896 39.5069796, -119.7779264 39.5068431, -119.7779961 39.5068469, -119.778199 39.5061399, -119.7782669 39.5060437, -119.7783048 39.5060311, -119.778768 39.5060066, -119.7787684 39.5059501, -119.7795284 39.5059494, -119.7797847 39.5059501, -119.7798759 39.5059509, -119.7802392 39.5059539, -119.7805369 39.5059564, -119.7808413 39.50595890000001, -119.7811136 39.5059538, -119.7812913 39.5059543, -119.7827615 39.5058191, -119.782779 39.5057345, -119.7827838 39.5057114, -119.7827961 39.505564, -119.7827474 39.5054088, -119.7827383 39.5049127, -119.7827367 39.5048258, -119.7828037 39.50449619999998, -119.7829271 39.5043348, -119.783172 39.5043329, -119.7833981 39.5043376, -119.7836341 39.5043383, -119.7838345 39.5043368, -119.7840585 39.504335, -119.784273 39.5043349, -119.7845097 39.504334, -119.7847414 39.5043329, -119.7847464 39.5035909, -119.7849528 39.5035909, -119.7851808 39.5035909, -119.7853835 39.5035701, -119.7854643 39.5035505, -119.785622 39.5034652, -119.7858278 39.5034631)","(39.5208528, -119.76521619999997)","(39.5034631, -119.7858278)"
320310015033,36,0,1119.38,"LINESTRING (-119.8027786 39.5407833, -119.8027699 39.5410827, -119.8025905 39.5410866, -119.8025835 39.5414216, -119.8025732 39.5417921, -119.8025698 39.5419109, -119.802576 39.5420844, -119.8025787 39.5427995, -119.8025742 39.5431056, -119.802549 39.54336639999999, -119.8021447 39.5433544, -119.8021449 39.5435067, -119.8021486 39.5444703, -119.8019309 39.5446452, -119.8017526 39.5447727, -119.8017257 39.54478490000002, -119.801544 39.5448692, -119.8013181 39.5449612, -119.8011062 39.5450228, -119.8008861 39.5450758, -119.8006443 39.5451151, -119.8004515 39.5451151, -119.8002209 39.5451151, -119.8000007 39.5451151, -119.7997966 39.5451151, -119.7998087 39.5453101, -119.7995083 39.5453167, -119.7991744 39.545327, -119.7991806 39.5456328, -119.7986072 39.5456677, -119.7986079 39.5458605, -119.7986107 39.54622470000001, -119.7986086 39.54649150000002, -119.7986162 39.5470197, -119.7986178 39.5475577, -119.7986234 39.5478167, -119.7986303 39.5481358)","(39.5407833, -119.80277860000001)","(39.5481358, -119.7986303)"
320310015033,27,1,1802.07,"LINESTRING (-119.8027786 39.5407833, -119.8025898 39.5407849, -119.8025997 39.5404042, -119.8026004 39.54005820000001, -119.802614 39.53993240000001, -119.8032801 39.5399748, -119.8032816 39.53990529999999, -119.803346 39.5386, -119.80335 39.5385089, -119.8033492 39.5380971, -119.8033485 39.53778169999999, -119.8033485 39.5377621, -119.8034271 39.5372807, -119.8034244 39.5371783, -119.8034238 39.5362726, -119.8034271 39.5361608, -119.8034308 39.53580319999999, -119.8033999 39.5351822, -119.8033529 39.534828, -119.8033509 39.534769, -119.8033463 39.5346302, -119.8033439 39.5345624, -119.8031687 39.5287912, -119.8031579 39.5284413, -119.8031553 39.528359, -119.8031507 39.5282655, -119.8030339 39.52791280000002, -119.8030321 39.5278587, -119.8030262 39.5274659, -119.8030258 39.527374, -119.803026 39.5272127, -119.8030261 39.5270543, -119.8030265 39.5266079, -119.8030294 39.5263596, -119.8030533 39.5262884, -119.8030911 39.52599290000001, -119.8031502 39.52599340000001, -119.8031667 39.525896, -119.803405 39.5258868, -119.8034057 39.5258026, -119.8037222 39.5258016)","(39.5407833, -119.80277860000001)","(39.5258016, -119.80372220000001)"
320310001051,27,0,1612.995,"LINESTRING (-119.7939647 39.5336608, -119.7939679 39.5333906, -119.793968 39.5333475, -119.7939652 39.5331561, -119.7939124 39.5326407, -119.7936316 39.5317619, -119.7943784 39.5316276, -119.7947488 39.5315631, -119.794863 39.5315436, -119.7951488 39.5314859, -119.7956947 39.5313755, -119.7975276 39.5310032, -119.7975213 39.5309253, -119.7976386 39.5309048, -119.7975934 39.53056930000001, -119.798272 39.5292101, -119.7983199 39.5289225, -119.7983369 39.5284403, -119.798489 39.5284419, -119.7988451 39.5284311, -119.799083 39.5284308, -119.799081 39.52835, -119.7991471 39.5283502, -119.8002192 39.5283533, -119.8002195 39.52828559999998, -119.800523 39.5282733, -119.8005967 39.5282766, -119.800597 39.5278572, -119.8006797 39.5278572, -119.800813 39.5278573, -119.8011672 39.5278576, -119.8012751 39.5278577, -119.8015085 39.5278578, -119.8019099 39.52785810000001, -119.8023328 39.5278584, -119.8024629 39.5278585, -119.8030321 39.5278587, -119.8030262 39.5274659, -119.8030258 39.527374, -119.803026 39.5272127, -119.8030261 39.5270543, -119.8030265 39.5266079, -119.8030294 39.5263596, -119.8030533 39.5262884, -119.8030911 39.52599290000001, -119.8031502 39.52599340000001, -119.8031667 39.525896, -119.803405 39.5258868, -119.8034057 39.5258026, -119.8037222 39.5258016)","(39.5336608, -119.79396470000002)","(39.5258016, -119.80372220000001)"
320310001051,36,1,1963.488,"LINESTRING (-119.7939647 39.5336608, -119.7939373 39.5337625, -119.793898 39.5338754, -119.7939028 39.5340032, -119.7939376 39.53419970000002, -119.7939897 39.5343022, -119.7942102 39.5345187, -119.7945384 39.5346445, -119.7945546 39.5347596, -119.7951314 39.5350048, -119.795214 39.5350153, -119.7952001 39.5356653, -119.7963711 39.5356522, -119.7963696 39.5357163, -119.7974828 39.5357173, -119.7976324 39.5357175, -119.7983713 39.5357512, -119.7984424 39.5373423, -119.7984451 39.5374157, -119.7985602 39.5374164, -119.798597 39.5384918, -119.7985986 39.5392367, -119.79861 39.5400414, -119.798619 39.5418541, -119.7986216 39.54239960000001, -119.798622 39.543247, -119.798622 39.544016, -119.798621 39.544785, -119.798606 39.545333, -119.7986072 39.5456677, -119.7986079 39.5458605, -119.7986107 39.54622470000001, -119.7986086 39.54649150000002, -119.7986162 39.5470197, -119.7986178 39.5475577, -119.7986234 39.5478167, -119.7986303 39.5481358)","(39.5336608, -119.79396470000002)","(39.5481358, -119.7986303)"
