cbg_id,store_id,rank,distance,geometry,Origin,Destination
510872005022,36,0,3150.556,"LINESTRING (-77.47884550000001 37.5833993, -77.4769137 37.5804728, -77.4768775 37.5796918, -77.4767447 37.5788896, -77.4766912 37.5788744, -77.47632520000001 37.5788527, -77.4762633 37.578849, -77.47618970000001 37.5788446, -77.4754044 37.5782244, -77.4750621 37.5778108, -77.4748817 37.5775644, -77.4748005 37.5774481, -77.4746286 37.5771552, -77.4745786 37.5767702, -77.4745787 37.5767252, -77.4745743 37.5765893, -77.4745734 37.5765583, -77.47456320000002 37.5762159, -77.47454980000001 37.5757824, -77.47454089999999 37.5754951, -77.47453849999999 37.5754165, -77.4745338 37.5750482, -77.47453779999999 37.5750086, -77.47459130000001 37.5747388, -77.4746231 37.5746505, -77.4750094 37.5742695, -77.47507109999999 37.574211, -77.47529900000001 37.5739948, -77.47540360000001 37.5738956, -77.4757381 37.57358389999999, -77.4762078 37.5731607, -77.4764758 37.5729101, -77.4770171 37.5723986, -77.4775483 37.5718856, -77.47788629999999 37.5715704, -77.47827150000001 37.571211, -77.4785031 37.570995, -77.4787218 37.5707923, -77.4788989 37.5706281, -77.4794898 37.5700791, -77.47956739999999 37.5700027, -77.4784162 37.5690044, -77.47785810000001 37.5685189, -77.4774281 37.5681546, -77.47705740000001 37.5678412, -77.4767532 37.567583, -77.47662080000001 37.5676833, -77.4762248 37.5679853, -77.4752211 37.5671816, -77.4747845 37.56750749999998, -77.47436310000001 37.5671551, -77.4742507 37.5670611, -77.4740706 37.5669104, -77.4739703 37.5668266, -77.47381729999999 37.5666986, -77.47354 37.5664645, -77.47334050000001 37.5662961, -77.4730457 37.5660473, -77.4728595 37.5658902, -77.471897 37.5650896, -77.47162179999999 37.56485869999999, -77.4713223 37.5646074, -77.4711624 37.5644732, -77.4710213 37.5643547, -77.47096019999999 37.56430339999999, -77.4706846 37.5640722, -77.4704703 37.56389389999998, -77.470252 37.5637671, -77.47005849999999 37.5637013, -77.4696981 37.5635815, -77.46957690000001 37.56354219999999, -77.4693407 37.563971, -77.4691524 37.5638893, -77.46909479999999 37.5638643, -77.4689879 37.5638178)","(37.5833993, -77.4788455)","(37.5638178, -77.4689879)"
510872005022,34,1,3215.935,"LINESTRING (-77.47884550000001 37.5833993, -77.4769137 37.5804728, -77.4768775 37.5796918, -77.4767447 37.5788896, -77.4766912 37.5788744, -77.47632520000001 37.5788527, -77.4762633 37.578849, -77.47618970000001 37.5788446, -77.4754044 37.5782244, -77.4750621 37.5778108, -77.4748817 37.5775644, -77.4748005 37.5774481, -77.4746286 37.5771552, -77.4745786 37.5767702, -77.4745787 37.5767252, -77.4745743 37.5765893, -77.4745734 37.5765583, -77.47456320000002 37.5762159, -77.47454980000001 37.5757824, -77.47454089999999 37.5754951, -77.47453849999999 37.5754165, -77.4745338 37.5750482, -77.47453779999999 37.5750086, -77.47459130000001 37.5747388, -77.4746231 37.5746505, -77.4750094 37.5742695, -77.47507109999999 37.574211, -77.47529900000001 37.5739948, -77.47540360000001 37.5738956, -77.4757381 37.57358389999999, -77.4762078 37.5731607, -77.4764758 37.5729101, -77.4770171 37.5723986, -77.4775483 37.5718856, -77.47788629999999 37.5715704, -77.47827150000001 37.571211, -77.4785031 37.570995, -77.4787218 37.5707923, -77.4788989 37.5706281, -77.4794898 37.5700791, -77.47956739999999 37.5700027, -77.4784162 37.5690044, -77.47785810000001 37.5685189, -77.4774281 37.5681546, -77.47705740000001 37.5678412, -77.4767532 37.567583, -77.47628880000001 37.5671939, -77.47553430000001 37.5665533, -77.4750015 37.56610649999999, -77.47487479999999 37.5660002, -77.4743982 37.5656014, -77.47432139999999 37.5655356, -77.47426380000002 37.5654877, -77.4738177 37.5651162, -77.4733933 37.5647627, -77.4732602 37.5646518, -77.47300490000001 37.56443639999998, -77.472888 37.5643385, -77.47255560000001 37.564061, -77.4717527 37.5633808, -77.4716571 37.56330289999999, -77.4717059 37.5632521, -77.47192860000001 37.5630245, -77.47201099999999 37.5629379, -77.4723917 37.5625245, -77.4727702 37.56212, -77.47311620000001 37.5617471, -77.4732865 37.5615761, -77.4736343 37.5612117, -77.4739991 37.5608289, -77.4742681 37.5605448)","(37.5833993, -77.4788455)","(37.5605448, -77.4742681)"
510872007002,36,0,4176.301,"LINESTRING (-77.46598229999999 37.5979531, -77.466583 37.597932, -77.46630450000001 37.5957527, -77.46627789999999 37.5957139, -77.46620969999999 37.5955636, -77.4662802 37.5955167, -77.466409 37.5954408, -77.466379 37.5953825, -77.46558450000001 37.5937259, -77.4652541 37.59301289999998, -77.4651528 37.5927968, -77.4641415 37.5905292, -77.4641318 37.5904639, -77.4641336 37.588543, -77.4641226 37.588134, -77.4641116 37.5880428, -77.463973 37.5875248, -77.46373079999999 37.5870395, -77.46328080000001 37.5862481, -77.462909 37.5855636, -77.46276640000001 37.5850927, -77.4627069 37.5847656, -77.46261480000001 37.5842127, -77.4625963 37.584083, -77.4623959 37.5830211, -77.462343 37.5827285, -77.4623215 37.5826104, -77.4622028 37.58194790000001, -77.4620754 37.5812346, -77.4620542 37.581116, -77.46188309999999 37.5801782, -77.4618028 37.5797306, -77.4617827 37.5796133, -77.4617167 37.5792499, -77.4616441 37.5788312, -77.46167930000001 37.5782388, -77.4618258 37.5779425, -77.4619414 37.5777253, -77.4620496 37.577524, -77.4621435 37.5773507, -77.46227380000001 37.5771116, -77.4623136 37.5770387, -77.46253660000001 37.5766399, -77.46256540000002 37.5765875, -77.4628043 37.5761603, -77.46301510000001 37.57578250000001, -77.4631821 37.575483, -77.4635823 37.5748148, -77.4638762 37.5742769, -77.4639049 37.5742099, -77.46394530000001 37.5741163, -77.46397380000001 37.5740537, -77.4644488 37.5731844, -77.46447120000001 37.5731433, -77.4647871 37.5725515, -77.4652282 37.5717436, -77.4656028 37.5710407, -77.467331 37.5678958, -77.4675246 37.5675569, -77.4675465 37.5675169, -77.4678633 37.5669385, -77.4680378 37.5666201, -77.4680565 37.566586, -77.4679347 37.5665569, -77.4677343 37.5665005, -77.467839 37.5662997, -77.467906 37.5663219, -77.4681496 37.5658749, -77.46730890000002 37.5655826, -77.4675314 37.5653302, -77.4676836 37.5651721, -77.4681841 37.5646524, -77.46826040000001 37.5645732, -77.4682871 37.5645454, -77.46844040000001 37.56438630000001, -77.4685593 37.5642628, -77.4688634 37.5639471, -77.4689879 37.5638178)","(37.5979531, -77.4659823)","(37.5638178, -77.4689879)"
510872007002,33,1,4688.397,"LINESTRING (-77.46598229999999 37.5979531, -77.466583 37.597932, -77.46630450000001 37.5957527, -77.46627789999999 37.5957139, -77.46620969999999 37.5955636, -77.4662802 37.5955167, -77.466409 37.5954408, -77.466379 37.5953825, -77.46558450000001 37.5937259, -77.4652541 37.59301289999998, -77.4651528 37.5927968, -77.4641415 37.5905292, -77.4641318 37.5904639, -77.4641336 37.588543, -77.4641226 37.588134, -77.4641116 37.5880428, -77.463973 37.5875248, -77.46373079999999 37.5870395, -77.46328080000001 37.5862481, -77.462909 37.5855636, -77.46276640000001 37.5850927, -77.4627069 37.5847656, -77.46261480000001 37.5842127, -77.4625963 37.584083, -77.4623959 37.5830211, -77.462343 37.5827285, -77.4623215 37.5826104, -77.4622028 37.58194790000001, -77.4620754 37.5812346, -77.4620542 37.581116, -77.46188309999999 37.5801782, -77.4618028 37.5797306, -77.4617827 37.5796133, -77.4617167 37.5792499, -77.4616441 37.5788312, -77.46167930000001 37.5782388, -77.4615648 37.5781675, -77.4614734 37.5780984, -77.46126959999999 37.57791979999999, -77.461392 37.5773016, -77.461389 37.5771733, -77.46131870000001 37.5763007, -77.4612887 37.5757948, -77.4612661 37.5755013, -77.46122389999999 37.5749651, -77.4611708 37.5742893, -77.4611397 37.57396210000001, -77.4610909 37.5734483, -77.4610837 37.573373, -77.46107050000002 37.57325740000001, -77.46106519999999 37.5731942, -77.460812 37.5701864, -77.46077440000001 37.5691078, -77.4607142 37.5675841, -77.4607031 37.5673029, -77.4606883 37.5669279, -77.46063820000001 37.5661068, -77.4605933 37.56537130000001, -77.46054789999999 37.564667, -77.4605299 37.5643876, -77.4605018 37.5639537, -77.46048279999999 37.5636588, -77.4604653 37.5633818, -77.46044089999999 37.5630112, -77.46041409999999 37.5626484, -77.46039810000001 37.56243159999999, -77.4603472 37.56174429999999, -77.460374 37.5610028, -77.46038590000001 37.5608915, -77.4604408 37.5603003, -77.46028939999999 37.559711, -77.46022309999999 37.55951, -77.4602964 37.5594346, -77.46028080000001 37.5593036, -77.4602774 37.5592067, -77.460274 37.5591063, -77.4602392 37.5585394, -77.4604811 37.5586807, -77.46079440000001 37.5583486, -77.4608384 37.5583747, -77.4610224 37.5584837, -77.4610723 37.5584318, -77.46113320000002 37.5584686, -77.4612626 37.5583315, -77.4613894 37.5581971)","(37.5979531, -77.4659823)","(37.5581971, -77.4613894)"
510872006004,36,0,4892.607,"LINESTRING (-77.4743758 37.5984927, -77.4714383 37.5983014, -77.4708966 37.5983667, -77.4688436 37.59847, -77.4679277 37.598671, -77.46739289999999 37.5988004, -77.46721220000001 37.5988184, -77.466973 37.598842, -77.4668985 37.5988494, -77.466757 37.5973696, -77.46667069999999 37.5960895, -77.466409 37.5954408, -77.466379 37.5953825, -77.46558450000001 37.5937259, -77.4652541 37.59301289999998, -77.4651528 37.5927968, -77.4641415 37.5905292, -77.4641318 37.5904639, -77.4641336 37.588543, -77.4641226 37.588134, -77.4641116 37.5880428, -77.463973 37.5875248, -77.46373079999999 37.5870395, -77.46328080000001 37.5862481, -77.462909 37.5855636, -77.46276640000001 37.5850927, -77.4627069 37.5847656, -77.46261480000001 37.5842127, -77.4625963 37.584083, -77.4623959 37.5830211, -77.462343 37.5827285, -77.4623215 37.5826104, -77.4622028 37.58194790000001, -77.4620754 37.5812346, -77.4620542 37.581116, -77.46188309999999 37.5801782, -77.4618028 37.5797306, -77.4617827 37.5796133, -77.4617167 37.5792499, -77.4616441 37.5788312, -77.46167930000001 37.5782388, -77.4618258 37.5779425, -77.4619414 37.5777253, -77.4620496 37.577524, -77.4621435 37.5773507, -77.46227380000001 37.5771116, -77.4623136 37.5770387, -77.46253660000001 37.5766399, -77.46256540000002 37.5765875, -77.4628043 37.5761603, -77.46301510000001 37.57578250000001, -77.4631821 37.575483, -77.4635823 37.5748148, -77.4638762 37.5742769, -77.4639049 37.5742099, -77.46394530000001 37.5741163, -77.46397380000001 37.5740537, -77.4644488 37.5731844, -77.46447120000001 37.5731433, -77.4647871 37.5725515, -77.4652282 37.5717436, -77.4656028 37.5710407, -77.467331 37.5678958, -77.4675246 37.5675569, -77.4675465 37.5675169, -77.4678633 37.5669385, -77.4680378 37.5666201, -77.4680565 37.566586, -77.4679347 37.5665569, -77.4677343 37.5665005, -77.467839 37.5662997, -77.467906 37.5663219, -77.4681496 37.5658749, -77.46730890000002 37.5655826, -77.4675314 37.5653302, -77.4676836 37.5651721, -77.4681841 37.5646524, -77.46826040000001 37.5645732, -77.4682871 37.5645454, -77.46844040000001 37.56438630000001, -77.4685593 37.5642628, -77.4688634 37.5639471, -77.4689879 37.5638178)","(37.5984927, -77.4743758)","(37.5638178, -77.4689879)"
510872006004,33,1,5404.703,"LINESTRING (-77.4743758 37.5984927, -77.4714383 37.5983014, -77.4708966 37.5983667, -77.4688436 37.59847, -77.4679277 37.598671, -77.46739289999999 37.5988004, -77.46721220000001 37.5988184, -77.466973 37.598842, -77.4668985 37.5988494, -77.466757 37.5973696, -77.46667069999999 37.5960895, -77.466409 37.5954408, -77.466379 37.5953825, -77.46558450000001 37.5937259, -77.4652541 37.59301289999998, -77.4651528 37.5927968, -77.4641415 37.5905292, -77.4641318 37.5904639, -77.4641336 37.588543, -77.4641226 37.588134, -77.4641116 37.5880428, -77.463973 37.5875248, -77.46373079999999 37.5870395, -77.46328080000001 37.5862481, -77.462909 37.5855636, -77.46276640000001 37.5850927, -77.4627069 37.5847656, -77.46261480000001 37.5842127, -77.4625963 37.584083, -77.4623959 37.5830211, -77.462343 37.5827285, -77.4623215 37.5826104, -77.4622028 37.58194790000001, -77.4620754 37.5812346, -77.4620542 37.581116, -77.46188309999999 37.5801782, -77.4618028 37.5797306, -77.4617827 37.5796133, -77.4617167 37.5792499, -77.4616441 37.5788312, -77.46167930000001 37.5782388, -77.4615648 37.5781675, -77.4614734 37.5780984, -77.46126959999999 37.57791979999999, -77.461392 37.5773016, -77.461389 37.5771733, -77.46131870000001 37.5763007, -77.4612887 37.5757948, -77.4612661 37.5755013, -77.46122389999999 37.5749651, -77.4611708 37.5742893, -77.4611397 37.57396210000001, -77.4610909 37.5734483, -77.4610837 37.573373, -77.46107050000002 37.57325740000001, -77.46106519999999 37.5731942, -77.460812 37.5701864, -77.46077440000001 37.5691078, -77.4607142 37.5675841, -77.4607031 37.5673029, -77.4606883 37.5669279, -77.46063820000001 37.5661068, -77.4605933 37.56537130000001, -77.46054789999999 37.564667, -77.4605299 37.5643876, -77.4605018 37.5639537, -77.46048279999999 37.5636588, -77.4604653 37.5633818, -77.46044089999999 37.5630112, -77.46041409999999 37.5626484, -77.46039810000001 37.56243159999999, -77.4603472 37.56174429999999, -77.460374 37.5610028, -77.46038590000001 37.5608915, -77.4604408 37.5603003, -77.46028939999999 37.559711, -77.46022309999999 37.55951, -77.4602964 37.5594346, -77.46028080000001 37.5593036, -77.4602774 37.5592067, -77.460274 37.5591063, -77.4602392 37.5585394, -77.4604811 37.5586807, -77.46079440000001 37.5583486, -77.4608384 37.5583747, -77.4610224 37.5584837, -77.4610723 37.5584318, -77.46113320000002 37.5584686, -77.4612626 37.5583315, -77.4613894 37.5581971)","(37.5984927, -77.4743758)","(37.5581971, -77.4613894)"
517600711001,24,0,2275.182,"LINESTRING (-77.49947400000001 37.5286273, -77.5005324 37.5294005, -77.5006229 37.5293231, -77.5009836 37.5289999, -77.50131450000001 37.5287035, -77.50279070000002 37.529693, -77.5037955 37.53018070000001, -77.50513189999999 37.53085659999999, -77.507026 37.5328406, -77.5070765 37.5328187, -77.507412 37.533313, -77.5081903 37.5343704, -77.5082403 37.534419, -77.5088691 37.5349244, -77.5101549 37.5354507, -77.512124 37.5358816, -77.5122664 37.53591320000001, -77.5124055 37.5359482, -77.51349980000001 37.5362237, -77.51587019999999 37.5368641, -77.5160125 37.5369046, -77.51784840000001 37.5374563, -77.5183577 37.5376529, -77.51846430000001 37.5376918, -77.5186222 37.5377517, -77.51890910000002 37.5378616, -77.5189604 37.5378799, -77.5190384 37.5379049, -77.5193563 37.5380112, -77.5194807 37.538047, -77.51952110000001 37.5380551, -77.51981619999999 37.5381043, -77.519997 37.5381159, -77.5201162 37.5381255)","(37.5286273, -77.499474)","(37.5381255, -77.5201162)"
517600711001,16,1,2334.911,"LINESTRING (-77.49947400000001 37.5286273, -77.5005324 37.5294005, -77.5006229 37.5293231, -77.5009836 37.5289999, -77.50131450000001 37.5287035, -77.5013841 37.5286411, -77.502706 37.5295444, -77.5027865 37.5294676, -77.50415099999999 37.5288508, -77.506109 37.5280008, -77.5081971 37.5271157, -77.5089067 37.5268265, -77.5096125 37.5265286, -77.510069 37.5263359, -77.5109188 37.5259829, -77.511961 37.52555, -77.5107027 37.5241303, -77.5105459 37.5231934, -77.5105322 37.5229734, -77.5128203 37.5219329, -77.5125226 37.521535, -77.512653 37.5214885, -77.5121862 37.5208535, -77.51305600000001 37.520716, -77.51302800000001 37.5206514, -77.5129858 37.5205539, -77.51296480000001 37.5204978, -77.5139832 37.5201684, -77.5146542 37.5198825, -77.51458100000001 37.5197621, -77.51477280000002 37.5196861)","(37.5286273, -77.499474)","(37.5196861, -77.51477280000002)"
517600711002,16,0,1722.543,"LINESTRING (-77.51048260000002 37.5302687, -77.50960329999999 37.5281329, -77.5089067 37.5268265, -77.5096125 37.5265286, -77.510069 37.5263359, -77.5109188 37.5259829, -77.511961 37.52555, -77.5107027 37.5241303, -77.5105459 37.5231934, -77.5105322 37.5229734, -77.5128203 37.5219329, -77.5125226 37.521535, -77.512653 37.5214885, -77.5121862 37.5208535, -77.51305600000001 37.520716, -77.51302800000001 37.5206514, -77.5129858 37.5205539, -77.51296480000001 37.5204978, -77.5139832 37.5201684, -77.5146542 37.5198825, -77.51458100000001 37.5197621, -77.51477280000002 37.5196861)","(37.5302687, -77.51048260000002)","(37.5196861, -77.51477280000002)"
517600711002,24,1,2708.718,"LINESTRING (-77.51048260000002 37.5302687, -77.50960329999999 37.5281329, -77.5089067 37.5268265, -77.5081971 37.5271157, -77.506109 37.5280008, -77.5065304 37.5283251, -77.5066944 37.5288688, -77.50697340000001 37.529607, -77.50651089999999 37.5310708, -77.5059716 37.5313618, -77.5064866 37.5319456, -77.5070765 37.5328187, -77.507412 37.533313, -77.5081903 37.5343704, -77.5082403 37.534419, -77.5088691 37.5349244, -77.5101549 37.5354507, -77.512124 37.5358816, -77.5122664 37.53591320000001, -77.5124055 37.5359482, -77.51349980000001 37.5362237, -77.51587019999999 37.5368641, -77.5160125 37.5369046, -77.51784840000001 37.5374563, -77.5183577 37.5376529, -77.51846430000001 37.5376918, -77.5186222 37.5377517, -77.51890910000002 37.5378616, -77.5189604 37.5378799, -77.5190384 37.5379049, -77.5193563 37.5380112, -77.5194807 37.538047, -77.51952110000001 37.5380551, -77.51981619999999 37.5381043, -77.519997 37.5381159, -77.5201162 37.5381255)","(37.5302687, -77.51048260000002)","(37.5381255, -77.5201162)"
