cbg_id,store_id,rank,distance,geometry,Origin,Destination
60650422064,42,0,545.13,"LINESTRING (-117.3334654 33.9556452, -117.3331877 33.95562590000002, -117.3330512 33.95562670000001, -117.3330429 33.955335, -117.3326301 33.9554246, -117.3322141 33.9552827, -117.3319929 33.9552512, -117.331923 33.9552413, -117.3315748 33.9552264, -117.3313384 33.9552163, -117.3310773 33.9552374, -117.3307926 33.9553077, -117.3304983 33.9554026, -117.3299884 33.9556295, -117.3298582 33.9557953, -117.3298222 33.9558961, -117.3299113 33.9562263, -117.3301274 33.9565623, -117.3299 33.9566268, -117.329492 33.9567032)","(33.9556452, -117.3334654)","(33.9567032, -117.329492)"
60650422064,47,1,3402.352,"LINESTRING (-117.3334654 33.9556452, -117.3338408 33.955211, -117.3344357 33.9552328, -117.3348102 33.9547491, -117.3348193 33.9546803, -117.3356274 33.954772, -117.3398291 33.9554951, -117.3450077 33.9560855, -117.3450106 33.9566166, -117.3454019 33.9574182, -117.3455824 33.957755, -117.345785 33.9582958, -117.347323 33.95870209999999, -117.3475341 33.9592413, -117.348249 33.9610822, -117.3484538 33.9621224, -117.3484769 33.9648695, -117.3484862 33.96596310000001, -117.3484984 33.9680993, -117.3484948 33.9682302, -117.3485013 33.9690818, -117.3485101 33.96999790000001, -117.3485064 33.9709038, -117.3485121 33.9718121, -117.3485089 33.9723035, -117.3485083 33.9724045, -117.3485041 33.9727499, -117.3485038 33.9727823, -117.3484369 33.9730918, -117.3484345 33.9734544, -117.3484334 33.9736164, -117.3484334 33.9742514, -117.3484187 33.9747208)","(33.9556452, -117.3334654)","(33.9747208, -117.3484187)"
60650423003,56,0,4769.811,"LINESTRING (-117.326067 34.0098252, -117.3260074 34.01146090000001, -117.3244018 34.0114506, -117.3243959 34.0120318, -117.3265462 34.0120489, -117.3286821 34.0120611, -117.3310327 34.0120745, -117.331069 34.0048854, -117.331306 34.00492360000002, -117.3325732 34.0049508, -117.3330831 34.0049249, -117.3330898 34.004877, -117.3337511 34.004886, -117.3353541 34.0048174, -117.3355911 34.004821, -117.3368531 34.0048268, -117.3376753 34.00482550000001, -117.3386423 34.0048234, -117.3396616 34.0048201, -117.3398549 34.004823, -117.3399353 34.0047055, -117.3399399 34.0034127, -117.3399399 34.0032713, -117.33994 34.0030797, -117.3399402 34.0018751, -117.339948 34.0013689, -117.3399488 34.0012595, -117.3399583 34.0010627, -117.3399566 34.000953, -117.3399398 33.9995481, -117.3399348 33.9987031, -117.3399274 33.9976845, -117.3398463 33.9975368, -117.339846 33.9974146, -117.3398458 33.9969853, -117.3398434 33.9960741, -117.3398433 33.9960027, -117.3398434 33.9958602, -117.339843 33.9956673, -117.3398419 33.9951189, -117.3398416 33.9949843, -117.3398411 33.9947382, -117.3398402 33.9946384, -117.3398401 33.9946167, -117.3398388 33.9938029, -117.3398364 33.992987, -117.3398351 33.9927807, -117.3398316 33.9922233, -117.3398293 33.9921253, -117.3398301 33.991985, -117.339825 33.9915673, -117.3398258 33.9912988, -117.3398251 33.9911339, -117.3398276 33.9907872, -117.3398358 33.9904011, -117.3398389 33.9902531, -117.339838 33.9901233, -117.3398385 33.9893319, -117.3398385 33.9892741, -117.3398311 33.9885568, -117.3398386 33.98839980000001, -117.3398404 33.9883626, -117.339844 33.9879679, -117.339855 33.9867499, -117.3398636 33.9866476, -117.3399095 33.9865539, -117.3399259 33.9862556, -117.3399221 33.9856312)","(34.0098252, -117.326067)","(33.9856312, -117.3399221)"
60650423003,55,1,5163.654,"LINESTRING (-117.326067 34.0098252, -117.3260074 34.01146090000001, -117.3244018 34.0114506, -117.3243959 34.0120318, -117.3265462 34.0120489, -117.3286821 34.0120611, -117.3310327 34.0120745, -117.331069 34.0048854, -117.331306 34.00492360000002, -117.3325732 34.0049508, -117.3330831 34.0049249, -117.3330898 34.004877, -117.3337511 34.004886, -117.3353541 34.0048174, -117.3355911 34.004821, -117.3368531 34.0048268, -117.3376753 34.00482550000001, -117.3386423 34.0048234, -117.3396616 34.0048201, -117.3398549 34.004823, -117.3399353 34.0047055, -117.3399399 34.0034127, -117.3399399 34.0032713, -117.33994 34.0030797, -117.3399402 34.0018751, -117.339948 34.0013689, -117.3399488 34.0012595, -117.3399583 34.0010627, -117.3399566 34.000953, -117.3399398 33.9995481, -117.3400465 33.9995483, -117.3400435 33.9987042, -117.3401062 33.99768540000002, -117.3400746 33.99753660000001, -117.3400235 33.99744290000001, -117.3400025 33.9969857, -117.3400047 33.9958609, -117.3400144 33.9956678, -117.3400188 33.9951146, -117.3400186 33.9949815, -117.340019 33.9947437, -117.3400198 33.994616, -117.3399982 33.9937904, -117.340001 33.9927825, -117.3399973 33.9922214, -117.3399975 33.9919843, -117.3399975 33.9913103, -117.3400797 33.9911369, -117.3401064 33.9904153, -117.3400781 33.9902568, -117.3400394 33.9901432, -117.3400237 33.9901348, -117.3400178 33.9893803, -117.3400181 33.98855910000001, -117.3400196 33.9883979, -117.3400257 33.9879636, -117.3400264 33.9867483, -117.3400565 33.9867208, -117.3408979 33.9867085, -117.3408972 33.9866486, -117.3410899 33.9866488, -117.3410884 33.986568, -117.3410861 33.986248, -117.3410757 33.9861066, -117.3419999 33.9839946, -117.3420621 33.9838433)","(34.0098252, -117.326067)","(33.9838433, -117.34206210000004)"
60650301011,57,0,2473.391,"LINESTRING (-117.3519939 33.9975253, -117.3522005 33.997523, -117.3522798 33.9975224, -117.3534103 33.9975201, -117.3541798 33.9975303, -117.3555274 33.995508, -117.3550698 33.9937408, -117.3541296 33.9930502, -117.355605 33.9915621, -117.3563319 33.9914357, -117.3566506 33.9913875, -117.3571964 33.9913034, -117.3571917 33.9910331, -117.3571986 33.9907765, -117.3572214 33.9903922, -117.3574087 33.99027920000001, -117.3583163 33.9906734, -117.3593093 33.9911179, -117.3610639 33.9919511, -117.3630144 33.9928549, -117.3648876 33.9937194, -117.3655317 33.9940188, -117.3660775 33.9942694, -117.3661326 33.9942114, -117.3662468 33.9942596, -117.366437 33.9939699, -117.3668544 33.9933419, -117.3672246 33.9927839, -117.3673756 33.9925563)","(33.9975253, -117.3519939)","(33.9925563, -117.36737560000002)"
60650301011,54,1,2528.945,"LINESTRING (-117.3519939 33.9975253, -117.3522005 33.997523, -117.3522798 33.9975224, -117.3534103 33.9975201, -117.3541798 33.9975303, -117.3555274 33.995508, -117.3550698 33.9937408, -117.3541296 33.9930502, -117.355605 33.9915621, -117.3563319 33.9914357, -117.3566506 33.9913875, -117.3571964 33.9913034, -117.3571917 33.9910331, -117.3571986 33.9907765, -117.3572214 33.9903922, -117.3572368 33.9902475, -117.3572809 33.9901225, -117.360326 33.9889112, -117.3606822 33.9887152, -117.3614422 33.9876581, -117.3619945 33.986867, -117.3634649 33.9865068, -117.3640225 33.9859381, -117.3645043 33.9855321, -117.3647106 33.9852211, -117.3651216 33.9846017, -117.3654469 33.9841113, -117.3657652 33.9836443)","(33.9975253, -117.3519939)","(33.9836443, -117.3657652)"
60650301031,57,0,583.096,"LINESTRING (-117.3646153 33.9900226, -117.3642508 33.98976, -117.3639786 33.9901635, -117.3665065 33.9913567, -117.3671262 33.9916328, -117.3671501 33.9916458, -117.3676592 33.9918821, -117.3672495 33.9924917, -117.3673756 33.9925563)","(33.9900226, -117.36461530000003)","(33.9925563, -117.36737560000002)"
60650301031,54,1,943.485,"LINESTRING (-117.3646153 33.9900226, -117.3642508 33.98976, -117.3649108 33.9887848, -117.3661591 33.9869386, -117.3658962 33.9868134, -117.3655622 33.9866544, -117.3654474 33.9865997, -117.3654337 33.98638520000002, -117.365958 33.9856064, -117.3664622 33.9848324, -117.3667914 33.98472060000001, -117.366615 33.9846395, -117.3654469 33.9841113, -117.3657652 33.9836443)","(33.9900226, -117.36461530000003)","(33.9836443, -117.3657652)"
60650301041,57,0,2435.354,"LINESTRING (-117.3691574 34.0109669, -117.3683137 34.010571, -117.3659673 34.009252, -117.3636095 34.0085391, -117.3637529 34.0069193, -117.3637698 34.0067436, -117.3637827 34.0066066, -117.3639301 34.005046, -117.3640675 34.0033116, -117.3641916 34.0021498, -117.3642231 34.0016795, -117.3642614 34.001226, -117.364286 34.0008387, -117.3642373 34.0007008, -117.3643117 34.0001605, -117.3643885 33.9995384, -117.3644418 33.9988374, -117.3644836 33.9982868, -117.3644944 33.9981843, -117.3645568 33.99728970000001, -117.3646256 33.9968617, -117.3650211 33.99606450000001, -117.3650752 33.9959849, -117.3653313 33.9956089, -117.3654221 33.995476, -117.3655071 33.995352, -117.3656676 33.9951174, -117.366149 33.99440370000001, -117.3662005 33.9943274, -117.3662468 33.9942596, -117.366437 33.9939699, -117.3668544 33.9933419, -117.3672246 33.9927839, -117.3673756 33.9925563)","(34.0109669, -117.36915740000002)","(33.9925563, -117.36737560000002)"
60650301041,54,1,3826.782,"LINESTRING (-117.3691574 34.0109669, -117.3683137 34.010571, -117.3659673 34.009252, -117.3636095 34.0085391, -117.3637529 34.0069193, -117.3637698 34.0067436, -117.3637827 34.0066066, -117.3639301 34.005046, -117.3640675 34.0033116, -117.3641916 34.0021498, -117.3642231 34.0016795, -117.3642614 34.001226, -117.364286 34.0008387, -117.3642373 34.0007008, -117.3643117 34.0001605, -117.3643885 33.9995384, -117.3644418 33.9988374, -117.3644836 33.9982868, -117.3644944 33.9981843, -117.3645568 33.99728970000001, -117.3646256 33.9968617, -117.3650211 33.99606450000001, -117.3650752 33.9959849, -117.3653313 33.9956089, -117.3654221 33.995476, -117.3655071 33.995352, -117.3656676 33.9951174, -117.366149 33.99440370000001, -117.3662005 33.9943274, -117.3662468 33.9942596, -117.366437 33.9939699, -117.3668544 33.9933419, -117.3672246 33.9927839, -117.3673756 33.9925563, -117.3674913 33.9923807, -117.3676023 33.99221290000001, -117.3677497 33.9919917, -117.3677853 33.9919407, -117.3680018 33.9916093, -117.3683566 33.9910716, -117.3685491 33.9907794, -117.3686034 33.9906969, -117.3685415 33.9906289, -117.3698143 33.9886346, -117.3691852 33.98835540000001, -117.3687206 33.988144, -117.3681452 33.9878725, -117.3677506 33.9876862, -117.3677051 33.9874473, -117.3682352 33.9866583, -117.3676716 33.9863935, -117.3683364 33.9854264, -117.3680031 33.9852709, -117.3677428 33.9851494, -117.3671988 33.98490370000001, -117.3667914 33.98472060000001, -117.366615 33.9846395, -117.3654469 33.9841113, -117.3657652 33.9836443)","(34.0109669, -117.36915740000002)","(33.9836443, -117.3657652)"
