cbg_id,store_id,rank,distance,geometry,Origin,Destination
60670001001,51,0,3114.311,"LINESTRING (-121.433242 38.580142, -121.43357 38.579588, -121.434139 38.578417, -121.433989 38.57749, -121.43352 38.576681, -121.433282 38.575991, -121.433597 38.575581, -121.432612 38.574789, -121.4316627 38.5741508, -121.4320041 38.57375140000001, -121.4320986 38.5736268, -121.4322558 38.5732923, -121.4323006 38.57318060000001, -121.4323631 38.57290110000001, -121.4323696 38.5728419, -121.4323928 38.5721577, -121.4322914 38.5716561, -121.4321565 38.5713779, -121.431621 38.570663, -121.430571 38.570067, -121.42963 38.569226, -121.4294194 38.5687199, -121.4293762 38.568563, -121.429192 38.5678964, -121.429163 38.56779, -121.4292702 38.5677715, -121.4306568 38.5675337, -121.4310873 38.56746, -121.4329373 38.567178, -121.4331834 38.56718759999998, -121.433407 38.5672183, -121.4338385 38.567323, -121.4341689 38.56708960000001, -121.4346448 38.5652052, -121.4347303 38.5646348, -121.434828 38.5643196, -121.4348821 38.564229, -121.4365658 38.5614121, -121.4368331 38.5609588, -121.4378408 38.5592496, -121.4379189 38.559117, -121.4382301 38.5585883, -121.4381835 38.5585686, -121.4381378 38.55852960000001, -121.4381798 38.5584603)","(38.580142, -121.433242)","(38.5584603, -121.43817980000001)"
60670001001,60,1,3153.628,"LINESTRING (-121.433242 38.580142, -121.43357 38.579588, -121.434139 38.578417, -121.433989 38.57749, -121.43352 38.576681, -121.431926 38.576302, -121.4314948 38.5760747, -121.430363 38.575324, -121.427747 38.572667, -121.426257 38.570245, -121.4260751 38.5697669, -121.426033 38.5696174, -121.426002 38.5695051, -121.4259699 38.569389, -121.4258171 38.5688356, -121.4257468 38.5688517, -121.4256257 38.5685806, -121.424188 38.568944, -121.4240057 38.5688748, -121.4239144 38.56762240000001, -121.4239538 38.5678398, -121.4241309 38.5685909, -121.4241509 38.5686698, -121.4188853 38.5707602, -121.4187363 38.5709734, -121.4185281 38.5710841, -121.4176055 38.57216850000001, -121.4167267 38.5732428, -121.4154173 38.5741566, -121.4163038 38.5738096)","(38.580142, -121.433242)","(38.5738096, -121.4163038)"
60670001002,60,0,2361.493,"LINESTRING (-121.425493 38.574428, -121.424956 38.573486, -121.4243077 38.5736644, -121.4247132 38.5718546, -121.424866 38.571043, -121.426257 38.570245, -121.4260751 38.5697669, -121.426033 38.5696174, -121.426002 38.5695051, -121.4259699 38.569389, -121.4258171 38.5688356, -121.4257468 38.5688517, -121.4256257 38.5685806, -121.424188 38.568944, -121.4240057 38.5688748, -121.4239144 38.56762240000001, -121.4239538 38.5678398, -121.4241309 38.5685909, -121.4241509 38.5686698, -121.4188853 38.5707602, -121.4187363 38.5709734, -121.4185281 38.5710841, -121.4176055 38.57216850000001, -121.4167267 38.5732428, -121.4154173 38.5741566, -121.4163038 38.5738096)","(38.574428, -121.425493)","(38.5738096, -121.4163038)"
60670001002,59,1,2441.628,"LINESTRING (-121.425493 38.574428, -121.424956 38.573486, -121.4243077 38.5736644, -121.4247132 38.5718546, -121.424866 38.571043, -121.426257 38.570245, -121.4260751 38.5697669, -121.426033 38.5696174, -121.426002 38.5695051, -121.4259699 38.569389, -121.4258171 38.5688356, -121.4257468 38.5688517, -121.4256257 38.5685806, -121.424188 38.568944, -121.4240057 38.5688748, -121.4239144 38.56762240000001, -121.4239538 38.5678398, -121.4241309 38.5685909, -121.421254 38.5691045, -121.4180966 38.5705399, -121.4180427 38.5706177, -121.4177257 38.5704191, -121.4172294 38.5700818, -121.4165019 38.5706246, -121.4161167 38.5708622, -121.4159005 38.5709795, -121.414701 38.571495, -121.4139784 38.5717315, -121.4137733 38.571817, -121.4134587 38.5719801, -121.4133747 38.5720314, -121.4132322 38.5721314, -121.4133827 38.5721902, -121.4138346 38.57240190000001, -121.4138059 38.5724766)","(38.574428, -121.425493)","(38.5724766, -121.4138059)"
60670001003,60,0,1923.446,"LINESTRING (-121.427783 38.570789, -121.427172 38.569978, -121.426257 38.570245, -121.4260751 38.5697669, -121.426033 38.5696174, -121.426002 38.5695051, -121.4259699 38.569389, -121.4258171 38.5688356, -121.4257468 38.5688517, -121.4256257 38.5685806, -121.424188 38.568944, -121.4240057 38.5688748, -121.4239144 38.56762240000001, -121.4239538 38.5678398, -121.4241309 38.5685909, -121.4241509 38.5686698, -121.4188853 38.5707602, -121.4187363 38.5709734, -121.4185281 38.5710841, -121.4176055 38.57216850000001, -121.4167267 38.5732428, -121.4154173 38.5741566, -121.4163038 38.5738096)","(38.570789, -121.427783)","(38.5738096, -121.4163038)"
60670001003,51,1,1990.85,"LINESTRING (-121.427783 38.570789, -121.429143 38.570302, -121.428641 38.569549, -121.42963 38.569226, -121.4294194 38.5687199, -121.4293762 38.568563, -121.429192 38.5678964, -121.429163 38.56779, -121.4292702 38.5677715, -121.4306568 38.5675337, -121.4310873 38.56746, -121.4329373 38.567178, -121.4331834 38.56718759999998, -121.433407 38.5672183, -121.4338385 38.567323, -121.4341689 38.56708960000001, -121.4346448 38.5652052, -121.4347303 38.5646348, -121.434828 38.5643196, -121.4348821 38.564229, -121.4365658 38.5614121, -121.4368331 38.5609588, -121.4378408 38.5592496, -121.4379189 38.559117, -121.4382301 38.5585883, -121.4381835 38.5585686, -121.4381378 38.55852960000001, -121.4381798 38.5584603)","(38.570789, -121.427783)","(38.5584603, -121.43817980000001)"
60670002001,64,0,1310.236,"LINESTRING (-121.437512 38.575741, -121.440026 38.576468, -121.440308 38.575758, -121.441148 38.57598, -121.4419793 38.5761991, -121.442788 38.576414, -121.4430895 38.5761245, -121.4442001 38.5763783, -121.4446896 38.5765199, -121.4451644 38.5766415, -121.4456646 38.576783, -121.445755 38.576582, -121.4463241 38.5767351, -121.4464814 38.5767774, -121.446807 38.576865, -121.4470046 38.5769181, -121.447413 38.577028, -121.4473809 38.5770892, -121.4473241 38.57719740000001, -121.4472664 38.57730750000001, -121.4472077 38.5774194, -121.447115 38.577596, -121.446856 38.578089, -121.446724 38.578632, -121.4471517 38.5786959, -121.4473473 38.5787518, -121.4474016 38.57870040000002, -121.4478315 38.57829430000001)","(38.575741, -121.437512)","(38.57829430000001, -121.44783150000002)"
60670002001,53,1,1945.24,"LINESTRING (-121.437512 38.575741, -121.4376401 38.5750752, -121.4376714 38.5746771, -121.4376997 38.5742703, -121.43778 38.573444, -121.4384945 38.5730856, -121.4382352 38.5727575, -121.4386242 38.57256930000001, -121.438207 38.5720353, -121.4388397 38.5717292, -121.439146 38.5714256, -121.4402007 38.5707352, -121.4406943 38.5691319, -121.4408172 38.5686048, -121.4415884 38.5668117, -121.4417266 38.5664999, -121.441977 38.565917, -121.4420827 38.5656884, -121.4422047 38.5654183, -121.442374 38.565056, -121.4424326 38.5649305, -121.4426488 38.5644264, -121.442814 38.56401, -121.4426001 38.5634481, -121.4436763 38.56097990000001, -121.4436975 38.5609314, -121.4437813 38.560955, -121.4443567 38.5611161, -121.4444387 38.5609942, -121.4444926 38.5609156)","(38.575741, -121.437512)","(38.5609156, -121.44449260000002)"
60670002002,53,0,1522.294,"LINESTRING (-121.4373562 38.5707236, -121.437384 38.5703386, -121.439474 38.570626, -121.4402007 38.5707352, -121.4406943 38.5691319, -121.4408172 38.5686048, -121.4415884 38.5668117, -121.4417266 38.5664999, -121.441977 38.565917, -121.4420827 38.5656884, -121.4422047 38.5654183, -121.442374 38.565056, -121.4424326 38.5649305, -121.4426488 38.5644264, -121.442814 38.56401, -121.4426001 38.5634481, -121.4436763 38.56097990000001, -121.4436975 38.5609314, -121.4437813 38.560955, -121.4443567 38.5611161, -121.4444387 38.5609942, -121.4444926 38.5609156)","(38.5707236, -121.4373562)","(38.5609156, -121.44449260000002)"
60670002002,51,1,1625.63,"LINESTRING (-121.4373562 38.5707236, -121.437384 38.5703386, -121.4375252 38.5694234, -121.4376381 38.56889870000001, -121.437754 38.5683594, -121.4378722 38.5678064, -121.4379461 38.5674464, -121.4381478 38.5664559, -121.4383234 38.5655932, -121.4387006 38.564944, -121.4390637 38.5643192, -121.437709 38.563781, -121.438117 38.563097, -121.4386695 38.562219, -121.4399504 38.5600299, -121.440177 38.559639, -121.4403668 38.5593115, -121.439907 38.55913, -121.4398268 38.55909910000001, -121.4392992 38.5588954, -121.4389345 38.5587459, -121.4388238 38.5587024, -121.4387837 38.5586874, -121.4384935 38.55857910000001, -121.4384024 38.5585453, -121.4382824 38.5585003, -121.4381798 38.5584603)","(38.5707236, -121.4373562)","(38.5584603, -121.43817980000001)"
60670002003,64,0,1005.911,"LINESTRING (-121.445953 38.5727916, -121.445695 38.573268, -121.445429 38.573755, -121.445021 38.574502, -121.4446333 38.5753435, -121.4455855 38.5755878, -121.4461193 38.5757325, -121.4459267 38.5761817, -121.4458226 38.5764245, -121.445755 38.576582, -121.4463241 38.5767351, -121.4464814 38.5767774, -121.446807 38.576865, -121.4470046 38.5769181, -121.447413 38.577028, -121.4473809 38.5770892, -121.4473241 38.57719740000001, -121.4472664 38.57730750000001, -121.4472077 38.5774194, -121.447115 38.577596, -121.446856 38.578089, -121.446724 38.578632, -121.4471517 38.5786959, -121.4473473 38.5787518, -121.4474016 38.57870040000002, -121.4478315 38.57829430000001)","(38.5727916, -121.445953)","(38.57829430000001, -121.44783150000002)"
60670002003,53,1,1659.036,"LINESTRING (-121.445953 38.5727916, -121.444862 38.572478, -121.443865 38.57207, -121.4437683 38.5719893, -121.443239 38.57131, -121.4438105 38.5699728, -121.44494 38.567359, -121.444493 38.56724, -121.44475 38.566644, -121.4454241 38.5651134, -121.445674 38.564546, -121.445613 38.564531, -121.4455167 38.5644753, -121.4453779 38.5643855, -121.444978 38.564097, -121.4453731 38.5632041, -121.4456543 38.5625686, -121.4457442 38.5623654, -121.445762 38.56232519999999, -121.445882 38.562054, -121.446106 38.561544, -121.446012 38.561508, -121.4456663 38.561373, -121.445477 38.561299, -121.4453814 38.56126180000001, -121.4453024 38.561231, -121.4451229 38.5611611, -121.444935 38.561088, -121.4444926 38.5609156)","(38.5727916, -121.445953)","(38.5609156, -121.44449260000002)"
60670002004,64,0,582.607,"LINESTRING (-121.4436805 38.578156, -121.4438403 38.5777158, -121.444161 38.577795, -121.4443708 38.57784680000001, -121.445174 38.577991, -121.444613 38.578799, -121.445301 38.578767, -121.4460333 38.578676, -121.446724 38.578632, -121.4471517 38.5786959, -121.4473473 38.5787518, -121.4474016 38.57870040000002, -121.4478315 38.57829430000001)","(38.578156, -121.44368049999999)","(38.57829430000001, -121.44783150000002)"
60670002004,53,1,2324.901,"LINESTRING (-121.4436805 38.578156, -121.4438403 38.5777158, -121.443246 38.577569, -121.4424051 38.5773308, -121.442788 38.576414, -121.4430895 38.5761245, -121.4433834 38.5757472, -121.443705 38.575094, -121.444025 38.574414, -121.4440625 38.5743273, -121.444862 38.572478, -121.443865 38.57207, -121.4437683 38.5719893, -121.443239 38.57131, -121.4438105 38.5699728, -121.44494 38.567359, -121.444493 38.56724, -121.44475 38.566644, -121.4454241 38.5651134, -121.445674 38.564546, -121.445613 38.564531, -121.4455167 38.5644753, -121.4453779 38.5643855, -121.444978 38.564097, -121.4453731 38.5632041, -121.4456543 38.5625686, -121.4457442 38.5623654, -121.445762 38.56232519999999, -121.445882 38.562054, -121.446106 38.561544, -121.446012 38.561508, -121.4456663 38.561373, -121.445477 38.561299, -121.4453814 38.56126180000001, -121.4453024 38.561231, -121.4451229 38.5611611, -121.444935 38.561088, -121.4444926 38.5609156)","(38.578156, -121.44368049999999)","(38.5609156, -121.44449260000002)"
60670003001,64,0,615.933,"LINESTRING (-121.4519375 38.5808806, -121.450511 38.579283, -121.449618 38.579589, -121.448759 38.579924, -121.448171 38.579263, -121.447795 38.578957, -121.4478315 38.57829430000001)","(38.5808806, -121.45193749999999)","(38.57829430000001, -121.44783150000002)"
