cbg_id,store_id,rank,distance,geometry,Origin,Destination
270531256002,57,0,234.249,"LINESTRING (-93.20774369999999 44.9663484, -93.207627 44.9663393, -93.20654560000001 44.9663377, -93.2064827 44.9663866, -93.2064618 44.9664029, -93.2063783 44.9664679, -93.2063802 44.96649089999999, -93.2064124 44.9664909, -93.20630060000001 44.9672364, -93.2063363 44.9672535, -93.2066325 44.9673725)","(44.9663484, -93.2077437)","(44.9673725, -93.2066325)"
270531256002,60,1,1137.997,"LINESTRING (-93.20774369999999 44.9663484, -93.207627 44.9663393, -93.20654560000001 44.9663377, -93.2064827 44.9663866, -93.2064618 44.9664029, -93.2063879 44.9664025, -93.20628170000001 44.966402, -93.2056699 44.9663937, -93.20528940000001 44.9663856, -93.2051919 44.9663835, -93.20508460000001 44.966384, -93.2050713 44.9667318, -93.20501359999999 44.9667245, -93.20497709999999 44.9667698, -93.20493980000002 44.96681590000001, -93.2048805 44.9667927, -93.20487319999999 44.9669075, -93.20484159999999 44.9669423, -93.20511980000001 44.9670545, -93.205074 44.9671092, -93.20498360000002 44.9672172, -93.2046744 44.96758590000001, -93.204615 44.96766070000001, -93.20455920000001 44.967736, -93.2042172 44.9681977, -93.20411900000001 44.9683285, -93.2040664 44.9683985, -93.20364619999999 44.968206, -93.20358109999999 44.9682738, -93.20283379999999 44.96791229999999, -93.20263509999999 44.9678193, -93.20141430000001 44.96728250000001, -93.2013355 44.96727320000002, -93.2011096 44.9675393, -93.2009359 44.9677248, -93.2003342 44.9684181, -93.1999643 44.9684988, -93.19959160000001 44.9685875, -93.19880259999999 44.9687755, -93.19847470000001 44.9688155, -93.1984094 44.9688609, -93.1983475 44.9688366, -93.19827020000001 44.9688042, -93.1980119 44.9690836, -93.197836 44.9692678)","(44.9663484, -93.2077437)","(44.9692678, -93.197836)"
270531105002,2,0,1552.296,"LINESTRING (-93.1989607 44.91197, -93.19867910000001 44.9124883, -93.1978063 44.9121003, -93.19749760000001 44.912344, -93.1958064 44.910501, -93.1958377 44.9105452, -93.19591800000001 44.9107775, -93.19582200000001 44.9107974, -93.19629589999998 44.9117449, -93.19618060000001 44.91178, -93.19621110000001 44.9118508, -93.1957869 44.9119639, -93.1954013 44.9120622, -93.1947053 44.9122461, -93.1946181 44.9122681, -93.1944943 44.9122986, -93.19379139999999 44.9124757, -93.1935811 44.912529, -93.19360570000001 44.9125993, -93.1926593 44.9127732, -93.1925585 44.9127761, -93.1924022 44.9127789, -93.19240350000001 44.9159481, -93.1924027 44.9160234, -93.1923223 44.9160239, -93.192317 44.9161113, -93.1923022 44.9177473, -93.19230690000001 44.917766, -93.19230709999999 44.91787179999998, -93.19230880000001 44.9179584, -93.1923074 44.9180469, -93.1920013 44.9180385, -93.19200309999999 44.9179606)","(44.91197, -93.1989607)","(44.9179606, -93.1920031)"
270531105002,4,1,1805.971,"LINESTRING (-93.1989607 44.91197, -93.19867910000001 44.9124883, -93.1978063 44.9121003, -93.19749760000001 44.912344, -93.1958064 44.910501, -93.1958377 44.9105452, -93.19591800000001 44.9107775, -93.19582200000001 44.9107974, -93.19629589999998 44.9117449, -93.19618060000001 44.91178, -93.19621110000001 44.9118508, -93.1957869 44.9119639, -93.1954013 44.9120622, -93.1947053 44.9122461, -93.1946181 44.9122681, -93.1944943 44.9122986, -93.19379139999999 44.9124757, -93.1935811 44.912529, -93.19360570000001 44.9125993, -93.1926593 44.9127732, -93.1925585 44.9127761, -93.1924022 44.9127789, -93.19240350000001 44.9159481, -93.1924027 44.9160234, -93.1923223 44.9160239, -93.192317 44.9161113, -93.1923022 44.9177473, -93.1911977 44.9177919, -93.1907922 44.9177959, -93.1901185 44.9178, -93.190006 44.9178047, -93.18992729999999 44.9178083, -93.1898277 44.9178083, -93.1892896 44.91780210000001, -93.1887905 44.9178037, -93.1882512 44.9178114)","(44.91197, -93.1989607)","(44.9178114, -93.1882512)"
271230361002,7,0,257.024,"LINESTRING (-93.07571950000001 44.931115, -93.07599310000001 44.9307182, -93.0762829 44.9302958, -93.07652849999999 44.9299208, -93.07672230000001 44.9296356, -93.0768197 44.9294923, -93.0772989 44.9295986, -93.0775094 44.9296443)","(44.931115, -93.0757195)","(44.9296443, -93.0775094)"
271230361002,8,1,257.024,"LINESTRING (-93.07571950000001 44.931115, -93.07599310000001 44.9307182, -93.0762829 44.9302958, -93.07652849999999 44.9299208, -93.07672230000001 44.9296356, -93.0768197 44.9294923, -93.0772989 44.9295986, -93.0775094 44.9296443)","(44.931115, -93.0757195)","(44.9296443, -93.0775094)"
271230342016,18,0,1025.493,"LINESTRING (-93.0976416 44.94520929999999, -93.09756 44.9452047, -93.09747849999999 44.9452002, -93.09733230000001 44.9460339, -93.09694690000001 44.9459986, -93.0969293 44.946068, -93.09691150000002 44.9461382, -93.0968529 44.946132, -93.0966904 44.9461146, -93.09656029999999 44.9460927, -93.0964185 44.94608069999999, -93.0963488 44.9460737, -93.0953927 44.9465198, -93.09535940000001 44.9465358, -93.0953087 44.9465601, -93.09522459999999 44.94660029999999, -93.0952597 44.9466401, -93.0942072 44.9470984, -93.094121 44.9471418, -93.0939903 44.9472072, -93.0944794 44.9477095, -93.0952577 44.9485088, -93.09527799999999 44.9485296, -93.09531339999999 44.94856870000001, -93.0953911 44.94865439999999, -93.09546210000001 44.94873269999999, -93.095018 44.9489426, -93.0953576 44.9492875, -93.09489120000001 44.9496257, -93.09482869999999 44.9496767, -93.0947661 44.9497277, -93.0948216 44.9497839, -93.0946288 44.94992829999999, -93.0944629 44.9500524, -93.0940007 44.9503972, -93.0940581 44.9504592, -93.09397319999999 44.9505227, -93.09416539999999 44.9507099, -93.09432 44.950866, -93.0946861 44.9512471, -93.0947168 44.9512794, -93.0947682 44.95133340000001, -93.0947979 44.9513646)","(44.94520929999999, -93.0976416)","(44.9513646, -93.0947979)"
271230342016,14,1,1691.197,"LINESTRING (-93.0976416 44.94520929999999, -93.09764850000001 44.9451406, -93.0976553 44.9450719, -93.0986596 44.94517470000002, -93.0998388 44.945291, -93.0999281 44.9452998, -93.1014603 44.9455974, -93.1014819 44.94564359999998, -93.1015471 44.9457325, -93.1017105 44.9458437, -93.1017705 44.945891, -93.10184630000002 44.9459012, -93.1019156 44.945897, -93.1023898 44.9462788, -93.10245500000001 44.9463223, -93.10255119999999 44.9463864, -93.10268720000001 44.94647869999999, -93.1031885 44.9468374, -93.1034102 44.94702740000001, -93.1042949 44.9474126, -93.104263 44.9473039, -93.104338 44.9472257, -93.1044935 44.9471446, -93.1045847 44.9471291, -93.1046252 44.9471233, -93.10464899999999 44.9471839, -93.1057782 44.9462974, -93.1062522 44.946595, -93.1062771 44.9466106, -93.10788959999999 44.9466324, -93.1080693 44.9466302, -93.10827089999999 44.9466234, -93.1084804 44.9466237, -93.1086667 44.946624, -93.10974830000001 44.9466257, -93.1102875 44.9466364, -93.11071099999999 44.9466386, -93.1109443 44.9466393, -93.11185890000002 44.9466414, -93.1120086 44.9466417, -93.1132973 44.9466423, -93.1134064 44.9466445, -93.1135283 44.9466469, -93.11370460000001 44.9466466, -93.11454170000002 44.9466477, -93.11465060000002 44.9466478, -93.1147703 44.9466479, -93.11485690000001 44.9466485, -93.114918 44.9466484, -93.1160026 44.9466464, -93.1161188 44.9466476, -93.1161237 44.94696419999998)","(44.94520929999999, -93.0976416)","(44.94696419999998, -93.1161237)"
271230342015,18,0,414.597,"LINESTRING (-93.0935724 44.9483932, -93.093631 44.9484519, -93.0936895 44.9485107, -93.0940183 44.948864, -93.0942335 44.9490733, -93.0943161 44.9491572, -93.09439870000001 44.9492412, -93.09482869999999 44.9496767, -93.0947661 44.9497277, -93.0948216 44.9497839, -93.0946288 44.94992829999999, -93.0944629 44.9500524, -93.0940007 44.9503972, -93.0940581 44.9504592, -93.09397319999999 44.9505227, -93.09416539999999 44.9507099, -93.09432 44.950866, -93.0946861 44.9512471, -93.0947168 44.9512794, -93.0947682 44.95133340000001, -93.0947979 44.9513646)","(44.9483932, -93.0935724)","(44.9513646, -93.0947979)"
271230342015,39,1,1721.673,"LINESTRING (-93.0935724 44.9483932, -93.093631 44.9484519, -93.0936895 44.9485107, -93.0940183 44.948864, -93.0942335 44.9490733, -93.0943161 44.9491572, -93.09439870000001 44.9492412, -93.09482869999999 44.9496767, -93.0948855 44.9497372, -93.0949451 44.9498, -93.0956224 44.9504981, -93.09580029999999 44.9506888, -93.09585140000002 44.9507338, -93.0958905 44.9507738, -93.09596000000001 44.9507407, -93.0959795 44.9507615, -93.0966718 44.9514632, -93.09767119999999 44.9510491, -93.0977178 44.95110909999999, -93.09853990000001 44.9518267, -93.09864310000002 44.9519416, -93.0989178 44.9522048, -93.0992189 44.9524937, -93.0992734 44.9525428, -93.0993412 44.9526104, -93.1005126 44.9537175, -93.10053430000001 44.9537091, -93.1005718 44.95374970000001, -93.10065280000002 44.9538909, -93.10070450000001 44.9539963, -93.10073180000001 44.9540139, -93.1007382 44.954307, -93.1007431 44.9545316, -93.1008223 44.954538, -93.10094410000001 44.9545769, -93.1009845 44.9546043, -93.1016874 44.95460449999999, -93.10205809999999 44.9546047, -93.1022104 44.9546048, -93.1023704 44.954607, -93.1027454 44.9546126, -93.10355989999999 44.9546162, -93.103602 44.9548245, -93.1037463 44.95482459999999, -93.1037647 44.9555053, -93.1037656 44.9556902, -93.1037675 44.9558561, -93.1039143 44.9558541, -93.1039469 44.95594629999999, -93.10579559999999 44.95597140000001, -93.1058098 44.9567822, -93.1058082 44.95684189999999, -93.1058099 44.9569182, -93.10581500000001 44.9575365, -93.10588869999999 44.9575379, -93.1060263 44.9575404)","(44.9483932, -93.0935724)","(44.9575404, -93.1060263)"
