cbg_id,store_id,rank,distance,geometry,Origin,Destination
490351001001,30,0,3735.92,"LINESTRING (-111.9105475 40.79481340000002, -111.9085876 40.7945228, -111.9082699 40.7911355, -111.9046529 40.7904991, -111.9044075 40.79005760000001, -111.9041137 40.7888985, -111.9037235 40.7888985, -111.9036484 40.78889649999999, -111.9036448 40.7887816, -111.9026795 40.7887797, -111.9025127 40.7887672, -111.9025477 40.78785919999999, -111.9025481 40.7876627, -111.9025498 40.786739, -111.9025415 40.785661, -111.9025461 40.7846183, -111.9025463 40.7845707, -111.9025489 40.7838625, -111.9025511 40.783263, -111.9025579 40.7830541, -111.902552 40.7825596, -111.9025528 40.7825279, -111.902552 40.7823635, -111.90255 40.78220790000001, -111.9025493 40.782146, -111.9025284 40.7803721, -111.9025265 40.7802111, -111.9025255 40.7800583, -111.9025247 40.7799311, -111.9025195 40.7791026, -111.902519 40.7790304, -111.902518 40.7789016, -111.9025055 40.77820040000001, -111.9025013 40.7780333, -111.9025021 40.7778881, -111.9025045 40.7774351, -111.9025058 40.7771954, -111.9025128 40.7758719, -111.902513 40.7757695, -111.9025139 40.7757019, -111.9025197 40.7749948, -111.9025223 40.7746677, -111.9025264 40.7741626, -111.9025356 40.7737274, -111.9025333 40.7736453, -111.9025302 40.77353879999998, -111.9025336 40.7731505, -111.9025376 40.7726886, -111.9025341 40.7724575, -111.902626 40.7716666, -111.9026204 40.7714467, -111.9026139 40.7713273, -111.9026159 40.7709733, -111.9026689 40.77097460000001, -111.9026918 40.7704777, -111.9027 40.7703808, -111.9027083 40.7702873, -111.9027083 40.7700101, -111.9027389 40.769511, -111.902741 40.7691871, -111.9027275 40.7687459, -111.9027363 40.7677488, -111.9027531 40.7673335, -111.903965 40.7672868, -111.904063 40.7672733, -111.9041918 40.7672884)","(40.79481340000002, -111.9105475)","(40.7672884, -111.90419180000002)"
490351001001,34,1,3787.137,"LINESTRING (-111.9105475 40.79481340000002, -111.9085876 40.7945228, -111.9082699 40.7911355, -111.9046529 40.7904991, -111.9044075 40.79005760000001, -111.9041137 40.7888985, -111.9037235 40.7888985, -111.9036484 40.78889649999999, -111.9036448 40.7887816, -111.9026795 40.7887797, -111.9025127 40.7887672, -111.9025477 40.78785919999999, -111.9025481 40.7876627, -111.9025498 40.786739, -111.9025415 40.785661, -111.9025461 40.7846183, -111.9025463 40.7845707, -111.9025489 40.7838625, -111.9025511 40.783263, -111.9025579 40.7830541, -111.9027528 40.7830542, -111.9027552 40.7825785, -111.9027535 40.7825245, -111.9027503 40.7824156, -111.9088312 40.7824431, -111.9108085 40.7824551, -111.9113393 40.782451, -111.9118942 40.7824495, -111.9139925 40.7824331, -111.914192 40.7824313, -111.9149826 40.7823798, -111.9154022 40.78237759999998, -111.9160879 40.7823776, -111.916649 40.7823785, -111.916838 40.78237759999998, -111.917062 40.782379, -111.9176256 40.7823808, -111.9182625 40.7823827, -111.9189441 40.7823872, -111.919554 40.7823899, -111.919719 40.7823882, -111.9198694 40.7823872, -111.920474 40.7823865, -111.9211399 40.7823873, -111.9225373 40.7823862, -111.9226832 40.7823852, -111.9236586 40.782389, -111.9241109 40.782397, -111.924312 40.7824009, -111.9246125 40.7824046)","(40.79481340000002, -111.9105475)","(40.7824046, -111.9246125)"
490351001002,30,0,1261.904,"LINESTRING (-111.9049451 40.7757467, -111.9049114 40.775752, -111.9048199 40.7757539, -111.904803 40.7757659, -111.9046038 40.775724, -111.9045561 40.7757182, -111.9044924 40.7757104, -111.9043849 40.77570990000001, -111.9043063 40.7757095, -111.9042212 40.7757059, -111.9027537 40.7757024, -111.9027464 40.7749942, -111.9027378 40.7741621, -111.9027346 40.7738589, -111.9027332 40.7737244, -111.9025302 40.77353879999998, -111.9025336 40.7731505, -111.9025376 40.7726886, -111.9025341 40.7724575, -111.902626 40.7716666, -111.9026204 40.7714467, -111.9026139 40.7713273, -111.9026159 40.7709733, -111.9026689 40.77097460000001, -111.9026918 40.7704777, -111.9027 40.7703808, -111.9027083 40.7702873, -111.9027083 40.7700101, -111.9027389 40.769511, -111.902741 40.7691871, -111.9027275 40.7687459, -111.9027363 40.7677488, -111.9027531 40.7673335, -111.903965 40.7672868, -111.904063 40.7672733, -111.9041918 40.7672884)","(40.7757467, -111.9049451)","(40.7672884, -111.90419180000002)"
490351001002,32,1,1349.719,"LINESTRING (-111.9049451 40.7757467, -111.9054984 40.7757451, -111.9056051 40.7757447, -111.9056402 40.7757447, -111.9056574 40.7757534, -111.9057615 40.7757527, -111.9058098 40.7757544, -111.9059911 40.7757031, -111.9060462 40.7757032, -111.9066737 40.77570979999999, -111.9071279 40.7757025, -111.9080504 40.7757053, -111.90826 40.7757023, -111.9084636 40.7756994, -111.9094065 40.7757006, -111.9094673 40.7757007, -111.9095637 40.7757008, -111.91091 40.775769, -111.91113 40.7757342, -111.9111365 40.775295, -111.9111775 40.7736872, -111.9113 40.7736871, -111.9129836 40.7736855, -111.9131629 40.7736853, -111.9133661 40.7736851, -111.9135813 40.7736849, -111.913763 40.7736847, -111.9138784 40.7736826, -111.9140906 40.7736844, -111.9141879 40.7736843, -111.9151732 40.7736834, -111.916632 40.7736819, -111.9166343 40.7735341, -111.9166377 40.7732676, -111.9166464 40.7725918, -111.9168377 40.7725916)","(40.7757467, -111.9049451)","(40.7725916, -111.91683769999999)"
490351002001,33,0,5945.004,"LINESTRING (-111.873187 40.81433929999999, -111.863981 40.8054506, -111.8655213 40.8050063, -111.8657318 40.8048682, -111.8725466 40.8014749, -111.8738813 40.7993121, -111.8765522 40.7941725, -111.8766124 40.7937562, -111.877871 40.7921287, -111.8781634 40.7919734, -111.8789533 40.7902258, -111.8789988 40.7901382, -111.8790197 40.7900976, -111.8794602 40.7894121, -111.881251 40.7848749, -111.8812014 40.7847764, -111.8820099 40.782037, -111.881949 40.7819199, -111.8819256 40.7818277, -111.8819235 40.7808545, -111.880698 40.7808516, -111.880698 40.7807733, -111.8806981 40.7806854, -111.8805609 40.7806851, -111.8804356 40.7806847, -111.8802783 40.7806849, -111.8802774 40.7805096, -111.8791675 40.7804985, -111.8790667 40.7804977, -111.8790643 40.780297, -111.8790588 40.7800662, -111.8790562 40.7799041, -111.8790612 40.7797321, -111.8789637 40.77972789999998, -111.8789499 40.7796444, -111.8789325 40.7795412, -111.8789334 40.7791236, -111.8789336 40.7789777, -111.8789306 40.7785852, -111.8789308 40.778503, -111.8784109 40.7785001, -111.87841 40.7784276, -111.8776727 40.7784235, -111.877674 40.7774805, -111.8775717 40.77746510000001, -111.8774711 40.7774482, -111.8774747 40.7773698, -111.8774774 40.7772963, -111.877473 40.7763469, -111.877459 40.7762425, -111.8774437 40.77615380000001)","(40.814339299999986, -111.873187)","(40.77615380000001, -111.87744369999999)"
490351002001,29,1,6857.67,"LINESTRING (-111.873187 40.81433929999999, -111.8753168 40.814554, -111.875967 40.813005, -111.8775806 40.8109292, -111.8799752 40.8082971, -111.8804897 40.8073331, -111.8870204 40.80186380000001, -111.887067 40.801474, -111.8875966 40.7985473, -111.8907232 40.795588, -111.8884099 40.7932085, -111.888198 40.7923338, -111.8881172 40.7919875, -111.8882262 40.7919108, -111.8882257 40.7918743, -111.8882252 40.7918381, -111.8882247 40.7918037, -111.888223 40.7917687, -111.8882237 40.7917034, -111.8882237 40.7916206, -111.8887285 40.7913131, -111.8893609 40.7903296, -111.8887595 40.7893582, -111.8887472 40.7890262, -111.8887681 40.7889709, -111.8879492 40.7888735, -111.8879365 40.7888288, -111.8861171 40.787486, -111.8860357 40.7874384, -111.8862516 40.7868312, -111.8860347 40.7847985, -111.886005 40.7846385, -111.8858469 40.7832091, -111.8857849 40.78221090000001, -111.8856373 40.7799549, -111.8856402 40.7797617, -111.8857096 40.7792968, -111.8857362 40.77918780000001, -111.8859513 40.7786671, -111.8859864 40.7786068, -111.8861256 40.778217, -111.886192 40.7777823, -111.8861697 40.7774791, -111.8861824 40.7773934, -111.8861984 40.7773027, -111.8862633 40.7769573, -111.8865059 40.7762757, -111.8866899 40.7759853, -111.8867324 40.7759628, -111.8866525 40.7759047, -111.8865874 40.7753142, -111.8865898 40.7751597, -111.8867905 40.77464710000001, -111.887475 40.7739533, -111.888131 40.7736056, -111.8881292 40.7735345, -111.8881314 40.7728207, -111.8881082 40.771804, -111.8881074 40.7716701, -111.8881304 40.7716598, -111.8881301 40.7715826, -111.8881279 40.7715027, -111.8881266 40.7714503, -111.8881122 40.7714428, -111.888119 40.7706495, -111.8881131 40.77055049999998, -111.8881129 40.7704547, -111.8880904 40.7695123, -111.888074 40.7694097, -111.888057 40.7692974, -111.8880416 40.7691992, -111.8880305 40.768353, -111.8880302 40.7683271, -111.8880255 40.7681007, -111.8880442 40.767335, -111.8866052 40.7673341, -111.8866042 40.7672362)","(40.814339299999986, -111.873187)","(40.7672362, -111.8866042)"
490351003061,36,0,1144.496,"LINESTRING (-111.9416472 40.7769117, -111.9416606 40.777518, -111.9416444 40.7781574, -111.9415594 40.77815780000001, -111.9413971 40.7781585, -111.9407273 40.7781575, -111.9407251 40.7782377, -111.9395926 40.7782439, -111.9395826 40.77861, -111.9395991 40.7801006, -111.9395993 40.7802018, -111.939598 40.7802763, -111.9395899 40.7810929, -111.9395899 40.7811798, -111.9395887 40.7812565, -111.9395819 40.7830669, -111.939578 40.7845992, -111.939394 40.78461, -111.939394 40.7847522, -111.939393 40.7848887, -111.9393929 40.7852396, -111.9393928 40.7855229)","(40.7769117, -111.9416472)","(40.7855229, -111.93939279999998)"
490351003061,34,1,2027.62,"LINESTRING (-111.9416472 40.7769117, -111.9416606 40.777518, -111.9416444 40.7781574, -111.9415594 40.77815780000001, -111.9413971 40.7781585, -111.9407273 40.7781575, -111.9407251 40.7782377, -111.9395926 40.7782439, -111.9395826 40.77861, -111.9394064 40.778602, -111.9394089 40.7797362, -111.9392321 40.7797332, -111.9390937 40.7797309, -111.938289 40.7801264, -111.9382303 40.7801373, -111.9382473 40.7801986, -111.9382604 40.7802633, -111.9356438 40.7802778, -111.9355828 40.7802779, -111.935304 40.7802779, -111.9352882 40.7815359, -111.934421 40.781542, -111.9338968 40.7815278, -111.9337451 40.7816073, -111.9337397 40.7822648, -111.9336418 40.7822737, -111.933552 40.7822875, -111.9334542 40.7823026, -111.9329579 40.7823019, -111.932958 40.78237, -111.9323208 40.7824741, -111.9316904 40.7824309, -111.931168 40.7824265, -111.93107 40.782426, -111.9304308 40.7824269, -111.929758 40.782428, -111.9290911 40.7824284, -111.928548 40.7824287, -111.9284437 40.78242879999998, -111.9283345 40.7824289, -111.9277718 40.7824292, -111.927445 40.7824294, -111.9269893 40.7824296, -111.9266307 40.7824281, -111.9264776 40.7824274, -111.9262719 40.7824266, -111.9262413 40.7824264, -111.9256548 40.7824153, -111.925504 40.78241320000001, -111.9253853 40.7824131, -111.9250088 40.7824111, -111.9246125 40.7824046)","(40.7769117, -111.9416472)","(40.7824046, -111.9246125)"
490351003062,36,0,2188.817,"LINESTRING (-111.94485 40.7722527, -111.9445458 40.7722524, -111.9445469 40.7724474, -111.9445474 40.7725247, -111.94438 40.7726496, -111.9442811 40.7727551, -111.9440606 40.772739, -111.9440608 40.7728119, -111.9439312 40.77281150000001, -111.9439291 40.77234269999999, -111.9439667 40.772197, -111.9441162 40.7718446, -111.9441102 40.7716988, -111.943882 40.7716958, -111.9434045 40.7716945, -111.9430456 40.7716949, -111.9419677 40.7717161, -111.9419571 40.7718482, -111.9419463 40.7720017, -111.9419462 40.7721602, -111.9419419 40.7723136, -111.9419391 40.772471, -111.9419401 40.7726345, -111.9418904 40.7727907, -111.9417855 40.7729217, -111.9414636 40.7729231, -111.9414075 40.7729234, -111.9409366 40.7729255, -111.9406544 40.7729261, -111.9403391 40.7729262, -111.939468 40.7729209, -111.9392945 40.7729199, -111.9392931 40.773181, -111.9392875 40.7740841, -111.9392979 40.7742766, -111.9393057 40.7747761, -111.9393082 40.77494, -111.9393117 40.775023, -111.939349 40.7760439, -111.939351 40.7761316, -111.9393544 40.7762224, -111.9393719 40.7768616, -111.9393904 40.7777261, -111.9394 40.7781558, -111.9394064 40.778602, -111.9394089 40.7797362, -111.9394094 40.7798832, -111.9394109 40.780103, -111.939411 40.7802031, -111.93941 40.7802763, -111.939412 40.7804158, -111.939405 40.7805613, -111.9394045 40.78069339999998, -111.939402 40.7811836, -111.9394005 40.7815275, -111.9394005 40.7824278, -111.9393987 40.78253219999998, -111.9393985 40.78290040000001, -111.9393964 40.7830639, -111.9393962 40.7832609, -111.9393974 40.7833568, -111.9393985 40.7838538, -111.9394012 40.7839962, -111.9393945 40.7843306, -111.939394 40.78461, -111.939394 40.7847522, -111.939393 40.7848887, -111.9393929 40.7852396, -111.9393928 40.7855229)","(40.7722527, -111.94485)","(40.7855229, -111.93939279999998)"
490351003062,32,1,2652.58,"LINESTRING (-111.94485 40.7722527, -111.9445458 40.7722524, -111.9445469 40.7724474, -111.9445474 40.7725247, -111.94438 40.7726496, -111.9442811 40.7727551, -111.9440606 40.772739, -111.9440608 40.7728119, -111.9439312 40.77281150000001, -111.9439291 40.77234269999999, -111.9439667 40.772197, -111.9441162 40.7718446, -111.9441102 40.7716988, -111.943882 40.7716958, -111.9434045 40.7716945, -111.9430456 40.7716949, -111.9419677 40.7717161, -111.9414711 40.7717188, -111.9406273 40.7717184, -111.9400134 40.7717279, -111.9394737 40.7717318, -111.939354 40.7717324, -111.939195 40.7717333, -111.939038 40.7717342, -111.9387723 40.77173339999999, -111.9384899 40.7717334, -111.937909 40.7717252, -111.9368098 40.7717232, -111.936756 40.7717232, -111.9359861 40.7717181, -111.935796 40.7717081, -111.9346109 40.7716982, -111.9343704 40.7716988, -111.934229 40.7716977, -111.9341077 40.771697, -111.9332798 40.7716926, -111.933074 40.7716933, -111.9329291 40.7716938, -111.9321892 40.7716939, -111.9306505 40.7716886, -111.928707 40.7717035, -111.928572 40.7717043, -111.9284242 40.7717058, -111.9280898 40.7717112, -111.9278506 40.7717094, -111.9272494 40.7716947, -111.9268907 40.77168979999998, -111.925713 40.7716402, -111.9253062 40.7716585, -111.9249092 40.7716924, -111.923591 40.7716929, -111.9218672 40.7716949, -111.919905 40.7716871, -111.9196952 40.7716921, -111.9195009 40.7716968, -111.9190151 40.7717019, -111.9187043 40.7717049, -111.9183746 40.7717034, -111.9176842 40.771686, -111.9172274 40.7716944, -111.9170708 40.7717193, -111.9170616 40.7719482, -111.917061 40.7721751, -111.9168386 40.7722047, -111.9168375 40.7722939, -111.9168377 40.7725916)","(40.7722527, -111.94485)","(40.7725916, -111.91683769999999)"
