cbg_id,store_id,rank,distance,geometry,Origin,Destination
480291101001,54,0,734.937,"LINESTRING (-98.48633770000001 29.4265787, -98.48670970000001 29.4266257, -98.4865844 29.4273513, -98.486541 29.4274732, -98.4865325 29.4275659, -98.4865296 29.4276656, -98.4860808 29.4280624, -98.48613250000001 29.4281091, -98.486052 29.428179, -98.48598370000001 29.428241, -98.48592259999999 29.4282964, -98.48562750000001 29.4285581, -98.4855233 29.4286505, -98.4852808 29.4288655, -98.4852088 29.4289294, -98.4851362 29.428991, -98.4844269 29.42959, -98.48434899999999 29.429656, -98.484272 29.4297229, -98.483912 29.430025, -98.483486 29.430395, -98.4830523 29.4307787, -98.48261100000001 29.431169, -98.4824048 29.43135559999999)","(29.4265787, -98.4863377)","(29.43135559999999, -98.4824048)"
480291101001,48,1,1689.919,"LINESTRING (-98.48633770000001 29.4265787, -98.48670970000001 29.4266257, -98.48680090000001 29.4266228, -98.4868951 29.4266199, -98.48789050000001 29.4265834, -98.48799440000001 29.4265829, -98.4880778 29.4265831, -98.48848820000001 29.4265692, -98.48855229999999 29.4265683, -98.48865370000001 29.4265661, -98.48877589999999 29.4265533, -98.48877469999999 29.4265074, -98.48968790000001 29.4264855, -98.4897648 29.4264839, -98.489835 29.426483, -98.4912465 29.426468, -98.4913414 29.4264642, -98.4914182 29.4264638, -98.4923586 29.4264597, -98.4931783 29.4264565, -98.49331220000001 29.4264577, -98.4937558 29.4264616, -98.4945396 29.4264628, -98.49457409999999 29.4257828, -98.4946049 29.425175, -98.4946291 29.4247189, -98.4946458 29.4243946, -98.4946559 29.4240979, -98.49503300000001 29.422739, -98.49532859999999 29.4221757, -98.49534279999999 29.4221487, -98.49536639999999 29.4221037, -98.4953841 29.42207, -98.495541 29.421771, -98.49556219999999 29.4217285, -98.49563209999999 29.4215881, -98.49571160000001 29.4214286, -98.4959379 29.4209744, -98.4961787 29.4205328, -98.49623269999999 29.4204167, -98.4963944 29.420084, -98.49630389999999 29.4200518, -98.49632870000001 29.4199873, -98.4963602 29.4199051, -98.4963813 29.4198503, -98.4963953 29.4198138, -98.4965227 29.4195369, -98.4965993 29.4194011, -98.49684390000002 29.4189277)","(29.4265787, -98.4863377)","(29.4189277, -98.49684390000002)"
480291101002,48,0,978.305,"LINESTRING (-98.4921566 29.4246886, -98.49224950000001 29.4247116, -98.4923362 29.4247331, -98.49306110000002 29.4249118, -98.49313600000001 29.4249267, -98.4937824 29.4250555, -98.49381270000001 29.4246795, -98.4946291 29.4247189, -98.4946458 29.4243946, -98.4946559 29.4240979, -98.49503300000001 29.422739, -98.49532859999999 29.4221757, -98.49534279999999 29.4221487, -98.49536639999999 29.4221037, -98.4953841 29.42207, -98.495541 29.421771, -98.49556219999999 29.4217285, -98.49563209999999 29.4215881, -98.49571160000001 29.4214286, -98.4959379 29.4209744, -98.4961787 29.4205328, -98.49623269999999 29.4204167, -98.4963944 29.420084, -98.49630389999999 29.4200518, -98.49632870000001 29.4199873, -98.4963602 29.4199051, -98.4963813 29.4198503, -98.4963953 29.4198138, -98.4965227 29.4195369, -98.4965993 29.4194011, -98.49684390000002 29.4189277)","(29.4246886, -98.4921566)","(29.4189277, -98.49684390000002)"
480291101002,54,1,1409.644,"LINESTRING (-98.4921566 29.4246886, -98.4921757 29.4246294, -98.49159810000002 29.4244922, -98.4915986 29.4245594, -98.4915992 29.4246327, -98.49157 29.42464159999999, -98.49141419999999 29.4257997, -98.4913442 29.4257987, -98.4912803 29.4257975, -98.4903944 29.4257955, -98.48984 29.4257887, -98.48976469999999 29.4257984, -98.48967759999999 29.4258126, -98.4887806 29.4259436, -98.4887264 29.4259506, -98.48865050000002 29.4259603, -98.4880366 29.4260621, -98.4880366 29.4261016, -98.48803890000001 29.4261503, -98.4880677 29.4264499, -98.48798650000001 29.4264538, -98.48789480000001 29.4264575, -98.48789050000001 29.4265834, -98.48775670000001 29.4270161, -98.4875712 29.4274877, -98.4875382 29.4275668, -98.48713770000001 29.4275702, -98.4871211 29.4276176, -98.4869664 29.4276187, -98.48683990000001 29.4276226, -98.4867579 29.4276895, -98.4867251 29.4277177, -98.4866883 29.4277042, -98.48661130000001 29.4276829, -98.48648300000001 29.4278045, -98.48613250000001 29.4281091, -98.486052 29.428179, -98.48598370000001 29.428241, -98.48592259999999 29.4282964, -98.48562750000001 29.4285581, -98.4855233 29.4286505, -98.4852808 29.4288655, -98.4852088 29.4289294, -98.4851362 29.428991, -98.4844269 29.42959, -98.48434899999999 29.429656, -98.484272 29.4297229, -98.483912 29.430025, -98.483486 29.430395, -98.4830523 29.4307787, -98.48261100000001 29.431169, -98.4824048 29.43135559999999)","(29.4246886, -98.4921566)","(29.43135559999999, -98.4824048)"
480291101003,48,0,1242.765,"LINESTRING (-98.4972911 29.42730130000001, -98.4972849 29.4274383, -98.4968994 29.4274306, -98.4966163 29.427425, -98.49650490000001 29.4274246, -98.4962771 29.4274194, -98.4960889 29.4265562, -98.49610029999998 29.426461, -98.496011 29.4264648, -98.4951945 29.4264637, -98.4951999 29.4262548, -98.4950948 29.4258537, -98.4951205 29.425156, -98.49518879999999 29.4250184, -98.4946291 29.4247189, -98.4946458 29.4243946, -98.4946559 29.4240979, -98.49503300000001 29.422739, -98.49532859999999 29.4221757, -98.49534279999999 29.4221487, -98.49536639999999 29.4221037, -98.4953841 29.42207, -98.495541 29.421771, -98.49556219999999 29.4217285, -98.49563209999999 29.4215881, -98.49571160000001 29.4214286, -98.4959379 29.4209744, -98.4961787 29.4205328, -98.49623269999999 29.4204167, -98.4963944 29.420084, -98.49630389999999 29.4200518, -98.49632870000001 29.4199873, -98.4963602 29.4199051, -98.4963813 29.4198503, -98.4963953 29.4198138, -98.4965227 29.4195369, -98.4965993 29.4194011, -98.49684390000002 29.4189277)","(29.42730130000001, -98.4972911)","(29.4189277, -98.49684390000002)"
480291101003,58,1,1552.859,"LINESTRING (-98.4972911 29.42730130000001, -98.4972849 29.4274383, -98.4973293 29.4274392, -98.49767540000001 29.4274461, -98.4977674 29.4275701, -98.4977607 29.4276191, -98.4977397 29.4277736, -98.497691 29.4281314, -98.4975341 29.42943, -98.49751500000001 29.4295681, -98.4974187 29.4302681, -98.4974569 29.4309303, -98.4974208 29.431271, -98.497415 29.431335, -98.497415 29.4314233, -98.49743599999999 29.431736, -98.49674659999999 29.4319584, -98.4961 29.432162, -98.49665389999998 29.4327127, -98.49677720000001 29.4328353, -98.4968751 29.4329327, -98.497077 29.433137, -98.49721700000001 29.433245, -98.49730700000001 29.433282, -98.49757850000002 29.4333842, -98.49772749999998 29.4334403, -98.498779 29.433895, -98.4991612 29.4341932, -98.4995397 29.4346616, -98.4997561 29.4349771, -98.5000596 29.4352622, -98.500652 29.435626, -98.50096000000001 29.435802, -98.501124 29.435898, -98.501707 29.436436, -98.501932 29.436707, -98.50223459999999 29.4371183, -98.50226600000001 29.437161, -98.50246610000001 29.4374694)","(29.42730130000001, -98.4972911)","(29.4374694, -98.5024661)"
480291103001,40,0,675.278,"LINESTRING (-98.4841098 29.41424, -98.48420160000002 29.4136895, -98.483925 29.412663, -98.48411 29.412381, -98.484432 29.411866, -98.48498499999999 29.410977, -98.485474 29.410183, -98.485952 29.409406, -98.48653849999999 29.4096817, -98.4867363 29.4096764)","(29.41424, -98.4841098)","(29.4096764, -98.4867363)"
480291103001,48,1,1692.268,"LINESTRING (-98.4841098 29.41424, -98.48402560000001 29.414772, -98.48456049999999 29.4151057, -98.4855584 29.4159065, -98.486718 29.416834, -98.4874327 29.417399, -98.48752410000002 29.4174713, -98.48779999999999 29.4176893, -98.4883056 29.4175842, -98.48829379999999 29.4178215, -98.48824089999999 29.4180937, -98.4882247 29.4183966, -98.48821959999999 29.4184951, -98.4883634 29.4185039, -98.48968929999999 29.4183792, -98.490347 29.4182762, -98.4904574 29.4182576, -98.4919768 29.4179783, -98.49336820000001 29.4182267, -98.49422519999999 29.4186352, -98.49428880000001 29.4185587, -98.49432299999999 29.4185242, -98.49439740000001 29.4185658, -98.49443960000001 29.4185878, -98.4953122 29.419375, -98.4954644 29.4194575, -98.4960306 29.4197078, -98.49608720000001 29.4196028, -98.496472 29.4193756, -98.4965993 29.4194011, -98.49684390000002 29.4189277)","(29.41424, -98.4841098)","(29.4189277, -98.49684390000002)"
480291103002,40,0,282.299,"LINESTRING (-98.48498499999999 29.410977, -98.485474 29.410183, -98.485952 29.409406, -98.48653849999999 29.4096817, -98.4867363 29.4096764)","(29.410977, -98.484985)","(29.4096764, -98.4867363)"
480291103002,48,1,1824.793,"LINESTRING (-98.48498499999999 29.410977, -98.486238 29.411575, -98.486271 29.411591, -98.48706180000001 29.4119706, -98.48725690000001 29.4120642, -98.4876 29.412189, -98.48763870000001 29.4123022, -98.48768200000001 29.4124286, -98.48771240000001 29.4125176, -98.4878889 29.413034, -98.4879208 29.4131262, -98.4879909 29.4133293, -98.48867749999999 29.4131502, -98.48906909999999 29.4143364, -98.4891642 29.4146245, -98.4892231 29.4148028, -98.48925389999999 29.414896, -98.4899327 29.415172, -98.489814 29.415327, -98.49062600000001 29.415888, -98.491461 29.416476, -98.49209500000001 29.416937, -98.492285 29.417085, -98.49209399999999 29.4175947, -98.49200860000001 29.4178694, -98.4919768 29.4179783, -98.49336820000001 29.4182267, -98.49422519999999 29.4186352, -98.49428880000001 29.4185587, -98.49432299999999 29.4185242, -98.49439740000001 29.4185658, -98.49443960000001 29.4185878, -98.4953122 29.419375, -98.4954644 29.4194575, -98.4960306 29.4197078, -98.49608720000001 29.4196028, -98.496472 29.4193756, -98.4965993 29.4194011, -98.49684390000002 29.4189277)","(29.410977, -98.484985)","(29.4189277, -98.49684390000002)"
