cbg_id,store_id,rank,distance,geometry,Origin,Destination
60710045032,44,0,9467.401,"LINESTRING (-117.3991316 34.2204045, -117.402898 34.2231941, -117.402409 34.22161650000001, -117.4023063 34.2211721, -117.4023672 34.2203158, -117.400499 34.2190771, -117.4001502 34.21879849999998, -117.3998366 34.2185485, -117.3994743 34.2182789, -117.3990028 34.2178984, -117.3988432 34.2177737, -117.3987179 34.217676, -117.3984598 34.2174747, -117.3982864 34.2173396, -117.3976416 34.2168375, -117.3972615 34.2165415, -117.3965593 34.215995, -117.3959713 34.21553680000001, -117.3950811 34.2148416, -117.3945818 34.2144497, -117.3935328 34.2136352, -117.3930853 34.2132877, -117.3927926 34.2130605, -117.3927247 34.2130078, -117.3920215 34.2124513, -117.3918507 34.2123176, -117.3915592 34.2120871, -117.390867 34.211558, -117.3906328 34.211376, -117.3893695 34.2104123, -117.3889867 34.2101116, -117.3882893 34.2095637, -117.3872662 34.2087598, -117.3871528 34.2086707, -117.386956 34.2085161, -117.3864714 34.2080315, -117.3858255 34.2074809, -117.3857285 34.2074305, -117.3851994 34.2071124, -117.3850119 34.2069962, -117.3847586 34.2067985, -117.3838877 34.2061188, -117.3820665 34.2046996, -117.3811078 34.2039516, -117.3795707 34.2027496, -117.3790475 34.2023435, -117.3788299 34.202175, -117.3786882 34.2020651, -117.3779288 34.20147510000001, -117.3772204 34.2009252, -117.3770038 34.2007571, -117.3764823 34.2003541, -117.3760588 34.2000269, -117.3757803 34.1998117, -117.3752994 34.1994401, -117.375122 34.1992963, -117.3746562 34.19893469999999, -117.3740207 34.1984414, -117.3736917 34.198186, -117.3728244 34.1976242, -117.3718812 34.1971917, -117.3716088 34.1970386, -117.3701232 34.1963167, -117.3690108 34.1957783, -117.3680612 34.1953177, -117.3674274 34.1949843, -117.3670437 34.1947616, -117.3665236 34.1944421, -117.366336 34.1943075, -117.3641558 34.1926975, -117.361763 34.1903386, -117.3610593 34.1915208, -117.3606741 34.1921594, -117.3602523 34.1917928, -117.360116 34.1916325, -117.3596692 34.1911902, -117.3594654 34.1910109, -117.3590718 34.1907352, -117.3582433 34.1902518, -117.3576633 34.1899642, -117.3561786 34.18921850000001, -117.356142 34.1891997, -117.3547551 34.1885058, -117.3546776 34.1884564, -117.3540492 34.1881265, -117.3511563 34.1865755, -117.3480478 34.1849256, -117.347261 34.1845127, -117.3467071 34.1842221, -117.3465646 34.1841474, -117.3461431 34.1839261, -117.345845 34.1837715, -117.3450347 34.1833515, -117.3441925 34.1829149, -117.3439029 34.1827631, -117.3438164 34.1827165, -117.3432903 34.1824328, -117.3423866 34.1819693, -117.3421418 34.1818437, -117.3419558 34.1817483, -117.3412651 34.1813889, -117.341145 34.1813265, -117.3400391 34.180752, -117.339719 34.1805873, -117.3390073 34.1802211, -117.338333 34.179874, -117.3378143 34.1795888, -117.3376065 34.1794747, -117.3354782 34.1783046, -117.3329404 34.1771688, -117.3321888 34.17681, -117.3320454 34.17702569999999, -117.331498 34.1768755, -117.3312916 34.1766636, -117.3300127 34.1773119)","(34.2204045, -117.39913160000002)","(34.1773119, -117.33001270000001)"
60710045032,39,1,10099.857,"LINESTRING (-117.3991316 34.2204045, -117.402898 34.2231941, -117.402409 34.22161650000001, -117.3986862 34.219689, -117.3609621 34.1906641, -117.3575294 34.1882813, -117.3361468 34.1675939, -117.3336418 34.1639418, -117.3336873 34.1638397, -117.3338084 34.1635861, -117.3338868 34.1634275, -117.3339071 34.1633766, -117.3340876 34.1630301, -117.334227 34.1630425, -117.3343748 34.1629106, -117.3346429 34.1628056, -117.334864 34.16295170000002, -117.3350017 34.1628601, -117.335461 34.16327840000001, -117.3354039 34.1633162, -117.3351212 34.1635033, -117.3349664 34.1636023)","(34.2204045, -117.39913160000002)","(34.1636023, -117.33496640000001)"
60710041041,39,0,1580.776,"LINESTRING (-117.3291824 34.1536514, -117.3303694 34.1549287, -117.3304484 34.1549214, -117.3306329 34.1550967, -117.3308003 34.1552556, -117.3310153 34.1561247, -117.3310104 34.1577861, -117.3309456 34.1583663, -117.3322618 34.1591164, -117.3334514 34.1594536, -117.3341703 34.15935820000001, -117.3348896 34.1592118, -117.334924 34.1593064, -117.3344188 34.1622453, -117.3344939 34.1622856, -117.3344667 34.1624051, -117.3345527 34.1625637, -117.3347418 34.16269, -117.3350017 34.1628601, -117.335461 34.16327840000001, -117.3354039 34.1633162, -117.3351212 34.1635033, -117.3349664 34.1636023)","(34.1536514, -117.3291824)","(34.1636023, -117.33496640000001)"
60710041041,43,1,2348.144,"LINESTRING (-117.3291824 34.1536514, -117.3303694 34.1549287, -117.3304484 34.1549214, -117.3306329 34.1550967, -117.3308003 34.1552556, -117.3310153 34.1561247, -117.3310104 34.1577861, -117.3309456 34.1583663, -117.3322618 34.1591164, -117.3334514 34.1594536, -117.3341703 34.15935820000001, -117.3348896 34.1592118, -117.334924 34.1593064, -117.3344188 34.1622453, -117.3344939 34.1622856, -117.3344667 34.1624051, -117.3343571 34.1625134, -117.3341263 34.1627482, -117.3339556 34.1629605, -117.3337491 34.163331, -117.3336939 34.163452, -117.3335767 34.163712, -117.3336873 34.1638397, -117.3336418 34.1639418, -117.3336087 34.1640162, -117.3331681 34.1649556, -117.3331322 34.1650767, -117.3331028 34.1652249, -117.3326437 34.1661956, -117.3326087 34.1664542, -117.3327642 34.1665013, -117.3327428 34.1666711, -117.3329278 34.1670228, -117.3329309 34.1670803, -117.3329372 34.1671989, -117.3330971 34.1671986, -117.3332137 34.1674756, -117.3332253 34.1675031, -117.3333426 34.1677818, -117.333333 34.1679243, -117.3333127 34.16798, -117.3333369 34.1681703, -117.3333501 34.1682021, -117.3334175 34.16836509999999, -117.3334845 34.1685271, -117.333554 34.1686951, -117.3336176 34.1688488, -117.333695 34.1690377, -117.3337419 34.1691493, -117.3337965 34.169281, -117.3334086 34.1695767, -117.3334752 34.16974510000001, -117.3335345 34.1698952)","(34.1536514, -117.3291824)","(34.1698952, -117.3335345)"
60710074091,27,0,1523.243,"LINESTRING (-117.2132595 34.1262733, -117.213127 34.1270653, -117.2131237 34.12797650000001, -117.2131216 34.1285291, -117.2131208 34.1289795, -117.2131134 34.1305583, -117.2131147 34.1307433, -117.2131174 34.13115, -117.2131187 34.1313367, -117.21312 34.13150730000001, -117.2131248 34.1323162, -117.2131182 34.1326846, -117.2098599 34.13315109999998, -117.2098562 34.1335628, -117.2093768 34.1336279, -117.2087628 34.1336744, -117.2087597 34.1340443, -117.2087586 34.13417980000001, -117.2087552 34.1345908, -117.2087532 34.13483870000001, -117.2087523 34.1349211, -117.2087513 34.13506249999999, -117.2087507 34.1351038, -117.2087492 34.1353169, -117.2087453 34.1357834, -117.2082083 34.1357847, -117.2078644 34.1357855)","(34.1262733, -117.2132595)","(34.1357855, -117.2078644)"
60710074091,29,1,2394.82,"LINESTRING (-117.2132595 34.1262733, -117.213127 34.1270653, -117.2131237 34.12797650000001, -117.2131216 34.1285291, -117.2131208 34.1289795, -117.2131134 34.1305583, -117.2131147 34.1307433, -117.2131174 34.13115, -117.2131187 34.1313367, -117.21312 34.13150730000001, -117.2131248 34.1323162, -117.2131182 34.1326846, -117.2098599 34.13315109999998, -117.2098562 34.1335628, -117.2093768 34.1336279, -117.2087628 34.1336744, -117.2087597 34.1340443, -117.2087586 34.13417980000001, -117.2087552 34.1345908, -117.2084031 34.1345889, -117.2081876 34.1345877, -117.2081819 34.1350582, -117.2079607 34.1350565, -117.2078616 34.1350558, -117.2078623 34.1352268, -117.2076375 34.1352245, -117.2076347 34.1355389, -117.2073651 34.1355715, -117.2072885 34.1355717, -117.2072917 34.1357869, -117.2066424 34.1357884, -117.2065249 34.1357887, -117.2058642 34.1357903, -117.2050511 34.1357922, -117.2014129 34.1357807, -117.2002522 34.135775, -117.2001117 34.1357743, -117.199169 34.13571390000001, -117.1984591 34.1358163)","(34.1262733, -117.2132595)","(34.1358163, -117.1984591)"
60710044032,8,0,1577.944,"LINESTRING (-117.3408239 34.0963075, -117.3408296 34.097064, -117.3408276 34.097834, -117.3408255 34.0990587, -117.3406978 34.0990592, -117.3405859 34.0990582, -117.3403173 34.0990576, -117.3401924 34.0990574, -117.3399191 34.099054, -117.3399208 34.09959870000002, -117.3401945 34.0995971, -117.3405546 34.0996015, -117.3409007 34.0995994, -117.3423985 34.0995902, -117.3428978 34.0995871, -117.3444647 34.0995568, -117.3450184 34.0995582, -117.345589 34.0995583, -117.3459912 34.0995563, -117.3472134 34.0995504, -117.34845 34.0995375, -117.348525 34.0995377, -117.348632 34.0995381, -117.3497162 34.0995407, -117.3508258 34.0995453, -117.3514053 34.0995471, -117.3515288 34.0995475, -117.3521706 34.0995496)","(34.0963075, -117.3408239)","(34.0995496, -117.3521706)"
60710044032,6,1,3201.896,"LINESTRING (-117.3408239 34.0963075, -117.339875 34.0963101, -117.3399205 34.0942361, -117.3399168 34.0931716, -117.339907 34.0923299, -117.3381508 34.09232109999999, -117.3376222 34.0923202, -117.3361681 34.0923181, -117.334381 34.0923259, -117.3340584 34.0923257, -117.3337845 34.0923216, -117.333648 34.09231960000001, -117.3335299 34.0923119, -117.33319 34.0922895, -117.3325957 34.0922409, -117.3319504 34.0921917, -117.3303606 34.09216, -117.3292569 34.0921586, -117.329163 34.0921585, -117.3274982 34.0921533, -117.3271952 34.092155, -117.3270764 34.0921528, -117.3269849 34.0921525, -117.3260266 34.092163, -117.3251167 34.0921899, -117.3249612 34.0922003, -117.317988 34.0918385, -117.3173817 34.0919718, -117.3171391 34.09205189999999, -117.316772 34.0921137, -117.3162092 34.0921505, -117.3157374 34.0921481, -117.3153993 34.0921495, -117.314743 34.0921508, -117.3147458 34.0918898, -117.3145668 34.0918894, -117.3143705 34.091889, -117.3143701 34.0916332, -117.31437 34.0915852, -117.3143699 34.0915199, -117.3143694 34.0912506, -117.3141598 34.0912479, -117.3140834 34.0912469, -117.3140749 34.0902784, -117.3138427 34.0902786, -117.3138424 34.0900758, -117.3138429 34.089848)","(34.0963075, -117.3408239)","(34.089848, -117.31384289999998)"
60710045101,44,0,2046.541,"LINESTRING (-117.3185801 34.1880313, -117.3191063 34.1879882, -117.319389 34.1877358, -117.3206101 34.1864268, -117.3212881 34.1864206, -117.321847 34.1856769, -117.3233381 34.1861321, -117.3233939 34.1860323, -117.3236161 34.18563860000001, -117.3237257 34.1854964, -117.3238509 34.1853258, -117.3239161 34.1851592, -117.3241324 34.1848575, -117.3241604 34.1848172, -117.3234675 34.1843958, -117.3235509 34.1842836, -117.3239659 34.1839213, -117.3237827 34.1838407, -117.3236339 34.1837722, -117.3235812 34.1837457, -117.324014 34.1833188, -117.3240517 34.1832536, -117.3247285 34.1830926, -117.3247789 34.1823634, -117.3248987 34.1822613, -117.3248541 34.1819849, -117.3249071 34.1818824, -117.3250223 34.1817256, -117.3252166 34.1814527, -117.3253851 34.1812494, -117.325868 34.1807856, -117.3259036 34.1806054, -117.3256428 34.18047889999998, -117.3258454 34.1804225, -117.3258837 34.1803931, -117.325954 34.1802289, -117.326342 34.1795428, -117.3264051 34.1794816, -117.3268348 34.1790119, -117.3268965 34.17896240000001, -117.326955 34.17891070000001, -117.3270334 34.1788626, -117.3271464 34.1787802, -117.3272751 34.1787506, -117.3273341 34.1787626, -117.3274655 34.1786628, -117.3278256 34.1783664, -117.3278814 34.1783154, -117.3296906 34.1771432, -117.3298857 34.177377, -117.3300127 34.1773119)","(34.1880313, -117.3185801)","(34.1773119, -117.33001270000001)"
60710045101,43,1,3107.804,"LINESTRING (-117.3185801 34.1880313, -117.3191063 34.1879882, -117.319389 34.1877358, -117.3206101 34.1864268, -117.3212881 34.1864206, -117.321847 34.1856769, -117.3233381 34.1861321, -117.3233939 34.1860323, -117.3236161 34.18563860000001, -117.3237257 34.1854964, -117.3238509 34.1853258, -117.3239161 34.1851592, -117.3241324 34.1848575, -117.3241604 34.1848172, -117.3234675 34.1843958, -117.3235509 34.1842836, -117.3239659 34.1839213, -117.3237827 34.1838407, -117.3236339 34.1837722, -117.3235812 34.1837457, -117.324014 34.1833188, -117.3240517 34.1832536, -117.3247285 34.1830926, -117.3247789 34.1823634, -117.3248987 34.1822613, -117.3248541 34.1819849, -117.3249071 34.1818824, -117.3250223 34.1817256, -117.3252166 34.1814527, -117.3253851 34.1812494, -117.325868 34.1807856, -117.3259036 34.1806054, -117.3256428 34.18047889999998, -117.3258454 34.1804225, -117.3258837 34.1803931, -117.325954 34.1802289, -117.326342 34.1795428, -117.3264051 34.1794816, -117.3263973 34.17933479999999, -117.3268822 34.1788628, -117.3269609 34.1788045, -117.3270802 34.1787294, -117.3274217 34.1784985, -117.3277896 34.1782418, -117.3296196 34.1770572, -117.3309396 34.1763684, -117.331082 34.1762941, -117.3312879 34.1761896, -117.333741 34.1710872, -117.3337037 34.1709984, -117.3338241 34.1709634, -117.3343955 34.1708103, -117.3343584 34.1706392, -117.3343361 34.1705853, -117.3342959 34.1704881, -117.3342246 34.1703158, -117.3342025 34.1702624, -117.3341371 34.1701044, -117.3340712 34.169945, -117.3339995 34.1697717, -117.3335345 34.1698952)","(34.1880313, -117.3185801)","(34.1698952, -117.3335345)"
