cbg_id,store_id,rank,distance,geometry,Origin,Destination
60730001001,91,0,1759.496,"LINESTRING (-117.1823201 32.7547143, -117.181847 32.753712, -117.1820105 32.7536029, -117.181 32.753571, -117.1807359 32.7533279, -117.1803106 32.7527646, -117.1803041 32.7522892, -117.1803082 32.7518615, -117.1803096 32.7517641, -117.1800975 32.751763, -117.180054 32.751591, -117.1800283 32.7515726, -117.1796333 32.7512381, -117.1785109 32.7508503, -117.1776912 32.7508549, -117.1768326 32.7508595, -117.1759585 32.7508651, -117.1750431 32.7508644, -117.174566 32.7508662, -117.174137 32.7508638, -117.1737212 32.7508676, -117.1733448 32.750871, -117.1732322 32.750872, -117.173126 32.75087290000001, -117.1727401 32.7508764, -117.1725631 32.750878, -117.1724246 32.7508793, -117.172328 32.7508802, -117.1722297 32.7508809, -117.1721095 32.7508817, -117.171901 32.7508832, -117.17151 32.750886, -117.1714031 32.7508868, -117.1713124 32.750887, -117.1705047 32.75088860000001, -117.1695811 32.7508887, -117.1695745 32.750317, -117.169186 32.7503189, -117.1686923 32.7503214, -117.1686911 32.7500941, -117.1682425 32.7500864, -117.1682377 32.749927)","(32.7547143, -117.1823201)","(32.749927, -117.1682377)"
60730001001,92,1,1834.644,"LINESTRING (-117.1823201 32.7547143, -117.181847 32.753712, -117.1820105 32.7536029, -117.181 32.753571, -117.1807359 32.7533279, -117.1803106 32.7527646, -117.1803041 32.7522892, -117.1803082 32.7518615, -117.1803096 32.7517641, -117.1800975 32.751763, -117.180054 32.751591, -117.1800283 32.7515726, -117.1796333 32.7512381, -117.1785109 32.7508503, -117.1776912 32.7508549, -117.1768326 32.7508595, -117.1759585 32.7508651, -117.1750431 32.7508644, -117.174566 32.7508662, -117.174137 32.7508638, -117.1737212 32.7508676, -117.1733448 32.750871, -117.1732322 32.750872, -117.173126 32.75087290000001, -117.1727401 32.7508764, -117.1725631 32.750878, -117.1724246 32.7508793, -117.172328 32.7508802, -117.1722297 32.7508809, -117.1721095 32.7508817, -117.171901 32.7508832, -117.17151 32.750886, -117.1714031 32.7508868, -117.1713124 32.750887, -117.1705047 32.75088860000001, -117.1695811 32.7508887, -117.1695745 32.750317, -117.169186 32.7503189, -117.1686923 32.7503214, -117.1686911 32.7500941, -117.1682425 32.7500864, -117.1682428 32.7501064, -117.1674884 32.7501149, -117.1674842 32.7499342)","(32.7547143, -117.1823201)","(32.7499342, -117.1674842)"
60730001002,91,0,2074.896,"LINESTRING (-117.188873 32.75153, -117.187748 32.7512833, -117.1871768 32.75123, -117.1870617 32.7512299, -117.1862554 32.7512295, -117.18514 32.7512289, -117.18502 32.7512289, -117.184914 32.7512288, -117.184593 32.7512286, -117.184098 32.7512284, -117.1836506 32.7512281, -117.183456 32.751228, -117.1828986 32.7512277, -117.180827 32.7512401, -117.1796333 32.7512381, -117.1785109 32.7508503, -117.1776912 32.7508549, -117.1768326 32.7508595, -117.1759585 32.7508651, -117.1750431 32.7508644, -117.174566 32.7508662, -117.174137 32.7508638, -117.1737212 32.7508676, -117.1733448 32.750871, -117.1732322 32.750872, -117.173126 32.75087290000001, -117.1727401 32.7508764, -117.1725631 32.750878, -117.1724246 32.7508793, -117.172328 32.7508802, -117.1722297 32.7508809, -117.1721095 32.7508817, -117.171901 32.7508832, -117.17151 32.750886, -117.1714031 32.7508868, -117.1713124 32.750887, -117.1705047 32.75088860000001, -117.1695811 32.7508887, -117.1695745 32.750317, -117.169186 32.7503189, -117.1686923 32.7503214, -117.1686911 32.7500941, -117.1682425 32.7500864, -117.1682377 32.749927)","(32.75153, -117.188873)","(32.749927, -117.1682377)"
60730001002,92,1,2150.044,"LINESTRING (-117.188873 32.75153, -117.187748 32.7512833, -117.1871768 32.75123, -117.1870617 32.7512299, -117.1862554 32.7512295, -117.18514 32.7512289, -117.18502 32.7512289, -117.184914 32.7512288, -117.184593 32.7512286, -117.184098 32.7512284, -117.1836506 32.7512281, -117.183456 32.751228, -117.1828986 32.7512277, -117.180827 32.7512401, -117.1796333 32.7512381, -117.1785109 32.7508503, -117.1776912 32.7508549, -117.1768326 32.7508595, -117.1759585 32.7508651, -117.1750431 32.7508644, -117.174566 32.7508662, -117.174137 32.7508638, -117.1737212 32.7508676, -117.1733448 32.750871, -117.1732322 32.750872, -117.173126 32.75087290000001, -117.1727401 32.7508764, -117.1725631 32.750878, -117.1724246 32.7508793, -117.172328 32.7508802, -117.1722297 32.7508809, -117.1721095 32.7508817, -117.171901 32.7508832, -117.17151 32.750886, -117.1714031 32.7508868, -117.1713124 32.750887, -117.1705047 32.75088860000001, -117.1695811 32.7508887, -117.1695745 32.750317, -117.169186 32.7503189, -117.1686923 32.7503214, -117.1686911 32.7500941, -117.1682425 32.7500864, -117.1682428 32.7501064, -117.1674884 32.7501149, -117.1674842 32.7499342)","(32.75153, -117.188873)","(32.7499342, -117.1674842)"
60730002011,91,0,1143.031,"LINESTRING (-117.1747752 32.7547221, -117.1741618 32.7547241, -117.1741424 32.7537564, -117.174149 32.7527977, -117.1737217 32.75279660000001, -117.173233 32.7527954, -117.1732342 32.75180279999999, -117.1732324 32.7509531, -117.173126 32.75087290000001, -117.1727401 32.7508764, -117.1725631 32.750878, -117.1724246 32.7508793, -117.172328 32.7508802, -117.1722297 32.7508809, -117.1721095 32.7508817, -117.171901 32.7508832, -117.17151 32.750886, -117.1714031 32.7508868, -117.1713124 32.750887, -117.1705047 32.75088860000001, -117.1695811 32.7508887, -117.1695745 32.750317, -117.169186 32.7503189, -117.1686923 32.7503214, -117.1686911 32.7500941, -117.1682425 32.7500864, -117.1682377 32.749927)","(32.7547221, -117.17477520000001)","(32.749927, -117.1682377)"
60730002011,92,1,1218.179,"LINESTRING (-117.1747752 32.7547221, -117.1741618 32.7547241, -117.1741424 32.7537564, -117.174149 32.7527977, -117.1737217 32.75279660000001, -117.173233 32.7527954, -117.1732342 32.75180279999999, -117.1732324 32.7509531, -117.173126 32.75087290000001, -117.1727401 32.7508764, -117.1725631 32.750878, -117.1724246 32.7508793, -117.172328 32.7508802, -117.1722297 32.7508809, -117.1721095 32.7508817, -117.171901 32.7508832, -117.17151 32.750886, -117.1714031 32.7508868, -117.1713124 32.750887, -117.1705047 32.75088860000001, -117.1695811 32.7508887, -117.1695745 32.750317, -117.169186 32.7503189, -117.1686923 32.7503214, -117.1686911 32.7500941, -117.1682425 32.7500864, -117.1682428 32.7501064, -117.1674884 32.7501149, -117.1674842 32.7499342)","(32.7547221, -117.17477520000001)","(32.7499342, -117.1674842)"
60730002012,91,0,576.627,"LINESTRING (-117.1710758 32.7528048, -117.1704989 32.7528104, -117.1696753 32.75277410000001, -117.1695798 32.7518503, -117.1695811 32.7508887, -117.1695745 32.750317, -117.169186 32.7503189, -117.1686923 32.7503214, -117.1686911 32.7500941, -117.1682425 32.7500864, -117.1682377 32.749927)","(32.7528048, -117.1710758)","(32.749927, -117.1682377)"
60730002012,92,1,651.775,"LINESTRING (-117.1710758 32.7528048, -117.1704989 32.7528104, -117.1696753 32.75277410000001, -117.1695798 32.7518503, -117.1695811 32.7508887, -117.1695745 32.750317, -117.169186 32.7503189, -117.1686923 32.7503214, -117.1686911 32.7500941, -117.1682425 32.7500864, -117.1682428 32.7501064, -117.1674884 32.7501149, -117.1674842 32.7499342)","(32.7528048, -117.1710758)","(32.7499342, -117.1674842)"
60730002021,91,0,2183.332,"LINESTRING (-117.1773904 32.7433329, -117.177484 32.74322330000001, -117.177032 32.74295, -117.1767885 32.742026, -117.176102 32.74115, -117.1753278 32.7403231, -117.174919 32.742096, -117.174919 32.743099, -117.174919 32.743584, -117.174919 32.7440055, -117.174919 32.744408, -117.174919 32.745228, -117.1749114 32.7457622, -117.1744255 32.745755, -117.17437 32.746159, -117.1731667 32.7462105, -117.1727858 32.7462139, -117.1725686 32.7462452, -117.1721161 32.7463002, -117.172096 32.747341, -117.1713613 32.7473178, -117.1713732 32.7478702, -117.170514 32.7478701, -117.1704721 32.7489508, -117.1695591 32.7489586, -117.169563 32.749409, -117.1695639 32.7495817, -117.1695651 32.7498029, -117.1693903 32.74980309999999, -117.1689923 32.7498034, -117.1686618 32.7498037, -117.1686795 32.74992, -117.1686911 32.7500941, -117.1682425 32.7500864, -117.1682377 32.749927)","(32.7433329, -117.1773904)","(32.749927, -117.1682377)"
60730002021,92,1,2255.77,"LINESTRING (-117.1773904 32.7433329, -117.177484 32.74322330000001, -117.177032 32.74295, -117.1767885 32.742026, -117.176102 32.74115, -117.1753278 32.7403231, -117.174919 32.742096, -117.174919 32.743099, -117.174919 32.743584, -117.174919 32.7440055, -117.174919 32.744408, -117.174919 32.745228, -117.1749114 32.7457622, -117.1744255 32.745755, -117.17437 32.746159, -117.1731667 32.7462105, -117.1727858 32.7462139, -117.1725686 32.7462452, -117.1721161 32.7463002, -117.172096 32.747341, -117.1713613 32.7473178, -117.1713732 32.7478702, -117.170514 32.7478701, -117.1704721 32.7489508, -117.1695591 32.7489586, -117.169563 32.749409, -117.1695639 32.7495817, -117.1695651 32.7498029, -117.1693903 32.74980309999999, -117.1689923 32.7498034, -117.1686618 32.7498037, -117.1672614 32.74982180000001, -117.1672612 32.7499369, -117.1674842 32.7499342)","(32.7433329, -117.1773904)","(32.7499342, -117.1674842)"
