cbg_id,store_id,rank,distance,geometry,Origin,Destination
60750101011,193,0,396.657,"LINESTRING (-122.4119608 37.8077445, -122.4122424 37.80770820000001, -122.4122296 37.8076384, -122.4123315 37.8076254, -122.4124296 37.807613, -122.4122913 37.8068462, -122.4122822 37.8068027, -122.412272 37.80675380000002, -122.4133263 37.8066219, -122.4133094 37.8065447, -122.4136831 37.8064961, -122.4136702 37.8063748, -122.4137612 37.8063631, -122.4137549 37.80633, -122.4136414 37.8057314, -122.4136195 37.8056285, -122.4136041 37.80554679999999)","(37.8077445, -122.41196080000002)","(37.80554679999999, -122.41360409999999)"
60750101011,194,1,436.793,"LINESTRING (-122.4119608 37.8077445, -122.4122424 37.80770820000001, -122.4122296 37.8076384, -122.4123315 37.8076254, -122.4124296 37.807613, -122.4122913 37.8068462, -122.4122822 37.8068027, -122.412272 37.80675380000002, -122.4133263 37.8066219, -122.4133094 37.8065447, -122.4136831 37.8064961, -122.4136702 37.8063748, -122.4136637 37.8063419, -122.413191 37.8064221, -122.4127904 37.8064739, -122.4128998 37.80635620000001, -122.4128696 37.80620660000002, -122.4128285 37.8060561)","(37.8077445, -122.41196080000002)","(37.8060561, -122.41282849999999)"
60750101012,193,0,745.49,"LINESTRING (-122.4081244 37.8055616, -122.4078827 37.8057813, -122.4070656 37.8059518, -122.4071516 37.8063521, -122.4072353 37.8063401, -122.4093173 37.8060808, -122.4094905 37.8060595, -122.4102271 37.80596790000001, -122.4103155 37.8059556, -122.4104146 37.8059417, -122.4118618 37.8057574, -122.4119542 37.8057458, -122.4120547 37.8057332, -122.4135098 37.80555849999999, -122.4136041 37.80554679999999)","(37.8055616, -122.4081244)","(37.80554679999999, -122.41360409999999)"
60750101012,194,1,959.039,"LINESTRING (-122.4081244 37.8055616, -122.4078827 37.8057813, -122.4070656 37.8059518, -122.4071516 37.8063521, -122.4072353 37.8063401, -122.4093173 37.8060808, -122.4094905 37.8060595, -122.4102271 37.80596790000001, -122.4102442 37.8060442, -122.4103317 37.8060358, -122.4104333 37.8060253, -122.4118788 37.8058418, -122.4119718 37.8058335, -122.412073 37.805824, -122.4131762 37.8056845, -122.4131954 37.80577490000001, -122.4135463 37.8057432, -122.4136637 37.8063419, -122.413191 37.8064221, -122.4127904 37.8064739, -122.4128998 37.80635620000001, -122.4128696 37.80620660000002, -122.4128285 37.8060561)","(37.8055616, -122.4081244)","(37.8060561, -122.41282849999999)"
60750101021,193,0,106.45,"LINESTRING (-122.4135415 37.80467, -122.4134528 37.8047744, -122.413529 37.80515030000002, -122.4136041 37.80554679999999)","(37.80467, -122.4135415)","(37.80554679999999, -122.41360409999999)"
60750101021,194,1,339.01,"LINESTRING (-122.4135415 37.80467, -122.4134528 37.8047744, -122.413529 37.80515030000002, -122.4136041 37.80554679999999, -122.4136195 37.8056285, -122.4136414 37.8057314, -122.4137549 37.80633, -122.4136637 37.8063419, -122.413191 37.8064221, -122.4127904 37.8064739, -122.4128998 37.80635620000001, -122.4128696 37.80620660000002, -122.4128285 37.8060561)","(37.80467, -122.4135415)","(37.8060561, -122.41282849999999)"
60750102011,193,0,1031.703,"LINESTRING (-122.4212744 37.8017872, -122.4211799 37.8018047, -122.4197228 37.8019898, -122.4197387 37.8020649, -122.4196452 37.8020751, -122.4195508 37.8020917, -122.41898 37.8021689, -122.4190624 37.8029628, -122.418269 37.8030673, -122.4181606 37.8030817, -122.4180669 37.80309410000001, -122.4180767 37.80314019999999, -122.4166248 37.8033261, -122.4165234 37.8033391, -122.4164447 37.8033492, -122.4150519 37.8035278, -122.41488 37.8035415, -122.414714 37.803563, -122.4133369 37.8037459, -122.4132545 37.8038421, -122.4133285 37.8042066, -122.4133716 37.8044192, -122.4134126 37.80462090000001, -122.4134294 37.804684, -122.4134528 37.8047744, -122.413529 37.80515030000002, -122.4136041 37.80554679999999)","(37.8017872, -122.42127440000002)","(37.80554679999999, -122.41360409999999)"
60750102011,194,1,1263.91,"LINESTRING (-122.4212744 37.8017872, -122.4211799 37.8018047, -122.4197228 37.8019898, -122.4197387 37.8020649, -122.4196452 37.8020751, -122.4195508 37.8020917, -122.41898 37.8021689, -122.4190624 37.8029628, -122.418269 37.8030673, -122.4181606 37.8030817, -122.4180669 37.80309410000001, -122.4180767 37.80314019999999, -122.4166248 37.8033261, -122.4165234 37.8033391, -122.4164447 37.8033492, -122.4150519 37.8035278, -122.41488 37.8035415, -122.4149076 37.8037068, -122.4150165 37.804212, -122.4149289 37.80422310000002, -122.4149697 37.80442450000002, -122.4149821 37.8044898, -122.4149975 37.804571, -122.4151494 37.805358, -122.4151642 37.8054295, -122.4137205 37.8056154, -122.413741 37.8057191, -122.4136414 37.8057314, -122.4137549 37.80633, -122.4136637 37.8063419, -122.413191 37.8064221, -122.4127904 37.8064739, -122.4128998 37.80635620000001, -122.4128696 37.80620660000002, -122.4128285 37.8060561)","(37.8017872, -122.42127440000002)","(37.8060561, -122.41282849999999)"
60750102012,193,0,1135.481,"LINESTRING (-122.4210813 37.8008304, -122.4211059 37.8009524, -122.4210261 37.8009626, -122.4208241 37.8009887, -122.4206875 37.8010063, -122.4205423 37.801025, -122.4199959 37.8010905, -122.4195455 37.8011434, -122.4194584 37.80114620000001, -122.4193741 37.8011559, -122.4195242 37.8019334, -122.4192857 37.80197070000001, -122.4192561 37.8020192, -122.4190306 37.80213590000001, -122.4190166 37.8021325, -122.41898 37.8021689, -122.4190624 37.8029628, -122.418269 37.8030673, -122.4181606 37.8030817, -122.4180669 37.80309410000001, -122.4180767 37.80314019999999, -122.4166248 37.8033261, -122.4165234 37.8033391, -122.4164447 37.8033492, -122.4150519 37.8035278, -122.41488 37.8035415, -122.414714 37.803563, -122.4133369 37.8037459, -122.4132545 37.8038421, -122.4133285 37.8042066, -122.4133716 37.8044192, -122.4134126 37.80462090000001, -122.4134294 37.804684, -122.4134528 37.8047744, -122.413529 37.80515030000002, -122.4136041 37.80554679999999)","(37.8008304, -122.42108129999998)","(37.80554679999999, -122.41360409999999)"
60750102012,162,1,1214.859,"LINESTRING (-122.4210813 37.8008304, -122.420896 37.79991660000001, -122.4207091 37.7989861, -122.4206516 37.798701, -122.4205206 37.798052, -122.4203333 37.7971235, -122.4201595 37.7962729, -122.4201546 37.79624760000002, -122.4201353 37.79614, -122.42012 37.7960631, -122.4201111 37.7960168, -122.4200215 37.7960257, -122.4193045 37.7961084, -122.4192617 37.7960716, -122.419117 37.79536530000001, -122.4185656 37.7954348, -122.4184134 37.795454, -122.4183077 37.7954672, -122.4182225 37.7954779, -122.4182129 37.7954318, -122.4180517 37.7946393, -122.4175608 37.7947009, -122.4166022 37.7948212, -122.4165902 37.7947645, -122.4165803 37.7947178, -122.4164217 37.7939469, -122.4164117 37.7938995, -122.4163984 37.7938365, -122.4163 37.79385, -122.4161325 37.79302040000001)","(37.8008304, -122.42108129999998)","(37.79302040000001, -122.41613249999997)"
