cbg_id,store_id,rank,distance,geometry,Origin,Destination
60855001001,124,0,1052.061,"LINESTRING (-121.8976143 37.3595895, -121.8973321 37.3591981, -121.8975005 37.3591154, -121.8976967 37.3590207, -121.8978863 37.3589292, -121.8980649 37.3588429, -121.8982588 37.3587493, -121.8985308 37.358618, -121.8981287 37.3580882, -121.8978777 37.3577483, -121.8975578 37.3573152, -121.8969877 37.3565576, -121.8961467 37.3569479, -121.8960393 37.356998, -121.8959397 37.35705, -121.894985 37.3574973, -121.894045 37.3579423, -121.893945 37.3579959, -121.8938379 37.3580505, -121.8938368 37.3580969, -121.8938197 37.3581405, -121.8928093 37.3585331, -121.8911381 37.3593483)","(37.3595895, -121.89761429999997)","(37.3593483, -121.89113810000002)"
60855001001,121,1,1587.109,"LINESTRING (-121.8976143 37.3595895, -121.8973321 37.3591981, -121.8975005 37.3591154, -121.8976967 37.3590207, -121.8978863 37.3589292, -121.8980649 37.3588429, -121.8982588 37.3587493, -121.8985308 37.358618, -121.8981287 37.3580882, -121.8978777 37.3577483, -121.8975578 37.3573152, -121.8969877 37.3565576, -121.8961467 37.3569479, -121.8960393 37.356998, -121.8959671 37.3568988, -121.8953704 37.3571837, -121.8953164 37.357108, -121.8941615 37.357655, -121.89401 37.3574547, -121.8935674 37.3568616, -121.893199 37.3568156, -121.8931694 37.35682540000001, -121.893068 37.3568582, -121.8929678 37.3568913, -121.8929197 37.3568367, -121.892091 37.35723440000002, -121.8913981 37.35630320000001, -121.8913212 37.35621380000001, -121.8912518 37.3562471, -121.8911632 37.3562885, -121.8911281 37.3563049, -121.8910637 37.3562348, -121.8902898 37.3565911, -121.890219 37.3566262, -121.890168 37.3566515, -121.8886802 37.3546812, -121.8879219 37.35504)","(37.3595895, -121.89761429999997)","(37.35504, -121.8879219)"
60855001002,124,0,315.003,"LINESTRING (-121.8881581 37.3605036, -121.8889141 37.3601409, -121.8890223 37.36009580000001, -121.8890837 37.3601788, -121.8895184 37.3599747, -121.8900179 37.3597402, -121.8900774 37.3598193, -121.8901472 37.35979480000001, -121.8907917 37.3595081, -121.8907966 37.3594996, -121.8908796 37.3594609, -121.891011 37.35939960000001, -121.8911284 37.3593448, -121.8911381 37.3593483)","(37.3605036, -121.8881581)","(37.3593483, -121.89113810000002)"
60855001002,121,1,813.451,"LINESTRING (-121.8881581 37.3605036, -121.8889141 37.3601409, -121.8890223 37.36009580000001, -121.8891256 37.3600393, -121.8894464 37.35988630000001, -121.8898899 37.3596748, -121.8899527 37.3596534, -121.8900177 37.35961970000001, -121.8902304 37.3595172, -121.8904587 37.3594071, -121.8906579 37.3592987, -121.8904365 37.3587807, -121.8905212 37.3587416, -121.8903623 37.358521, -121.8901905 37.35828440000002, -121.8901418 37.3582174, -121.8897938 37.3577503, -121.8897317 37.35766690000002, -121.8896604 37.3575713, -121.8894099 37.357235, -121.8893447 37.3571475, -121.8892903 37.3570747, -121.8893983 37.35702040000001, -121.8893086 37.3569074, -121.8892404 37.3568156, -121.8887687 37.3561802, -121.8879219 37.35504)","(37.3605036, -121.8881581)","(37.35504, -121.8879219)"
60855001003,121,0,669.494,"LINESTRING (-121.8841529 37.3586656, -121.8840613 37.35854270000002, -121.8839092 37.3583387, -121.8837829 37.3581692, -121.8836613 37.3580061, -121.8835824 37.3579002, -121.8836552 37.3578638, -121.8835704 37.3577497, -121.8834773 37.3576245, -121.8832198 37.3572784, -121.8834613 37.3571532, -121.8836434 37.3570683, -121.8839912 37.356906, -121.8839919 37.35689090000001, -121.8840728 37.3568554, -121.8841652 37.3568101, -121.8841886 37.3568177, -121.8849498 37.3564539, -121.8850138 37.3564241, -121.885087 37.35639, -121.8858467 37.3560269, -121.8859494 37.3559786, -121.886059 37.35592720000001, -121.8868004 37.3555616, -121.886877 37.3555311, -121.8869545 37.3555002, -121.8877127 37.35513490000002, -121.8877155 37.3551245, -121.887807 37.355083, -121.8879082 37.3550354, -121.8879219 37.35504)","(37.3586656, -121.88415290000002)","(37.35504, -121.8879219)"
60855001003,124,1,865.624,"LINESTRING (-121.8841529 37.3586656, -121.8842335 37.3587738, -121.8843405 37.3589173, -121.8844149 37.358885, -121.8844549 37.35893870000001, -121.8846865 37.3592501, -121.8849602 37.3591226, -121.8850223 37.3591981, -121.8851736 37.3591265, -121.8855073 37.3589685, -121.8855821 37.35904560000002, -121.8856719 37.3589998, -121.885782 37.35895370000001, -121.8865529 37.3585875, -121.886605 37.3585654, -121.8866798 37.3585336, -121.8874473 37.35816880000002, -121.8875435 37.358123, -121.8876345 37.3582447, -121.8877372 37.3581986, -121.8878245 37.3583125, -121.8879683 37.3585001, -121.8881145 37.358691, -121.8881643 37.3587559, -121.8882447 37.3588608, -121.8883168 37.3589549, -121.8883534 37.3590026, -121.888387 37.35904820000001, -121.8887382 37.358884, -121.8888253 37.3588433, -121.8890173 37.3587535, -121.8891316 37.3587001, -121.8891706 37.35875140000001, -121.8892036 37.3587571, -121.8892852 37.3588662, -121.8894244 37.35905240000001, -121.8895125 37.35917010000001, -121.8895937 37.3592788, -121.8897339 37.3594662, -121.8898899 37.3596748, -121.8899527 37.3596534, -121.8900179 37.3597402, -121.8900774 37.3598193, -121.8901472 37.35979480000001, -121.8907917 37.3595081, -121.8907966 37.3594996, -121.8908796 37.3594609, -121.891011 37.35939960000001, -121.8911284 37.3593448, -121.8911381 37.3593483)","(37.3586656, -121.88415290000002)","(37.3593483, -121.89113810000002)"
60855001004,124,0,827.556,"LINESTRING (-121.8939006 37.3549709, -121.8942993 37.3547938, -121.895089 37.35585410000002, -121.8951709 37.3559636, -121.895827 37.3568479, -121.8953164 37.357108, -121.8941615 37.357655, -121.894208 37.3577459, -121.8939781 37.3578538, -121.8938898 37.3578956, -121.893767 37.3579505, -121.8935696 37.3580428, -121.8928428 37.3583899, -121.892733 37.3584443, -121.8928093 37.3585331, -121.8911381 37.3593483)","(37.3549709, -121.8939006)","(37.3593483, -121.89113810000002)"
60855001004,121,1,866.694,"LINESTRING (-121.8939006 37.3549709, -121.8942993 37.3547938, -121.8943971 37.3546749, -121.8944568 37.3546468, -121.8932279 37.3529495, -121.8932517 37.3529392, -121.8930786 37.3525844, -121.8927984 37.3527137, -121.891806 37.3531881, -121.8916939 37.3532425, -121.8908508 37.3536547, -121.8908103 37.3536493, -121.8907732 37.35366630000001, -121.8907149 37.35369390000001, -121.8906528 37.3537235, -121.8906316 37.3537564, -121.890498 37.3538182, -121.889945 37.35408540000001, -121.8898002 37.354158, -121.8897713 37.3541553, -121.8897084 37.3541852, -121.8896254 37.35422470000001, -121.8896007 37.3542363, -121.8895907 37.3542566, -121.8888197 37.3546191, -121.8887456 37.35465210000001, -121.8886802 37.3546812, -121.8879219 37.35504)","(37.3549709, -121.8939006)","(37.35504, -121.8879219)"
60855002001,124,0,1511.773,"LINESTRING (-121.9041247 37.3534109, -121.9042885 37.35397840000001, -121.9044062 37.3541389, -121.9042868 37.35417890000002, -121.9042359 37.3541989, -121.9036873 37.3534608, -121.9034765 37.3535285, -121.9033881 37.3535537, -121.9033831 37.353564, -121.9025207 37.3539223, -121.902409 37.353968, -121.9023251 37.3540078, -121.9023224 37.3540217, -121.9018867 37.3542141, -121.9014687 37.3544218, -121.9014553 37.3544197, -121.9013582 37.3544693, -121.9012587 37.3545224, -121.9004251 37.35492520000001, -121.9004157 37.3549332, -121.9003178 37.354977, -121.9002144 37.3550234, -121.8993571 37.3554279, -121.8992253 37.3554813, -121.899108 37.3555452, -121.8982477 37.3559533, -121.898151 37.3559985, -121.898057 37.3560423, -121.8972144 37.3564524, -121.8971973 37.3564516, -121.8970876 37.3565072, -121.8969914 37.3565484, -121.8969877 37.3565576, -121.8961467 37.3569479, -121.8960393 37.356998, -121.8959397 37.35705, -121.894985 37.3574973, -121.894045 37.3579423, -121.893945 37.3579959, -121.8938379 37.3580505, -121.8938368 37.3580969, -121.8938197 37.3581405, -121.8928093 37.3585331, -121.8911381 37.3593483)","(37.3534109, -121.90412470000001)","(37.3593483, -121.89113810000002)"
60855002001,110,1,1791.23,"LINESTRING (-121.9041247 37.3534109, -121.9042864 37.35333110000001, -121.9044544 37.3532467, -121.904619 37.3531663, -121.9047855 37.3530895, -121.9049502 37.3530109, -121.9051158 37.35293, -121.9050541 37.3528482, -121.9050328 37.35282380000001, -121.9049743 37.3527449, -121.9056113 37.3523584, -121.9055496 37.352247, -121.9055206 37.3521768, -121.9054991 37.3521673, -121.9050912 37.3512926, -121.9049232 37.350973, -121.9047917 37.3507227, -121.9047441 37.3506321, -121.9046388 37.3504319, -121.9041614 37.3496711, -121.904153 37.34965660000001, -121.9040719 37.3495775, -121.9040055 37.3495135, -121.9040723 37.3494644, -121.9039601 37.3493671, -121.9036716 37.3491396, -121.9034782 37.3489874, -121.903087 37.34868570000001, -121.9027733 37.3483288, -121.9027855 37.348133, -121.9029201 37.347974, -121.9041087 37.34724580000002, -121.9043112 37.3470995, -121.9043694 37.3469344, -121.9044191 37.3467938, -121.9044021 37.346672, -121.904622 37.3465198, -121.9069546 37.3449677, -121.9071826 37.3448132, -121.9074765 37.344573, -121.9074779 37.3445004, -121.9074916 37.344126, -121.9073988 37.344034, -121.9074136 37.3438538, -121.9075316 37.3437791, -121.9075775 37.3434097, -121.9077334 37.3433693, -121.9074818 37.3432133, -121.9074793 37.3429863, -121.907483 37.34290880000001, -121.9079819 37.34256330000002, -121.9085117 37.3421866, -121.9085725 37.3421463, -121.9086391 37.3421021, -121.9088749 37.3419368, -121.9090647 37.3418039, -121.9090188 37.3417545, -121.9093018 37.3414771)","(37.3534109, -121.90412470000001)","(37.3414771, -121.9093018)"
