cbg_id,store_id,rank,distance,geometry,Origin,Destination
60590761022,56,0,2423.484,"LINESTRING (-117.8856527 33.7782728, -117.8850204 33.7779918, -117.8847891 33.7779899, -117.884488 33.7779874, -117.8844433 33.7779076, -117.8845208 33.7777345, -117.8847305 33.7768434, -117.884733 33.7759737, -117.8847364 33.7757432, -117.8847503 33.7746228, -117.8847512 33.7745524, -117.884752 33.7744916, -117.8847545 33.7742878, -117.8847566 33.77411939999998, -117.8847572 33.7740735, -117.8847595 33.77389130000001, -117.8847599 33.7737616, -117.884837 33.7731075, -117.8848449 33.772808, -117.8848604 33.7719675, -117.8848627 33.77088830000001, -117.8848927 33.77014839999999, -117.8848205 33.7698744, -117.8848234 33.76973189999999, -117.8848329 33.7692806, -117.8848341 33.7691596, -117.8848744 33.7668686, -117.884912 33.7645479, -117.884941 33.7632416, -117.8850183 33.7628287, -117.8851415 33.7628284, -117.8856967 33.7628271, -117.8856948 33.7627719, -117.8856896 33.7619873, -117.8860027 33.7619848, -117.8861352 33.7619573, -117.8870443 33.7613659, -117.8871937 33.7613565, -117.8872168 33.7613532, -117.8874164 33.7613345, -117.8874181 33.76062910000001, -117.8876139 33.760625, -117.8877817 33.7605566, -117.8879818 33.76051729999999, -117.8881964 33.7605146, -117.8883934 33.7605122, -117.8884186 33.7600748)","(33.7782728, -117.8856527)","(33.7600748, -117.88841859999998)"
60590761022,57,1,2469.803,"LINESTRING (-117.8856527 33.7782728, -117.8850204 33.7779918, -117.8847891 33.7779899, -117.884488 33.7779874, -117.8844433 33.7779076, -117.8845208 33.7777345, -117.8847305 33.7768434, -117.884733 33.7759737, -117.8847364 33.7757432, -117.8847503 33.7746228, -117.8847512 33.7745524, -117.884752 33.7744916, -117.8847545 33.7742878, -117.8847566 33.77411939999998, -117.8847572 33.7740735, -117.8847595 33.77389130000001, -117.8847599 33.7737616, -117.884837 33.7731075, -117.8848449 33.772808, -117.8848604 33.7719675, -117.8848627 33.77088830000001, -117.8848927 33.77014839999999, -117.8848205 33.7698744, -117.8848234 33.76973189999999, -117.8848329 33.7692806, -117.8848341 33.7691596, -117.8848744 33.7668686, -117.884912 33.7645479, -117.884941 33.7632416, -117.8850183 33.7628287, -117.8851415 33.7628284, -117.8856967 33.7628271, -117.8856948 33.7627719, -117.8856896 33.7619873, -117.8860027 33.7619848, -117.8861352 33.7619573, -117.8870443 33.7613659, -117.8871937 33.7613565, -117.8872168 33.7613532, -117.8874164 33.7613345, -117.8874181 33.76062910000001, -117.8876139 33.760625, -117.8877817 33.7605566, -117.8879818 33.76051729999999, -117.8881964 33.7605146, -117.8883934 33.7605122, -117.8888448 33.7605146, -117.889004 33.7602885, -117.8891768 33.7602878)","(33.7782728, -117.8856527)","(33.7602878, -117.8891768)"
60590761023,56,0,2505.111,"LINESTRING (-117.8927936 33.7744881, -117.8913846 33.7744675, -117.8907284 33.7743582, -117.8905853 33.7743273, -117.8903377 33.7742491, -117.8903063 33.7742392, -117.8902236 33.7742142, -117.8901332 33.774186, -117.8899891 33.7740837, -117.8872785 33.7733629, -117.8871228 33.7733322, -117.8868978 33.7732878, -117.8861896 33.7731728, -117.8851151 33.7731083, -117.8848449 33.772808, -117.8848604 33.7719675, -117.8848627 33.77088830000001, -117.8848927 33.77014839999999, -117.8848205 33.7698744, -117.8848234 33.76973189999999, -117.8848329 33.7692806, -117.8848341 33.7691596, -117.8848744 33.7668686, -117.884912 33.7645479, -117.884941 33.7632416, -117.8850183 33.7628287, -117.8851415 33.7628284, -117.8856967 33.7628271, -117.8856948 33.7627719, -117.8856896 33.7619873, -117.8860027 33.7619848, -117.8861352 33.7619573, -117.8870443 33.7613659, -117.8871937 33.7613565, -117.8872168 33.7613532, -117.8874164 33.7613345, -117.8874181 33.76062910000001, -117.8876139 33.760625, -117.8877817 33.7605566, -117.8879818 33.76051729999999, -117.8881964 33.7605146, -117.8883934 33.7605122, -117.8884186 33.7600748)","(33.7744881, -117.8927936)","(33.7600748, -117.88841859999998)"
60590761023,58,1,2505.906,"LINESTRING (-117.8927936 33.7744881, -117.8933187 33.7744823, -117.8939173 33.7744739, -117.893905 33.7739564, -117.8938928 33.773266, -117.8938802 33.77255, -117.8938675 33.7718278, -117.8938545 33.7710845, -117.8938416 33.7703529, -117.8925791 33.770311, -117.8985878 33.7633184, -117.9000239 33.7612551, -117.9002169 33.7610805, -117.9010595 33.7599229, -117.9023026 33.7599115, -117.902845 33.7599115, -117.9043123 33.759905, -117.9043195 33.7600936, -117.9043242 33.7602285, -117.9051359 33.76023)","(33.7744881, -117.8927936)","(33.76023, -117.9051359)"
60590751004,54,0,974.684,"LINESTRING (-117.879273 33.7578754, -117.8792437 33.7599759, -117.8787475 33.7599729, -117.8780314 33.7599686, -117.8776613 33.7599664, -117.8775146 33.7599656, -117.8764319 33.7599758, -117.876268 33.75997730000001, -117.876023 33.7599795, -117.875689 33.7599786, -117.8751493 33.7599765, -117.8746125 33.7599761, -117.8735363 33.7599762, -117.8732268 33.7599759, -117.8730137 33.7599741, -117.8724638 33.759974, -117.8720378 33.7599753, -117.8720328 33.7598154, -117.8718272 33.7598149, -117.8716117 33.75981440000002, -117.8714148 33.7598139)","(33.7578754, -117.879273)","(33.7598139, -117.8714148)"
60590751004,56,1,1096.981,"LINESTRING (-117.879273 33.7578754, -117.8792437 33.7599759, -117.8792445 33.76011330000001, -117.880283 33.7601138, -117.8813642 33.7601144, -117.8818513 33.7601147, -117.8821028 33.7601148, -117.8825375 33.7601151, -117.8835889 33.7601156, -117.8839847 33.7601158, -117.8842087 33.76011589999999, -117.8848759 33.7601102, -117.8850673 33.76010849999999, -117.8870568 33.7600915, -117.8884186 33.7600748)","(33.7578754, -117.879273)","(33.7600748, -117.88841859999998)"
60590890041,45,0,1118.31,"LINESTRING (-117.9242126 33.7507263, -117.9242147 33.7513162, -117.9244298 33.751595, -117.9245154 33.7524968, -117.9249961 33.7524941, -117.9254058 33.7524868, -117.9258425 33.75248419999998, -117.9262911 33.7524816, -117.9271403 33.7524723, -117.9271404 33.7519456, -117.9272299 33.7502964, -117.9288415 33.750276, -117.9288379 33.7495401, -117.9288386 33.7491437, -117.9288344 33.7488132, -117.9283909 33.7488216, -117.9283624 33.7488221, -117.927741 33.74883390000002)","(33.7507263, -117.9242126)","(33.748833900000015, -117.927741)"
60590890041,46,1,1149.027,"LINESTRING (-117.9242126 33.7507263, -117.9242147 33.7513162, -117.9244298 33.751595, -117.9245154 33.7524968, -117.9241303 33.7524989, -117.9236596 33.7524989, -117.9224143 33.7525113, -117.9223358 33.752514, -117.921867 33.7525158, -117.9213301 33.75253, -117.9212056 33.7525359, -117.9208547 33.7525434, -117.9208012 33.7525446, -117.9202665 33.7525535, -117.9201069 33.7525535, -117.9194528 33.7525319, -117.9188508 33.75253789999999, -117.9188432 33.75225970000001, -117.9188091 33.7505648, -117.9187904 33.749568, -117.9192259 33.7495681, -117.9192192 33.7492526)","(33.7507263, -117.9242126)","(33.7492526, -117.9192192)"
60590890042,45,0,1139.627,"LINESTRING (-117.9249939 33.7557922, -117.9252597 33.7549283, -117.9258911 33.754243, -117.9262911 33.7532545, -117.9262911 33.75289630000001, -117.9262911 33.7524816, -117.9271403 33.7524723, -117.9271404 33.7519456, -117.9272299 33.7502964, -117.9288415 33.750276, -117.9288379 33.7495401, -117.9288386 33.7491437, -117.9288344 33.7488132, -117.9283909 33.7488216, -117.9283624 33.7488221, -117.927741 33.74883390000002)","(33.7557922, -117.9249939)","(33.748833900000015, -117.927741)"
60590890042,37,1,1488.706,"LINESTRING (-117.9249939 33.7557922, -117.9252597 33.7549283, -117.9258911 33.754243, -117.9262911 33.7532545, -117.9262911 33.75289630000001, -117.9262911 33.7524816, -117.9271403 33.7524723, -117.9271404 33.7519456, -117.9272299 33.7502964, -117.9288415 33.750276, -117.9288379 33.7495401, -117.9288386 33.7491437, -117.9288344 33.7488132, -117.9288293 33.7483011, -117.9288288 33.7482466, -117.9288201 33.74736840000001, -117.9288144 33.7467961, -117.928812 33.7465458, -117.9288077 33.746112, -117.9288043 33.7457764, -117.9288034 33.745679, -117.9288015 33.745488, -117.9288011 33.7454461, -117.9287978 33.745116, -117.9284857 33.74511840000001, -117.9283752 33.7451192)","(33.7557922, -117.9249939)","(33.7451192, -117.92837519999998)"
