cbg_id,store_id,rank,distance,geometry,Origin,Destination
40132168072,13,0,1714.765,"LINESTRING (-111.8945325 33.5589279, -111.8945328 33.5589881, -111.8945331 33.55905669999999, -111.8945342 33.5597292, -111.8945349 33.5597898, -111.8945356 33.5598514, -111.8945264 33.5605799, -111.8945291 33.5606418, -111.8945318 33.56070170000001, -111.8947208 33.5613432, -111.8934092 33.5613499, -111.893319 33.5613455, -111.8933173 33.5614105, -111.8933133 33.5614735, -111.8932605 33.5621741, -111.8931662 33.5630108, -111.8930941 33.5637279, -111.8930862 33.5637968, -111.8930779 33.56386590000001, -111.8929951 33.564628, -111.8933069 33.5654395, -111.8933448 33.5654842, -111.8934005 33.5655465, -111.8941308 33.5660377, -111.8950087 33.567005, -111.8950291 33.5670684, -111.8949813 33.5671045, -111.8948569 33.5671489, -111.8946888 33.5672557, -111.8938287 33.568034, -111.8936839 33.5681795, -111.8936031 33.5682527, -111.8935452 33.5682797, -111.8935341 33.5683102, -111.893484 33.5683991, -111.8933353 33.5686415, -111.8931837 33.568778, -111.8931357 33.5688146, -111.8929932 33.5689134, -111.8896979 33.5688135)","(33.5589279, -111.89453249999998)","(33.5688135, -111.8896979)"
40132168072,11,1,3020.004,"LINESTRING (-111.8945325 33.5589279, -111.895993 33.5573899, -111.8959931 33.5573233, -111.896062 33.557324, -111.8960745 33.5569398, -111.8960768 33.556869, -111.896518 33.5568748, -111.8965197 33.5567991, -111.896502 33.5563148, -111.8964251 33.5560314, -111.8963732 33.5558397, -111.8964681 33.5558272, -111.897337 33.5557775, -111.897349 33.555707, -111.8974104 33.5553224, -111.8974202 33.5552343, -111.8974467 33.5550765, -111.8974768 33.5549608, -111.8976115 33.5545931, -111.8976264 33.5545108, -111.8976412 33.5544293, -111.8983835 33.55447179999999, -111.8983734 33.5543409, -111.8983668 33.5542825, -111.8984156 33.554249, -111.8985384 33.5542431, -111.8987309 33.554238, -111.8988613 33.5533547, -111.899077 33.55260830000001, -111.9009953 33.5498523, -111.903317 33.5477707, -111.9046194 33.5465883, -111.9064487 33.5449355, -111.906517 33.54487429999999, -111.90661 33.54478769999999, -111.9066598 33.5447411, -111.9065125 33.5446239, -111.9064448 33.5445701, -111.9070836 33.5438403, -111.9070983 33.5437672, -111.9084536 33.540246, -111.9084519 33.5401646, -111.9084504 33.5400956, -111.908473 33.5387776, -111.9084396 33.5386566, -111.90843 33.5385647, -111.908416 33.5384535, -111.9084085 33.5383789, -111.9084532 33.5377979, -111.9084553 33.5377491, -111.908459 33.5376656)","(33.5589279, -111.89453249999998)","(33.5376656, -111.908459)"
40132168091,17,0,3515.227,"LINESTRING (-111.8218223 33.570792, -111.8230319 33.5699287, -111.8249581 33.5700905, -111.8250484 33.5701141, -111.8260295 33.5705019, -111.8270894 33.5709805, -111.8272499 33.5725606, -111.8273201 33.57267860000001, -111.8274961 33.5729505, -111.8277283 33.5734124, -111.8277578 33.57409159999999, -111.8276733 33.5747072, -111.8277032 33.5751449, -111.8275855 33.5751916, -111.8266217 33.5751859, -111.8265055 33.5751856, -111.8265629 33.5763646, -111.8306863 33.5795779, -111.8321244 33.5795791, -111.8350466 33.5812467, -111.8350564 33.581308, -111.8350082 33.5822582, -111.835006 33.5823575, -111.834992 33.582527, -111.8349818 33.582614, -111.8349809 33.5829386, -111.8349845 33.5834386, -111.8349846 33.584225, -111.8349846 33.58465080000001, -111.8349845 33.5854379, -111.8349845 33.5863358, -111.8353835 33.5880654, -111.8350346 33.5881911, -111.8342713 33.5885517, -111.834468 33.5886281, -111.8343637 33.5888186, -111.8342715 33.588987, -111.8341794 33.5891552, -111.834073 33.5893495, -111.833965 33.589656, -111.8339647 33.5897674, -111.8347901 33.5897613)","(33.570792, -111.8218223)","(33.5897613, -111.8347901)"
40132168091,13,1,6600.819,"LINESTRING (-111.8218223 33.570792, -111.8230319 33.5699287, -111.8230815 33.5693637, -111.8238965 33.5680281, -111.8283656 33.5679742, -111.8330779 33.5679873, -111.8389241 33.56796339999999, -111.8564845 33.5680013, -111.8567704 33.5679999, -111.8738896 33.5680147, -111.8869431 33.5679931, -111.8870112 33.5681303, -111.8870141 33.5682283, -111.8872982 33.5682259, -111.8876251 33.56872160000001, -111.887687 33.568935, -111.8878482 33.56889709999999, -111.8892918 33.56878840000001, -111.8896979 33.5688135)","(33.570792, -111.8218223)","(33.5688135, -111.8896979)"
40132168101,15,0,931.359,"LINESTRING (-111.8815054 33.5752896, -111.880682 33.5760785, -111.8803295 33.5770748, -111.8803853 33.577711, -111.8806066 33.5782489, -111.880641 33.5783124, -111.8810296 33.5789216, -111.8814491 33.5795864, -111.881825 33.5801833, -111.8815817 33.5802943, -111.8814467 33.5803559, -111.8809826 33.5805677, -111.8808982 33.5807484, -111.8808968 33.5809247, -111.8808956 33.581089, -111.8808931 33.5812152, -111.8808943 33.5812473, -111.8808931 33.5814117, -111.8808917 33.581594, -111.8808921 33.5816941, -111.8808907 33.5817484, -111.8808903 33.5817793, -111.880765 33.58192260000001, -111.8806111 33.5819832, -111.8804715 33.582248, -111.8804726 33.5824589)","(33.5752896, -111.8815054)","(33.5824589, -111.8804726)"
40132168101,14,1,1245.537,"LINESTRING (-111.8815054 33.5752896, -111.880682 33.5760785, -111.880797 33.5761317, -111.8814456 33.5764431, -111.881963 33.5766378, -111.8820466 33.577175, -111.8823557 33.5778661, -111.8824308 33.5780139, -111.8825158 33.5781974, -111.8825849 33.5783533, -111.8826498 33.57850639999999, -111.8827115 33.5786571, -111.8834526 33.5784517, -111.8835485 33.5786881, -111.8845121 33.5786189, -111.8851608 33.5786055, -111.8851993 33.57913889999998, -111.8856094 33.5791455, -111.8858174 33.5791488, -111.8859603 33.5791511, -111.8860904 33.5791532, -111.8862005 33.5795398, -111.8860616 33.5804221, -111.8860529 33.5804738, -111.8863395 33.5805068, -111.886398 33.5805136, -111.8865375 33.5805394, -111.8873427 33.5805775, -111.8873279 33.5807114, -111.887307 33.5809062, -111.8871169 33.5809178, -111.886702 33.58093610000001)","(33.5752896, -111.8815054)","(33.58093610000001, -111.886702)"
40132169022,9,0,1040.351,"LINESTRING (-111.9044419 33.52930590000001, -111.9044462 33.528919, -111.9043656 33.5289187, -111.9022027 33.5287441, -111.9002326 33.527942, -111.9001499 33.5279408, -111.9001587 33.5275401, -111.9001602 33.5271692, -111.9001617 33.52680860000001, -111.90016 33.5264591, -111.9001587 33.5261047, -111.9001689 33.5257743, -111.9001701 33.5256868, -111.9000779 33.5256872, -111.9000617 33.52509040000001, -111.900058 33.5243048, -111.8996887 33.5239995, -111.8996938 33.52390850000001, -111.8996241 33.523908, -111.8996317 33.5238082)","(33.52930590000001, -111.9044419)","(33.5238082, -111.8996317)"
40132169022,11,1,1268.616,"LINESTRING (-111.9044419 33.52930590000001, -111.9044406 33.5294321, -111.9044376 33.5297049, -111.9044371 33.5297497, -111.9044349 33.529948, -111.9044264 33.5310405, -111.9045143 33.5310543, -111.9044801 33.5319139, -111.9044805 33.5319813, -111.9044808 33.53204429999999, -111.9043964 33.5327906, -111.9043623 33.5348378, -111.9085225 33.5354533, -111.9085231 33.5354773, -111.9085192 33.535792, -111.9085171 33.5359446, -111.9085139 33.5361687, -111.908444 33.5371719, -111.9084439 33.5372532, -111.9084438 33.5373201, -111.908459 33.5376656)","(33.52930590000001, -111.9044419)","(33.5376656, -111.908459)"
40132171011,8,0,967.385,"LINESTRING (-111.9044884 33.5056921, -111.9045627 33.5056931, -111.9045612 33.5061035, -111.9045582 33.5069087, -111.9045553 33.5076976, -111.9045523 33.508486, -111.9045506 33.5089526, -111.9045166 33.5092038, -111.9045161 33.5092644, -111.9045718 33.5093918, -111.9054824 33.5093906, -111.9058727 33.5093962, -111.9064668 33.5093961, -111.9072181 33.5093959, -111.9084116 33.5093956, -111.908546 33.5093983, -111.908717 33.509402, -111.9088298 33.5094042, -111.9095077 33.50941610000001, -111.9100426 33.5094239, -111.9104786 33.5094303)","(33.5056921, -111.90448840000002)","(33.5094303, -111.9104786)"
40132171011,5,1,1480.96,"LINESTRING (-111.9044884 33.5056921, -111.9045627 33.5056931, -111.9045642 33.5052853, -111.9045661 33.5047851, -111.904567 33.5044155, -111.9045698 33.5037351, -111.90457 33.5036771, -111.9045703 33.503603, -111.904573 33.5029288, -111.904575 33.5022235, -111.9045757 33.5021674, -111.904575 33.502093, -111.9045759 33.5020453, -111.9045786 33.50173979999999, -111.9045773 33.5013933, -111.904578 33.5010395, -111.9045776 33.50097479999999, -111.9045763 33.5006817, -111.9045781 33.5004092, -111.9045794 33.5003372, -111.9045809 33.5002197, -111.9045801 33.4999838, -111.90458 33.499633, -111.9045796 33.4995062, -111.9047613 33.4995089, -111.9059663 33.4985171, -111.9062279 33.4985155, -111.9062385 33.4979123, -111.9062394 33.4975151, -111.9063003 33.4973625, -111.9064866 33.49683649999999, -111.9065094 33.4967626, -111.9064214 33.496142, -111.906433 33.4959831, -111.906468 33.4955098, -111.9064674 33.49534890000001, -111.906522 33.4953477, -111.9065271 33.4950285, -111.9066242 33.4949919, -111.9066649 33.4949923, -111.9067459 33.4949932, -111.9069347 33.4950036, -111.907 33.4950057, -111.9070573 33.4950075, -111.9071671 33.4950055, -111.9072277 33.4950076, -111.9072792 33.4950094, -111.9076784 33.4950055, -111.9077561 33.4950086, -111.9078979 33.4950143)","(33.5056921, -111.90448840000002)","(33.4950143, -111.9078979)"
