cbg_id,store_id,rank,distance,geometry,Origin,Destination
530330059012,88,0,1062.866,"LINESTRING (-122.3636489 47.6482452, -122.3635996 47.64817390000001, -122.3635992 47.6477982, -122.3634455 47.6470399, -122.3634124 47.64670829999999, -122.3634257 47.6466622, -122.3634117 47.6465871, -122.36339 47.6458651, -122.3634083 47.6457979, -122.3634425 47.64501840000001, -122.363449 47.6449627, -122.3634489 47.64494439999999, -122.3634485 47.6448769, -122.3634552 47.6441135, -122.3634569 47.6440876, -122.3635039 47.6432515, -122.3635853 47.6428312, -122.3636002 47.6420276, -122.3636114 47.6414935, -122.363715 47.6414925, -122.364836 47.6414903, -122.3648375 47.6414182, -122.3648389 47.6413528, -122.3648597 47.639771, -122.3648608 47.639689, -122.3649068 47.639666)","(47.6482452, -122.36364889999997)","(47.639666, -122.36490680000001)"
530330059012,90,1,1102.729,"LINESTRING (-122.3636489 47.6482452, -122.36476 47.64862239999999, -122.3647694 47.6486155, -122.3648083 47.648582, -122.3648657 47.6485888, -122.3662463 47.6485177, -122.3663188 47.648516, -122.3671222 47.6485586, -122.3672914 47.64848189999999, -122.368073 47.6482469, -122.3681144 47.6482372, -122.3682031 47.6482404, -122.3692249 47.648691, -122.3692687 47.6486657, -122.370298 47.6485636, -122.3702409 47.6485229, -122.3702487 47.6485176, -122.3704283 47.6485067, -122.3704821 47.6485034, -122.3704822 47.6484829, -122.3707222 47.6484805, -122.3707701 47.6484808, -122.3714339 47.6484715, -122.3714393 47.6484602, -122.3715659 47.6484303, -122.3716403 47.6484382, -122.3716401 47.6484756, -122.3718623 47.6484752, -122.3721708 47.6484747, -122.3723215 47.6484744, -122.3723989 47.6484743, -122.372625 47.6484739, -122.3727011 47.6484738, -122.3729493 47.6484733, -122.3735236 47.6484722, -122.373582 47.6484721, -122.3736627 47.6484719, -122.374244 47.6484707, -122.3743605 47.6484708, -122.3748226 47.6484699, -122.3748968 47.6484698, -122.3749724 47.64846940000001, -122.3755727 47.6484659, -122.3759768 47.6484636, -122.3760784 47.648463, -122.3761496 47.6484626, -122.3767714 47.64846419999999, -122.3768672 47.648464, -122.3769816 47.6484638, -122.3772994 47.6484649, -122.3774145 47.6484653, -122.3774874 47.6484656)","(47.6482452, -122.36364889999997)","(47.6484656, -122.3774874)"
530330070022,84,0,546.504,"LINESTRING (-122.3529049 47.629016, -122.3539945 47.6289993, -122.3540028 47.6289429, -122.3540614 47.6289436, -122.3540623 47.6288815, -122.354077 47.6281758, -122.3541292 47.6281745, -122.3541397 47.6281245, -122.3540068 47.627985, -122.3540067 47.6279408, -122.3540129 47.6272562, -122.3540413 47.6272375, -122.3540441 47.6271881, -122.3540476 47.6271279, -122.3540162 47.6271174, -122.3540156 47.6264227, -122.3540235 47.6264164, -122.3540713 47.6263685, -122.3540963 47.6263434, -122.3540973 47.6262731, -122.3541284 47.6262396, -122.354156 47.6262097, -122.3541806 47.6262098, -122.3541808 47.6258352, -122.3541927 47.6255381, -122.3541781 47.6255307, -122.3541968 47.625438, -122.3542072 47.6253754, -122.3542075 47.62536019999999, -122.35421 47.6250474, -122.3542521 47.6250476)","(47.629016, -122.35290490000001)","(47.6250476, -122.35425209999998)"
530330070022,82,1,864.592,"LINESTRING (-122.3529049 47.629016, -122.3539945 47.6289993, -122.3540028 47.6289429, -122.3540614 47.6289436, -122.3541386 47.6289445, -122.3547355 47.6289517, -122.3553054 47.62890259999999, -122.3553677 47.6288722, -122.3553765 47.6288655, -122.355679 47.6287157, -122.3565388 47.6287244, -122.3566715 47.6287262, -122.3566791 47.6286674, -122.356697 47.6280624, -122.356702 47.6277324, -122.3568125 47.6277338, -122.3568162 47.6272638, -122.3568179 47.6271977, -122.3568197 47.6271281, -122.3568198 47.62669869999998, -122.3568288 47.6258571, -122.3568597 47.6258085, -122.3569366 47.6258129, -122.3570081 47.6257948, -122.357938 47.6258032, -122.3579654 47.6257906, -122.3580133 47.6257869, -122.3580134 47.6257174, -122.3580133 47.6256556, -122.3580143 47.625472, -122.3580154 47.6251757, -122.358016 47.625022, -122.3580168 47.6246916, -122.358017 47.624589, -122.3580179 47.6244914)","(47.629016, -122.35290490000001)","(47.6244914, -122.3580179)"
530330044013,102,0,559.453,"LINESTRING (-122.309728 47.6663463, -122.3102013 47.6663508, -122.3107056 47.6663526, -122.3107921 47.6663553, -122.310878 47.6663566, -122.3113676 47.6663577, -122.3118282 47.666362, -122.3119134 47.6663638, -122.3120377 47.666367, -122.3124928 47.6663696, -122.3129245 47.6663634, -122.3130516 47.66635429999999, -122.3132044 47.6663641, -122.3132082 47.6660178, -122.3132687 47.6660179, -122.3132727 47.6658935, -122.3132794 47.6657717, -122.3133683 47.6657723, -122.3133702 47.66572669999999, -122.3134127 47.6657265, -122.3134156 47.665661, -122.3134185 47.66559349999999, -122.3134214 47.6655262, -122.3134229 47.6654908, -122.3135433 47.6654905, -122.31365 47.6654232, -122.3136503 47.6653977, -122.3136533 47.6652979, -122.3137723 47.6652981, -122.3138849 47.6652983, -122.3139956 47.6652984, -122.3140225 47.6652985, -122.3140232 47.6651015, -122.3140954 47.6649952, -122.3140803 47.6649885, -122.3140806 47.6649102, -122.3140853 47.6648348, -122.3141123 47.6648333, -122.3141224 47.66425120000001, -122.3140659 47.66425049999999)","(47.6663463, -122.309728)","(47.66425049999999, -122.31406589999997)"
530330044013,101,1,939.012,"LINESTRING (-122.309728 47.6663463, -122.3102013 47.6663508, -122.3107056 47.6663526, -122.3107921 47.6663553, -122.310878 47.6663566, -122.3113676 47.6663577, -122.3118282 47.666362, -122.3119134 47.6663638, -122.3120377 47.666367, -122.3124928 47.6663696, -122.3129245 47.6663634, -122.3130516 47.66635429999999, -122.3132044 47.6663641, -122.3132082 47.6660178, -122.3132687 47.6660179, -122.3132727 47.6658935, -122.3132794 47.6657717, -122.3133683 47.6657723, -122.3133702 47.66572669999999, -122.3134127 47.6657265, -122.3134156 47.665661, -122.3134185 47.66559349999999, -122.3134214 47.6655262, -122.3134229 47.6654908, -122.3135433 47.6654905, -122.31365 47.6654232, -122.3136503 47.6653977, -122.3136533 47.6652979, -122.3137723 47.6652981, -122.3138849 47.6652983, -122.3139956 47.6652984, -122.3140225 47.6652985, -122.3140232 47.6651015, -122.3140954 47.6649952, -122.3141087 47.665006, -122.3142238 47.6650006, -122.3143262 47.6649989, -122.314358 47.6649852, -122.3146996 47.6649901, -122.3147012 47.664915, -122.3147123 47.6648514, -122.3151586 47.6648534, -122.3151632 47.6644737, -122.3151735 47.6636705, -122.3151897 47.6631914, -122.3152593 47.6631863, -122.3153494 47.6631863, -122.3153804 47.663104, -122.3158208 47.663107, -122.3162472 47.6631092, -122.3163556 47.6631096, -122.316492 47.6631103, -122.3169131 47.6631122, -122.3169169 47.6630558, -122.3173302 47.6630558, -122.3173302 47.66304, -122.3174333 47.66304, -122.317512 47.6630399)","(47.6663463, -122.309728)","(47.6630399, -122.317512)"
530330044011,108,0,683.787,"LINESTRING (-122.3097215 47.6705511, -122.310196 47.6707433, -122.3106926 47.6709265, -122.3107721 47.6709554, -122.3108474 47.6709821, -122.3113561 47.6715944, -122.3118318 47.6716803, -122.3119237 47.6716952, -122.3119225 47.6717357, -122.3119715 47.6719236, -122.3120722 47.6720033, -122.3120324 47.67205449999999, -122.3119584 47.6721875, -122.3119322 47.6739801, -122.3119309 47.6740699, -122.311931 47.6743652, -122.3119304 47.6746811, -122.3119303 47.6747541, -122.3119312 47.6748324, -122.3119353 47.6751813, -122.311941 47.6757053)","(47.6705511, -122.3097215)","(47.6757053, -122.311941)"
530330044011,107,1,906.883,"LINESTRING (-122.3097215 47.6705511, -122.310196 47.6707433, -122.3106926 47.6709265, -122.3107721 47.6709554, -122.3108474 47.6709821, -122.3113561 47.6715944, -122.3118318 47.6716803, -122.3119237 47.6716952, -122.3120338 47.6717127, -122.3120573 47.6717174, -122.3122141 47.6717393, -122.3123095 47.6718017, -122.3124035 47.6718601, -122.3124564 47.6718187, -122.3126089 47.6719069, -122.3125553 47.67195310000001, -122.3126115 47.6721538, -122.3127257 47.6723017, -122.3127518 47.672329, -122.3128781 47.6724297, -122.3128424 47.6726519, -122.3134015 47.6729238, -122.3137635 47.6731409, -122.3139192 47.6732185, -122.3140775 47.6732912, -122.3141844 47.6733104, -122.3142127 47.67333, -122.314237 47.6733704, -122.3142508 47.6733669, -122.3143384 47.673407, -122.3143381 47.6734111, -122.3144238 47.6733953, -122.3144442 47.6734046, -122.3149221 47.673405, -122.3149203 47.6737408, -122.3151166 47.6737645, -122.3151248 47.67408729999999, -122.3155389 47.67408729999999, -122.315565 47.6741062, -122.315565 47.6741607, -122.315566 47.6742161, -122.3156594 47.6742214, -122.3157712 47.6742276, -122.3157847 47.674237, -122.3162204 47.6742333, -122.3162401 47.6745671, -122.3162405 47.67467989999999, -122.316241 47.6748127, -122.3162414 47.674914, -122.3163867 47.674914, -122.3163868 47.6749901, -122.3163869 47.675051, -122.3164305 47.675051, -122.3167338 47.675051, -122.316995 47.675051)","(47.6705511, -122.3097215)","(47.675051, -122.316995)"
530330054023,91,0,1014.071,"LINESTRING (-122.3455042 47.6550542, -122.3458378 47.6550553, -122.3458777 47.6550554, -122.3459656 47.6550557, -122.3459873 47.6541964, -122.345989 47.654127, -122.3459901 47.654069, -122.3459982 47.6536388, -122.3460133 47.6528309, -122.3461323 47.6528087, -122.3466299 47.6526877, -122.3481792 47.6526938, -122.3484173 47.65273279999999, -122.3484832 47.65270869999998, -122.3485319 47.6526912, -122.3485751 47.652679, -122.3487074 47.6526501, -122.3492584 47.652658, -122.3498082 47.652669, -122.3498362 47.6514165, -122.3499212 47.65142289999999, -122.3500827 47.65143520000002, -122.3500721 47.6513592, -122.3500626 47.6512865, -122.3510612 47.6513961, -122.3510403 47.6513679, -122.3510951 47.6512838, -122.3511403 47.6511419, -122.3511878 47.65112869999999, -122.3511985 47.6508324, -122.3512386 47.6508412, -122.3512285 47.6506976, -122.3512246 47.6506431, -122.3511911 47.6506278, -122.3511952 47.6502559, -122.3511988 47.64991950000001, -122.3511861 47.6498967, -122.3511956 47.6498268)","(47.6550542, -122.3455042)","(47.6498268, -122.3511956)"
530330054023,98,1,1430.599,"LINESTRING (-122.3455042 47.6550542, -122.3458378 47.6550553, -122.3458777 47.6550554, -122.3458742 47.6553342, -122.3453104 47.6553283, -122.3447831 47.6553299, -122.3446703 47.6553256, -122.3446685 47.6553343, -122.3445959 47.6553872, -122.344558 47.6553876, -122.3441254 47.6553901, -122.3441249 47.6554476, -122.3436761 47.6554538, -122.3435759 47.6554491, -122.3434777 47.655453, -122.3429617 47.6554475, -122.3426053 47.655451, -122.3424474 47.655474, -122.3422888 47.6554985, -122.3422677 47.6555094, -122.3418456 47.6555632, -122.3410608 47.6557055, -122.3409482 47.6557239, -122.3408503 47.6557399, -122.3407074 47.6567798, -122.3407057 47.656842, -122.3407042 47.656908, -122.3398479 47.6569043, -122.3398332 47.6579413, -122.3397395 47.6579408, -122.3397401 47.6579651, -122.3396847 47.6580083, -122.339646 47.6580078, -122.3396455 47.6580666, -122.3387292 47.658067, -122.3386233 47.6580652, -122.3385243 47.6580643, -122.338524 47.6580937, -122.3385239 47.6581101, -122.3385231 47.6581937, -122.3383992 47.6582735, -122.338363 47.6590015, -122.3374522 47.6590183, -122.3374435 47.6590962, -122.3374133 47.6591608, -122.3374111 47.659232, -122.3373959 47.6602545, -122.3373956 47.6602687, -122.3373469 47.6603158, -122.3373004 47.6603159, -122.337299 47.6603711, -122.3372968 47.660915, -122.3372943 47.6613053, -122.3372838 47.66131619999999, -122.3365269 47.6613116, -122.3365261 47.6613702, -122.3365241 47.66146289999999, -122.336421 47.66149450000001, -122.3364164 47.6615717, -122.336415 47.66176409999998, -122.3363468 47.6617666)","(47.6550542, -122.3455042)","(47.6617666, -122.33634679999999)"
