cbg_id,store_id,rank,distance,geometry,Origin,Destination
530630111043,44,0,1314.811,"LINESTRING (-117.4053993 47.7227851, -117.4053945 47.7227148, -117.4036639 47.7223932, -117.4036684 47.7222101, -117.4036623 47.7219975, -117.4036473 47.7214168, -117.4035724 47.7214174, -117.4034949 47.7207307, -117.4034753 47.7206661, -117.4034356 47.720596, -117.4028225 47.7197399, -117.402267 47.7189658, -117.4022072 47.7188821, -117.4020413 47.7190095, -117.401964 47.7189796, -117.4015157 47.7174793, -117.4007283 47.71747929999998, -117.4006344 47.71747649999999, -117.4006342 47.717308, -117.4006331 47.7168791, -117.4005271 47.7168775, -117.4003703 47.7168752, -117.3980177 47.7168406, -117.3974133 47.7168367, -117.3969439 47.71683369999999, -117.3964664 47.7168306, -117.3955263 47.7168245, -117.395523 47.7169178)","(47.7227851, -117.40539929999997)","(47.7169178, -117.395523)"
530630111043,43,1,1315.147,"LINESTRING (-117.4053993 47.7227851, -117.4053945 47.7227148, -117.4036639 47.7223932, -117.4036684 47.7222101, -117.4036623 47.7219975, -117.4036473 47.7214168, -117.4036591 47.7210381, -117.4035866 47.7207019, -117.4038936 47.720585, -117.4047049 47.7203404, -117.4047525 47.720332, -117.4052845 47.7203034, -117.4052865 47.7202508, -117.4059251 47.720255, -117.4059217 47.719517, -117.4060017 47.71951129999999, -117.4060208 47.7190951, -117.4060465 47.7187104, -117.4060533 47.7187021, -117.4060547 47.7186319, -117.4060562 47.718563, -117.4060203 47.7184556, -117.4060366 47.71793859999998, -117.4060326 47.7177557, -117.4060324 47.7175692, -117.4060284 47.7174253, -117.4060311 47.7172871, -117.4060311 47.7169781, -117.4060201 47.7160599, -117.4068694 47.7153264, -117.406869 47.715187, -117.4068694 47.7151472, -117.4072133 47.7150913, -117.408552 47.7150927)","(47.7227851, -117.40539929999997)","(47.7150927, -117.408552)"
530630112033,47,0,1130.15,"LINESTRING (-117.3890426 47.7357418, -117.3888958 47.7365388, -117.3888917 47.73671879999998, -117.3893176 47.7367207, -117.3893294 47.73677449999999, -117.3898422 47.7367779, -117.3900228 47.7367791, -117.3901881 47.7367802, -117.3927807 47.7367865, -117.3939992 47.7367872, -117.3951956 47.7367872, -117.3951983 47.7368843, -117.3952888 47.7368836, -117.3953571 47.7376777, -117.3953659 47.7383056, -117.3953698 47.7386084, -117.3953908 47.74021359999998, -117.3953921 47.7403073, -117.3954052 47.7413347, -117.3955776 47.7413341, -117.3956203 47.7414131)","(47.7357418, -117.3890426)","(47.7414131, -117.3956203)"
530630112033,48,1,1725.196,"LINESTRING (-117.3890426 47.7357418, -117.3888958 47.7365388, -117.3888917 47.73671879999998, -117.3893176 47.7367207, -117.3893294 47.73677449999999, -117.3898422 47.7367779, -117.3900228 47.7367791, -117.3901881 47.7367802, -117.3927807 47.7367865, -117.3939992 47.7367872, -117.3951956 47.7367872, -117.3951983 47.7368843, -117.3952888 47.7368836, -117.3953571 47.7376777, -117.3953659 47.7383056, -117.3953698 47.7386084, -117.3953908 47.74021359999998, -117.3955833 47.7402112, -117.3956204 47.740308, -117.3972451 47.7403128, -117.3981005 47.7403153, -117.3989974 47.7403179, -117.4007616 47.7403324, -117.4008991 47.740341, -117.4009245 47.7404095, -117.4009588 47.7404313, -117.4023985 47.740412, -117.4030011 47.7404135, -117.4030866 47.7404138, -117.4030885 47.7404882, -117.40313 47.7406449, -117.4031313 47.7407975, -117.4031326 47.74096, -117.403134 47.7411211, -117.4030629 47.741269, -117.4030627 47.7414347, -117.4030624 47.7415983, -117.4030621 47.74175779999999)","(47.7357418, -117.3890426)","(47.74175779999999, -117.4030621)"
530630111032,44,0,1578.764,"LINESTRING (-117.403015 47.72696130000001, -117.4031404 47.7269358, -117.4025551 47.7263044, -117.4023723 47.7247845, -117.4023711 47.7235197, -117.4023715 47.7234269, -117.402371 47.7233378, -117.4023715 47.7227882, -117.4023325 47.7210965, -117.4023196 47.7210182, -117.4022886 47.720946, -117.4016148 47.7194389, -117.4011983 47.7193415, -117.401025 47.71910780000001, -117.4007163 47.7186901, -117.4006363 47.7185858, -117.4006357 47.7183017, -117.4006351 47.7178491, -117.4006358 47.71776379999999, -117.4006348 47.7177075, -117.4006343 47.7175524, -117.4006344 47.71747649999999, -117.4006342 47.717308, -117.4006331 47.7168791, -117.4005271 47.7168775, -117.4003703 47.7168752, -117.3980177 47.7168406, -117.3974133 47.7168367, -117.3969439 47.71683369999999, -117.3964664 47.7168306, -117.3955263 47.7168245, -117.395523 47.7169178)","(47.72696130000001, -117.403015)","(47.7169178, -117.395523)"
530630111032,43,1,1734.223,"LINESTRING (-117.403015 47.72696130000001, -117.4031404 47.7269358, -117.4025551 47.7263044, -117.4023723 47.7247845, -117.4023711 47.7235197, -117.4023715 47.7234269, -117.402371 47.7233378, -117.4023715 47.7227882, -117.4023325 47.7210965, -117.4024493 47.721069, -117.4033952 47.7207619, -117.4034949 47.7207307, -117.4035866 47.7207019, -117.4038936 47.720585, -117.4047049 47.7203404, -117.4047525 47.720332, -117.4052845 47.7203034, -117.4052865 47.7202508, -117.4059251 47.720255, -117.4059217 47.719517, -117.4060017 47.71951129999999, -117.4060208 47.7190951, -117.4060465 47.7187104, -117.4060533 47.7187021, -117.4060547 47.7186319, -117.4060562 47.718563, -117.4060203 47.7184556, -117.4060366 47.71793859999998, -117.4060326 47.7177557, -117.4060324 47.7175692, -117.4060284 47.7174253, -117.4060311 47.7172871, -117.4060311 47.7169781, -117.4060201 47.7160599, -117.4068694 47.7153264, -117.406869 47.715187, -117.4068694 47.7151472, -117.4072133 47.7150913, -117.408552 47.7150927)","(47.72696130000001, -117.403015)","(47.7150927, -117.408552)"
530630137002,27,0,6138.518,"LINESTRING (-117.4812215 47.6960034, -117.4800772 47.6959871, -117.4791643 47.6957524, -117.4790227 47.69569789999998, -117.477976 47.6952505, -117.4739125 47.6932899, -117.4739809 47.6928376, -117.474347 47.6907366, -117.4746317 47.6906594, -117.4737381 47.6889857, -117.4737274 47.6889207, -117.4742294 47.6886101, -117.4781959 47.6882761, -117.4796072 47.68744370000001, -117.4798105 47.6873191, -117.4799768 47.68541960000001, -117.4801365 47.6852315, -117.4800386 47.685003, -117.4798963 47.6847688, -117.4791401 47.6838548, -117.4767154 47.6812144, -117.4755213 47.6807992, -117.4747787 47.6802154, -117.4586699 47.6802533, -117.456084 47.6798109, -117.4537215 47.6793273, -117.4528803 47.6789055, -117.4531008 47.678726, -117.4534277 47.6789308, -117.4521155 47.6809075, -117.4508326 47.6818161, -117.4480221 47.6828502, -117.4478861 47.6828415, -117.4466722 47.6833741, -117.4465918 47.6833996, -117.4456671 47.6836516, -117.445493 47.6835698, -117.4447887 47.683248, -117.4446968 47.683207, -117.4443129 47.6830316, -117.4437309 47.6827601, -117.4435485 47.6826778, -117.4432436 47.6825402, -117.4429755 47.6824192, -117.4415391 47.6817645, -117.4412993 47.681655, -117.4411192 47.6815728, -117.4407562 47.681407, -117.439996 47.6810585, -117.439008 47.6806088, -117.4388845 47.6805524, -117.4384923 47.6803786, -117.4382527 47.6802638, -117.4377238 47.6800223, -117.4376177 47.68012679999998, -117.4372702 47.6799771, -117.4372159 47.6799487, -117.437156 47.6799179, -117.4370061 47.6798426, -117.436934 47.6798064, -117.4369076 47.679779, -117.4363982 47.6795501, -117.4364467 47.6795003)","(47.6960034, -117.48122149999998)","(47.6795003, -117.4364467)"
530630137002,41,1,6542.959,"LINESTRING (-117.4812215 47.6960034, -117.483483 47.6957741, -117.4854996 47.6952541, -117.4868177 47.6949427, -117.4871831 47.6948217, -117.4888258 47.6943815, -117.4892819 47.69424810000001, -117.4960433 47.6930699, -117.4962933 47.69326559999999, -117.4981921 47.6937603, -117.4983961 47.6943463, -117.498609 47.6952377, -117.4986463 47.69550120000001, -117.4987866 47.6967418, -117.4983841 47.6968053, -117.4969379 47.696674, -117.4965532 47.6962299, -117.4964238 47.6961577, -117.4963692 47.6961275, -117.4962595 47.6960667, -117.4961262 47.6959928, -117.4960126 47.69592990000001, -117.4958798 47.6958694, -117.4957159 47.6957788, -117.4956836 47.69569829999999, -117.4955133 47.6957138, -117.4954704 47.6956416, -117.4954186 47.6956102, -117.4951486 47.6955369, -117.494985 47.695555, -117.494698 47.6954792, -117.494246 47.6951103, -117.4936949 47.6948959, -117.4930645 47.6947859, -117.4926547 47.6947886, -117.4910957 47.694804, -117.488156 47.69603519999998, -117.4880232 47.6959545, -117.4872575 47.6959937, -117.4794139 47.6976826, -117.4789239 47.69780879999998, -117.4785627 47.69784579999999, -117.470576 47.6954458, -117.4702187 47.6960864, -117.4704407 47.6965138, -117.4700456 47.6962406, -117.4684508 47.6963077, -117.4669316 47.6962962, -117.4654124 47.6962962, -117.4638908 47.6962857, -117.4623747 47.6962785, -117.4593586 47.6962767, -117.4566773 47.6962938, -117.4559013 47.6962996, -117.4539521 47.69631469999999, -117.4494968 47.6964178, -117.4494987 47.6971794, -117.4495104 47.6980499, -117.449513 47.6986196, -117.449484 47.6991922, -117.4493747 47.69945280000001, -117.4491688 47.6998548, -117.4490721 47.7001799, -117.4490627 47.7003956, -117.4490637 47.7005305, -117.4489626 47.7005305, -117.448858 47.7005305, -117.4487378 47.7005305, -117.4483807 47.7005305, -117.4480476 47.7005316, -117.4476127 47.7005331)","(47.6960034, -117.48122149999998)","(47.7005331, -117.4476127)"
530630036011,27,0,3131.592,"LINESTRING (-117.4644154 47.67270649999998, -117.4637766 47.6734125, -117.4633768 47.6737212, -117.4628825 47.6736257, -117.459496 47.6755695, -117.4611176 47.675316, -117.461156 47.6753696, -117.4598683 47.6756361, -117.4566031 47.6777357, -117.4559317 47.6782221, -117.4558406 47.6782578, -117.4538159 47.6787206, -117.4534277 47.6789308, -117.4521155 47.6809075, -117.4508326 47.6818161, -117.4480221 47.6828502, -117.4478861 47.6828415, -117.4466722 47.6833741, -117.4465918 47.6833996, -117.4456671 47.6836516, -117.445493 47.6835698, -117.4447887 47.683248, -117.4446968 47.683207, -117.4443129 47.6830316, -117.4437309 47.6827601, -117.4435485 47.6826778, -117.4432436 47.6825402, -117.4429755 47.6824192, -117.4415391 47.6817645, -117.4412993 47.681655, -117.4411192 47.6815728, -117.4407562 47.681407, -117.439996 47.6810585, -117.439008 47.6806088, -117.4388845 47.6805524, -117.4384923 47.6803786, -117.4382527 47.6802638, -117.4377238 47.6800223, -117.4376177 47.68012679999998, -117.4372702 47.6799771, -117.4372159 47.6799487, -117.437156 47.6799179, -117.4370061 47.6798426, -117.436934 47.6798064, -117.4369076 47.679779, -117.4363982 47.6795501, -117.4364467 47.6795003)","(47.67270649999998, -117.4644154)","(47.6795003, -117.4364467)"
530630036011,5,1,3664.884,"LINESTRING (-117.4644154 47.67270649999998, -117.4644893 47.6726051, -117.4645925 47.6725358, -117.4648824 47.6721572, -117.465375 47.6708753, -117.4653568 47.6707714, -117.4653542 47.6706924, -117.4649391 47.6697411, -117.4653873 47.6694865, -117.4654653 47.66943469999999, -117.4655573 47.6693737, -117.4655866 47.6693771, -117.4658366 47.6688757, -117.4667192 47.6665415, -117.4679943 47.6662216, -117.4689647 47.6660195, -117.4689354 47.6659138, -117.469082 47.66587289999999, -117.4688679 47.6645297, -117.4688546 47.6643006, -117.4688624 47.6640896, -117.46843 47.6627796, -117.4675049 47.6616485, -117.466246 47.66018779999999, -117.4653646 47.65855830000002, -117.465047 47.657633, -117.4649726 47.6574175, -117.4648316 47.6570133, -117.4647717 47.6568905, -117.4644462 47.656498, -117.4632299 47.6562709, -117.4617506 47.6558413, -117.4614901 47.6553939, -117.4575698 47.6523538, -117.458826 47.6523459, -117.4588421 47.6519227, -117.4588571 47.6514803, -117.4588724 47.65104370000001, -117.4588856 47.65010079999998, -117.4596996 47.6497274, -117.4619331 47.651049, -117.4619373 47.65061180000001, -117.4619417 47.6501609, -117.4619409 47.650106, -117.4619391 47.649331, -117.4618499 47.6493307)","(47.67270649999998, -117.4644154)","(47.6493307, -117.4618499)"
