cbg_id,store_id,rank,distance,geometry,Origin,Destination
295101164004,15,0,161.834,"LINESTRING (-90.24326550000001 38.5863431, -90.2441092 38.586454, -90.2448121 38.5865463, -90.2448397 38.5863537, -90.2448448 38.5863182)","(38.5863431, -90.2432655)","(38.5863182, -90.2448448)"
295101164004,14,1,216.051,"LINESTRING (-90.24326550000001 38.5863431, -90.2441092 38.586454, -90.2448121 38.5865463, -90.2448397 38.5863537, -90.24472969999999 38.586338, -90.244626 38.5863233, -90.24466409999999 38.5861568, -90.2447043 38.5859753)","(38.5863431, -90.2432655)","(38.5859753, -90.2447043)"
295101232001,43,0,805.718,"LINESTRING (-90.2098922 38.6130357, -90.20980539999999 38.6133234, -90.2097649 38.6134595, -90.2097395 38.613578, -90.2096827 38.613849, -90.2094726 38.61484750000001, -90.2091258 38.616082, -90.2091046 38.61614659999999, -90.20907380000001 38.6162381, -90.20905329999999 38.6162933, -90.20894370000001 38.6166116, -90.2085601 38.6173754, -90.2085131 38.61751159999999, -90.20839719999999 38.6178504, -90.20802980000002 38.6188906, -90.20775250000001 38.6197639, -90.2076995 38.6198506, -90.2076098 38.6199443, -90.2075109 38.6199244)","(38.6130357, -90.2098922)","(38.6199244, -90.2075109)"
295101232001,41,1,902.214,"LINESTRING (-90.2098922 38.6130357, -90.2096866 38.6132871, -90.20925680000001 38.6133939, -90.2087312 38.6133261, -90.2086829 38.6133198, -90.20830170000001 38.6132706, -90.2079397 38.6132239, -90.2078051 38.6132065, -90.20760780000001 38.6133182, -90.2075111 38.6133174, -90.2068756 38.6132336, -90.20624119999998 38.6139181, -90.20623740000001 38.6139222, -90.20618709999999 38.6139764, -90.2061465 38.61402, -90.2052973 38.6149768, -90.20521720000001 38.6149532, -90.2051506 38.6149335, -90.2045304 38.6147539, -90.2044733 38.6148009, -90.2043967 38.6148737, -90.2043623 38.6149067, -90.20426980000001 38.6148853, -90.2041376 38.6148547, -90.20406939999999 38.61483889999999, -90.2040437 38.6148403, -90.20355170000001 38.6146835, -90.2034749 38.6147309, -90.20269810000001 38.6145085, -90.20263060000001 38.6144888, -90.20248669999999 38.6149453, -90.2023435 38.6154034, -90.20253099999999 38.6154576)","(38.6130357, -90.2098922)","(38.6154576, -90.202531)"
295101141013,26,0,556.145,"LINESTRING (-90.2858571 38.5925446, -90.28738130000001 38.5927034, -90.2892172 38.5928963, -90.2911498 38.5931122, -90.291534 38.593153, -90.29161449999999 38.5931615, -90.2917075 38.5931705, -90.2921985 38.5932123)","(38.5925446, -90.2858571)","(38.5932123, -90.2921985)"
295101141013,23,1,880.963,"LINESTRING (-90.2858571 38.5925446, -90.28738130000001 38.5927034, -90.2892172 38.5928963, -90.2911498 38.5931122, -90.291534 38.593153, -90.29161449999999 38.5931615, -90.2917075 38.5931705, -90.2921985 38.5932123, -90.29233929999999 38.5932238, -90.29235079999999 38.593126, -90.2923648 38.5930066, -90.29239219999999 38.5928539, -90.2924179 38.5926983, -90.2924385 38.5925805, -90.2927157 38.5917669, -90.29292100000001 38.5917864, -90.2931179 38.5918055, -90.2933232 38.5918254, -90.29353140000001 38.5918456, -90.29372739999999 38.5918646, -90.293925 38.5918837, -90.2939365 38.5918848, -90.2941144 38.5919016, -90.2943259 38.5919216)","(38.5925446, -90.2858571)","(38.5919216, -90.2943259)"
295101051983,53,0,672.851,"LINESTRING (-90.2994285 38.6512924, -90.30021240000001 38.65136989999998, -90.3001496 38.65175880000001, -90.3001409 38.6518259, -90.30013150000001 38.6518988, -90.3001107 38.6520183, -90.3002774 38.65203419999999, -90.300252 38.652189, -90.3002335 38.6523021, -90.3001749 38.652652, -90.30015849999999 38.6527499, -90.3000847 38.6532119, -90.30005010000001 38.6534235, -90.30001350000001 38.6536658, -90.2999564 38.6539995, -90.2999398 38.6540968, -90.29986479999999 38.654535, -90.29978370000001 38.65498, -90.29977649999999 38.6550168, -90.29972530000001 38.6553325, -90.29984210000001 38.6553515, -90.29982819999999 38.6554675, -90.2998023 38.655549, -90.3009303 38.6556585, -90.3010055 38.6556772, -90.3011065 38.6556873)","(38.6512924, -90.2994285)","(38.6556873, -90.3011065)"
295101051983,59,1,3320.027,"LINESTRING (-90.2994285 38.6512924, -90.29679040000001 38.6510318, -90.2967281 38.6514202, -90.29671639999999 38.6514972, -90.2966256 38.6515537, -90.2965615 38.6519442, -90.2964595 38.6519339, -90.29640190000001 38.6523, -90.29638199999999 38.6523131, -90.29415830000001 38.6521112, -90.29413490000002 38.6521799, -90.29403640000001 38.6521705, -90.2939428 38.6521593, -90.29302180000001 38.6520517, -90.2922701 38.6520731, -90.2914881 38.6523745, -90.2913927 38.6524409, -90.2910126 38.6527899, -90.28932469999999 38.65262640000001, -90.2893041 38.6527643, -90.2890886 38.6531281, -90.28900779999999 38.65311989999999, -90.28896469999999 38.6533673, -90.28895799999999 38.6534239, -90.28895129999999 38.6534812, -90.2888859 38.6538531, -90.2888658 38.6539669, -90.28881490000001 38.65425650000001, -90.2887978 38.6543312, -90.28877540000001 38.6544302, -90.28875979999999 38.6544934, -90.2885778 38.654476, -90.2868488 38.6543105, -90.2867426 38.6543163, -90.2867052 38.6545778, -90.2866777 38.6547706, -90.286653 38.6549328, -90.2865912 38.6553582, -90.2864977 38.6559375, -90.2864032 38.656523, -90.28631300000001 38.6571102, -90.2862224 38.6577003, -90.2839693 38.6575761, -90.28362319999999 38.6585718, -90.28352289999999 38.6588785, -90.28339800000001 38.6593022, -90.28335070000001 38.6597785, -90.2832147 38.6602009, -90.2812926 38.6604694, -90.2811342 38.6604543, -90.2810607 38.660918, -90.2810556 38.6609504, -90.28097440000001 38.6614634, -90.2808934 38.6619729, -90.2808096 38.6625005, -90.27730990000001 38.6619632, -90.277067 38.6618607, -90.27678450000001 38.6617403, -90.27618040000002 38.66311249999998)","(38.6512924, -90.2994285)","(38.66311249999998, -90.27618040000002)"
295101053001,58,0,1591.144,"LINESTRING (-90.2822855 38.6561197, -90.2818125 38.6560728, -90.2817273 38.656662, -90.278638 38.6564636, -90.27856269999999 38.656936, -90.2783524 38.6581253, -90.2782462 38.6587854, -90.2781581 38.6587766, -90.2780951 38.6591611, -90.27793130000002 38.6591492, -90.27254550000001 38.6586276, -90.27254050000001 38.6586813, -90.27253229999999 38.6587234, -90.27246479999999 38.6591217, -90.27237940000001 38.6595978, -90.2722345 38.6595837, -90.2722042 38.65976570000002, -90.2721809 38.6599061, -90.2721047 38.6603689, -90.2720109 38.6609176, -90.27149249999999 38.6615809, -90.2717335 38.6617141, -90.2718574 38.66158140000001, -90.27193269999999 38.6615007)","(38.6561197, -90.2822855)","(38.6615007, -90.2719327)"
295101053001,59,1,1622.276,"LINESTRING (-90.2822855 38.6561197, -90.2833717 38.6563033, -90.28391410000002 38.6563562, -90.28407369999999 38.6563725, -90.2841373 38.6563787, -90.28408850000001 38.6569008, -90.2839693 38.6575761, -90.28362319999999 38.6585718, -90.28352289999999 38.6588785, -90.28339800000001 38.6593022, -90.28335070000001 38.6597785, -90.2832147 38.6602009, -90.2812926 38.6604694, -90.2811342 38.6604543, -90.2810607 38.660918, -90.2810556 38.6609504, -90.28097440000001 38.6614634, -90.2808934 38.6619729, -90.2808096 38.6625005, -90.27730990000001 38.6619632, -90.277067 38.6618607, -90.27678450000001 38.6617403, -90.27618040000002 38.66311249999998)","(38.6561197, -90.2822855)","(38.66311249999998, -90.27618040000002)"
