cbg_id,store_id,rank,distance,geometry,Origin,Destination
121030248052,40,0,1388.178,"LINESTRING (-82.7159431 27.8082187, -82.7167831 27.8082147, -82.7176042 27.8082171, -82.7183879 27.8082077, -82.7204405 27.8082078, -82.7224901 27.8081993, -82.7245616 27.8081932, -82.72553569999999 27.8081918, -82.7258898 27.8081913, -82.72788850000001 27.8081885, -82.72815679999999 27.8081881, -82.72821390000001 27.8081881, -82.7285524 27.80818759999999, -82.72870229999999 27.8085299, -82.7287062 27.8081278, -82.7287116 27.8076117)","(27.8082187, -82.7159431)","(27.8076117, -82.7287116)"
121030248052,36,1,1865.793,"LINESTRING (-82.7159431 27.8082187, -82.7154197 27.8082187, -82.7147196 27.80720219999999, -82.7147106 27.8065055, -82.71264170000001 27.806378, -82.7123655 27.8063776, -82.7121654 27.8063674, -82.7117159 27.8063723, -82.7110715 27.8063842, -82.7110557 27.8062142, -82.7091953 27.8062079, -82.70821479999999 27.8062125, -82.7082156 27.805639, -82.70684199999999 27.805133, -82.7062007 27.805135, -82.704162 27.805138, -82.70309399999999 27.805152, -82.7006878 27.8049455, -82.7005422 27.8049468, -82.70011289999999 27.8049506, -82.7000579 27.8046401)","(27.8082187, -82.7159431)","(27.8046401, -82.7000579)"
121030202082,1,0,3283.687,"LINESTRING (-82.6506234 27.7157789, -82.65061690000002 27.7143238, -82.65082820000001 27.7135151, -82.6509527 27.7135162, -82.6511095 27.7135121, -82.6514444 27.7135033, -82.65298439999999 27.7134861, -82.6529946 27.7139728, -82.6533908 27.7139728, -82.6544553 27.7139624, -82.65454260000001 27.7177891, -82.6546469 27.7177889, -82.6546484 27.7179528, -82.6546524 27.7184196, -82.65474500000001 27.7184185, -82.6547564 27.7192565, -82.6547819 27.7192558, -82.65817939999999 27.7192566, -82.65818179999999 27.7192968, -82.65824610000001 27.7194634, -82.6594207 27.7194536, -82.6597812 27.7194516, -82.66121260000001 27.7194367, -82.6613148 27.7194368, -82.66135749999999 27.7194367, -82.66275370000001 27.7194285, -82.66288110000001 27.7194278, -82.66298449999999 27.7194265, -82.6645661 27.7194063, -82.6677656 27.7193908, -82.6685231 27.7193895, -82.6693916 27.7193862, -82.66984979999999 27.7193845, -82.67101649999999 27.71938, -82.67108109999999 27.7193798, -82.6723602 27.719366, -82.67315210000001 27.7193574, -82.6731522 27.7192025, -82.6731552 27.7189793, -82.67330040000002 27.7189834, -82.6734901 27.7189811, -82.67367729999999 27.7189788, -82.67388649999999 27.7189763, -82.6741219 27.7189734, -82.674128 27.7191965)","(27.7157789, -82.6506234)","(27.7191965, -82.674128)"
121030202082,2,1,3879.065,"LINESTRING (-82.6506234 27.7157789, -82.65061690000002 27.7143238, -82.65082820000001 27.7135151, -82.6509527 27.7135162, -82.6511095 27.7135121, -82.6514444 27.7135033, -82.65298439999999 27.7134861, -82.6529946 27.7139728, -82.6533908 27.7139728, -82.6544553 27.7139624, -82.65454260000001 27.7177891, -82.6546469 27.7177889, -82.6546484 27.7179528, -82.6546524 27.7184196, -82.65474500000001 27.7184185, -82.6547564 27.7192565, -82.6547819 27.7192558, -82.65817939999999 27.7192566, -82.65818179999999 27.7192968, -82.65824610000001 27.7194634, -82.6594207 27.7194536, -82.6597812 27.7194516, -82.66121260000001 27.7194367, -82.6613148 27.7194368, -82.66135749999999 27.7194367, -82.66275370000001 27.7194285, -82.66288110000001 27.7194278, -82.66298449999999 27.7194265, -82.6645661 27.7194063, -82.6677656 27.7193908, -82.6685231 27.7193895, -82.6693916 27.7193862, -82.66984979999999 27.7193845, -82.67101649999999 27.71938, -82.67108109999999 27.7193798, -82.6723602 27.719366, -82.67315210000001 27.7193574, -82.6741755 27.7193506, -82.6749913 27.7193452, -82.6751575 27.7193441, -82.6753377 27.7193414, -82.6760713 27.7193302, -82.6767131 27.7193204, -82.67797640000002 27.7192492, -82.6783664 27.7192015, -82.6790292 27.7191899, -82.6791846 27.7191894, -82.6793277 27.7191889, -82.6794134 27.7191886, -82.67941140000001 27.7192505, -82.6794572 27.7192888, -82.6794932 27.7193262, -82.6794349 27.719678, -82.679438 27.7200682, -82.67945330000001 27.7202955, -82.6793531 27.720299)","(27.7157789, -82.6506234)","(27.720299, -82.6793531)"
121030201083,0,0,1758.364,"LINESTRING (-82.7144526 27.7091188, -82.7145479 27.7097785, -82.7145584 27.709852, -82.7146352 27.7104016, -82.71466599999999 27.7109104, -82.71471 27.7119663, -82.7146714 27.712055, -82.7144256 27.7122887, -82.710712 27.7141969, -82.7041668 27.7158137, -82.7040484 27.7158423, -82.7013528 27.7165028, -82.70121829999999 27.7165353)","(27.7091188, -82.7144526)","(27.7165353, -82.7012183)"
121030201083,2,1,4091.137,"LINESTRING (-82.7144526 27.7091188, -82.7145479 27.7097785, -82.7145584 27.709852, -82.7146352 27.7104016, -82.71466599999999 27.7109104, -82.71471 27.7119663, -82.7146714 27.712055, -82.7144256 27.7122887, -82.710712 27.7141969, -82.7041668 27.7158137, -82.7040484 27.7158423, -82.7013528 27.7165028, -82.70121829999999 27.7165353, -82.70102610000001 27.7166015, -82.69131640000001 27.7189937, -82.6896914 27.7190056, -82.68840590000001 27.7190022, -82.68827640000001 27.7190018, -82.688278 27.7191213, -82.6882789 27.7191829, -82.68828000000001 27.7192634, -82.6860578 27.7193168, -82.6813276 27.719293, -82.6813231 27.7193891, -82.6813259 27.7194705, -82.6812079 27.7195111, -82.6809652 27.7195465, -82.68042930000001 27.7195439, -82.68030280000001 27.7195433, -82.6800842 27.7195485, -82.6800983 27.7198272, -82.6796868 27.7200709, -82.679438 27.7200682, -82.67945330000001 27.7202955, -82.6793531 27.720299)","(27.7091188, -82.7144526)","(27.720299, -82.6793531)"
121030201071,0,0,916.552,"LINESTRING (-82.69596460000001 27.7099312, -82.6963021 27.711061, -82.6967367 27.7119226, -82.69693770000001 27.7121492, -82.6974736 27.7127071, -82.6977711 27.7130289, -82.6987311 27.7140168, -82.6994674 27.7148089, -82.69976 27.7151162, -82.69989529999999 27.7152387, -82.70048610000001 27.7157562, -82.7005278 27.7157936, -82.7005566 27.7158232, -82.70086550000001 27.7160944, -82.70117380000001 27.7164152, -82.70121829999999 27.7165353)","(27.7099312, -82.69596460000001)","(27.7165353, -82.7012183)"
121030201071,2,1,3241.84,"LINESTRING (-82.69596460000001 27.7099312, -82.6963021 27.711061, -82.6967367 27.7119226, -82.69693770000001 27.7121492, -82.6974736 27.7127071, -82.6977711 27.7130289, -82.6987311 27.7140168, -82.6994674 27.7148089, -82.69976 27.7151162, -82.69989529999999 27.7152387, -82.70048610000001 27.7157562, -82.7005278 27.7157936, -82.7005566 27.7158232, -82.70086550000001 27.7160944, -82.70117380000001 27.7164152, -82.70096359999999 27.7164833, -82.69133840000001 27.7188652, -82.689708 27.7189095, -82.6896914 27.7190056, -82.68840590000001 27.7190022, -82.68827640000001 27.7190018, -82.688278 27.7191213, -82.6882789 27.7191829, -82.68828000000001 27.7192634, -82.6860578 27.7193168, -82.6813276 27.719293, -82.6813231 27.7193891, -82.6813259 27.7194705, -82.6812079 27.7195111, -82.6809652 27.7195465, -82.68042930000001 27.7195439, -82.68030280000001 27.7195433, -82.6800842 27.7195485, -82.6800983 27.7198272, -82.6796868 27.7200709, -82.679438 27.7200682, -82.67945330000001 27.7202955, -82.6793531 27.720299)","(27.7099312, -82.69596460000001)","(27.720299, -82.6793531)"
121030201072,0,0,410.679,"LINESTRING (-82.7029055 27.7158283, -82.70283209999999 27.7155927, -82.70281319999999 27.7155364, -82.7025951 27.7155893, -82.70239410000001 27.7156381, -82.70198929999999 27.715727, -82.7015775 27.7157018, -82.70129439999999 27.7156562, -82.7009017 27.7155973, -82.7007893 27.7156354, -82.70048610000001 27.7157562, -82.7005278 27.7157936, -82.7005566 27.7158232, -82.70086550000001 27.7160944, -82.70117380000001 27.7164152, -82.70121829999999 27.7165353)","(27.7158283, -82.7029055)","(27.7165353, -82.7012183)"
121030201072,2,1,2735.967,"LINESTRING (-82.7029055 27.7158283, -82.70283209999999 27.7155927, -82.70281319999999 27.7155364, -82.7025951 27.7155893, -82.70239410000001 27.7156381, -82.70198929999999 27.715727, -82.7015775 27.7157018, -82.70129439999999 27.7156562, -82.7009017 27.7155973, -82.7007893 27.7156354, -82.70048610000001 27.7157562, -82.7005278 27.7157936, -82.7005566 27.7158232, -82.70086550000001 27.7160944, -82.70117380000001 27.7164152, -82.70096359999999 27.7164833, -82.69133840000001 27.7188652, -82.689708 27.7189095, -82.6896914 27.7190056, -82.68840590000001 27.7190022, -82.68827640000001 27.7190018, -82.688278 27.7191213, -82.6882789 27.7191829, -82.68828000000001 27.7192634, -82.6860578 27.7193168, -82.6813276 27.719293, -82.6813231 27.7193891, -82.6813259 27.7194705, -82.6812079 27.7195111, -82.6809652 27.7195465, -82.68042930000001 27.7195439, -82.68030280000001 27.7195433, -82.6800842 27.7195485, -82.6800983 27.7198272, -82.6796868 27.7200709, -82.679438 27.7200682, -82.67945330000001 27.7202955, -82.6793531 27.720299)","(27.7158283, -82.7029055)","(27.720299, -82.6793531)"
