cbg_id,store_id,rank,distance,geometry,Origin,Destination
60770033112,64,0,477.253,"LINESTRING (-121.321224 38.032145, -121.322078 38.032148, -121.3220833 38.0308111, -121.322087 38.030104, -121.322103 38.0301042, -121.3223461 38.029891, -121.3224421 38.0296759, -121.3224428 38.0295702, -121.3224538 38.0289755, -121.3226765 38.0289715)","(38.032145, -121.321224)","(38.0289715, -121.32267649999997)"
60770033112,57,1,1458.318,"LINESTRING (-121.321224 38.032145, -121.322078 38.032148, -121.3220833 38.0308111, -121.322087 38.030104, -121.322103 38.0301042, -121.3225833 38.0301101, -121.3226543 38.030111, -121.3228505 38.0301148, -121.3228531 38.0300381, -121.3228675 38.0283514, -121.3228708 38.02810040000001, -121.322876 38.0277178, -121.3229575 38.0253335, -121.3229662 38.0249468, -121.3229855 38.02422360000001, -121.323009 38.0237033, -121.3228658 38.023362, -121.3219376 38.0233424, -121.3219266 38.0228301, -121.321888 38.0223749, -121.3218649 38.0221114, -121.3218612 38.02195129999998, -121.3218574 38.02178760000001, -121.3218531 38.021605, -121.3218406 38.0210691)","(38.032145, -121.321224)","(38.0210691, -121.3218406)"
60770034072,44,0,238.77,"LINESTRING (-121.2927498 38.0023015, -121.2928094 38.0024675, -121.2928683 38.0026317, -121.2929307 38.0028056, -121.2932167 38.0035325, -121.2929963 38.0035878, -121.2927829 38.0036414, -121.2925809 38.0036921, -121.2923745 38.0037439, -121.2921739 38.0037943)","(38.0023015, -121.29274979999998)","(38.0037943, -121.29217389999998)"
60770034072,42,1,449.209,"LINESTRING (-121.2927498 38.0023015, -121.2925892 38.00169430000001, -121.2962208 38.00084, -121.296304 38.0009137, -121.2966961 38.0008176)","(38.0023015, -121.29274979999998)","(38.0008176, -121.2966961)"
60770013004,31,0,1165.712,"LINESTRING (-121.297651 37.970213, -121.2985603 37.9700606, -121.2985765 37.970058, -121.2987328 37.9700318, -121.2987625 37.9700268, -121.2989431 37.9699966, -121.299275 37.969941, -121.299445 37.970213, -121.299635 37.970474, -121.300112 37.9711417, -121.300478 37.971626, -121.300598 37.971797, -121.300994 37.972353, -121.301429 37.972944, -121.3015594 37.9731286, -121.3016563 37.97326560000001, -121.3017403 37.97338460000001, -121.3018131 37.9734876, -121.3019458 37.9736755, -121.3020426 37.9738125, -121.30231 37.974191, -121.3024229 37.9743429, -121.3028244 37.9748832, -121.302935 37.975032, -121.3033519 37.9755952, -121.303606 37.975944, -121.3036726 37.976029, -121.3047842 37.9774787, -121.3051048 37.9778779)","(37.970213, -121.297651)","(37.9778779, -121.3051048)"
60770013004,32,1,1479.854,"LINESTRING (-121.297651 37.970213, -121.297931 37.970917, -121.298234 37.971674, -121.298509 37.972341, -121.298767 37.972999, -121.298336 37.973108, -121.298568 37.973707, -121.2967971 37.9742722, -121.295626 37.974676, -121.2943171 37.97501659999998, -121.2945757 37.9756477, -121.294716 37.976025, -121.29485 37.976366, -121.294987 37.97671, -121.293837 37.977007, -121.293974 37.977347, -121.294072 37.977703, -121.292144 37.978206, -121.2922621 37.97848530000002, -121.2920092 37.9785474, -121.2917885 37.9786077)","(37.970213, -121.297651)","(37.9786077, -121.2917885)"
60770041061,66,0,3116.467,"LINESTRING (-121.3333951 38.057589, -121.3333062 38.0564984, -121.3332524 38.0558641, -121.3331482 38.0549298, -121.3331441 38.05489510000001, -121.3331371 38.05479490000001, -121.3331305 38.0547506, -121.3329639 38.0529923, -121.3328733 38.0521625, -121.3328476 38.0518858, -121.332834 38.05177670000001, -121.3326562 38.05012580000001, -121.33245 38.048128, -121.3322576 38.0461613, -121.332178 38.04534, -121.3321227 38.0447686, -121.3320413 38.0439281, -121.3320057 38.0435608, -121.331966 38.043151, -121.3319332 38.04269340000001, -121.3319073 38.0418961, -121.331893 38.040593, -121.331898 38.0396169, -121.3319 38.0383304, -121.331898 38.038253, -121.3318971 38.0381681, -121.3318952 38.0376219, -121.3318663 38.0368235, -121.331843 38.0356266, -121.331836 38.035524, -121.331828 38.034299, -121.3318232 38.0340071, -121.3351902 38.03163090000001, -121.3350201 38.0314726, -121.3349356 38.031394, -121.3345228 38.030987)","(38.057589, -121.3333951)","(38.030987, -121.33452280000002)"
60770041061,65,1,3142.343,"LINESTRING (-121.3333951 38.057589, -121.3333062 38.0564984, -121.3332524 38.0558641, -121.3331482 38.0549298, -121.3331441 38.05489510000001, -121.3331371 38.05479490000001, -121.3331305 38.0547506, -121.3329639 38.0529923, -121.3328733 38.0521625, -121.3328476 38.0518858, -121.332834 38.05177670000001, -121.3326562 38.05012580000001, -121.33245 38.048128, -121.3322576 38.0461613, -121.332178 38.04534, -121.3321227 38.0447686, -121.3320413 38.0439281, -121.3320057 38.0435608, -121.331966 38.043151, -121.3319332 38.04269340000001, -121.3319073 38.0418961, -121.331893 38.040593, -121.331898 38.0396169, -121.3319 38.0383304, -121.331898 38.038253, -121.3318971 38.0381681, -121.3318952 38.0376219, -121.3318663 38.0368235, -121.331843 38.0356266, -121.331836 38.035524, -121.331828 38.034299, -121.3318232 38.0340071, -121.3351902 38.03163090000001, -121.3350201 38.0314726, -121.3349356 38.031394, -121.3345228 38.030987, -121.3347605 38.03084880000002)","(38.057589, -121.3333951)","(38.030848800000015, -121.33476049999999)"
60770051311,5,0,6486.907,"LINESTRING (-121.2019733 37.9038328, -121.2022075 37.9038344, -121.2022116 37.9040413, -121.2022371 37.905281, -121.202241 37.9053789, -121.2083073 37.9053415, -121.2120863 37.9052792, -121.2129864 37.90526930000001, -121.2139824 37.9052699, -121.2154775 37.9052661, -121.2178661 37.90526, -121.2188378 37.9052581, -121.2206821 37.9052263, -121.2213648 37.9052109, -121.2229184 37.9059277, -121.2244969 37.9090624, -121.2319254 37.9275125, -121.232033 37.9331107, -121.23246 37.933247, -121.2356846 37.934539, -121.236124 37.934751, -121.2368879 37.9351305, -121.2378265 37.9356085, -121.2379393 37.9356676, -121.2389171 37.936186, -121.2395442 37.9365346, -121.2396211 37.9365764, -121.2399465 37.9367471, -121.2413464 37.937456, -121.2420757 37.93782620000001, -121.2423599 37.9379689, -121.2428375 37.9382055, -121.2435925 37.9385969, -121.2439752 37.9387898, -121.2442893 37.9389498, -121.2443631 37.9389882)","(37.9038328, -121.2019733)","(37.9389882, -121.24436310000002)"
60770051311,13,1,8343.171,"LINESTRING (-121.2019733 37.9038328, -121.2022075 37.9038344, -121.2022116 37.9040413, -121.2022371 37.905281, -121.202241 37.9053789, -121.2083073 37.9053415, -121.2120863 37.9052792, -121.2129864 37.90526930000001, -121.2139824 37.9052699, -121.2154775 37.9052661, -121.2178661 37.90526, -121.2188378 37.9052581, -121.2206821 37.9052263, -121.2213648 37.9052109, -121.2229184 37.9059277, -121.2244969 37.9090624, -121.2319254 37.9275125, -121.234106 37.9354539, -121.2344234 37.9379233, -121.2348516 37.9413826, -121.2341753 37.9433858, -121.2373244 37.9451628, -121.2374506 37.9452349, -121.240461 37.946856, -121.2424216 37.94951970000002, -121.2425735 37.9499068, -121.2431383 37.9512359, -121.2433245 37.9516148, -121.243929 37.9531, -121.244484 37.954471, -121.245624 37.954526)","(37.9038328, -121.2019733)","(37.954526, -121.245624)"
