cbg_id,store_id,rank,distance,geometry,Origin,Destination
120570001011,71,0,2189.936,"LINESTRING (-82.40966450000001 28.049805, -82.4098963 28.049805, -82.40989709999999 28.0490274, -82.4098973 28.0487844, -82.409898 28.0480469, -82.4098994 28.0472784, -82.4098996 28.0472203, -82.40989999999999 28.0470359, -82.40989999999999 28.0463813, -82.40989999999999 28.0462446, -82.40989999999999 28.0461234, -82.40989999999999 28.045446, -82.40989999999999 28.045025, -82.40989930000001 28.0437059, -82.40989999999999 28.043595, -82.4099003 28.0434957, -82.409899 28.042423, -82.409899 28.041716, -82.4099081 28.0400965, -82.4099272 28.0400133, -82.4099502 28.0399122, -82.4099701 28.0398968, -82.4099746 28.0398125, -82.4099575 28.0397964, -82.40993450000001 28.0396627, -82.4099125 28.0395993, -82.40991210000001 28.039516, -82.4099069 28.0390665, -82.4099034 28.0383648, -82.409908 28.037698, -82.40991099999999 28.037001, -82.4099154 28.0361995, -82.409914 28.035439, -82.4099154 28.0347374, -82.4099154 28.0345555, -82.4098601 28.0345524, -82.40984280000001 28.0331287, -82.40981240000001 28.0328055, -82.4097347 28.0327649, -82.4097453 28.032694, -82.40976360000001 28.0325718, -82.4096969 28.0325723, -82.40943369999999 28.0325745, -82.40932220000002 28.0325754, -82.4091675 28.0325767, -82.40911149999999 28.0325771, -82.408946 28.0325785, -82.4082789 28.0325833, -82.4081304 28.0325821, -82.4078221 28.0325791, -82.4073518 28.0325762)","(28.049805, -82.4096645)","(28.0325762, -82.4073518)"
120570001011,74,1,2204.348,"LINESTRING (-82.40966450000001 28.049805, -82.4098963 28.049805, -82.40989709999999 28.0490274, -82.4098973 28.0487844, -82.409898 28.0480469, -82.4098994 28.0472784, -82.4098996 28.0472203, -82.40989999999999 28.0470359, -82.40989999999999 28.0463813, -82.40989999999999 28.0462446, -82.40989999999999 28.0461234, -82.40989999999999 28.045446, -82.40989999999999 28.045025, -82.40989930000001 28.0437059, -82.40989999999999 28.043595, -82.4099003 28.0434957, -82.409899 28.042423, -82.409899 28.041716, -82.40984520000001 28.0417162, -82.40984580000001 28.0416465, -82.4098357 28.0400409, -82.4098358 28.0400156, -82.4096682 28.0399079, -82.4096419 28.0399056, -82.40911680000001 28.0398909, -82.4091171 28.0398518, -82.408333 28.039856, -82.4083361 28.0383662, -82.4083447 28.0362071, -82.4083438 28.0361511, -82.40831609999999 28.0346072, -82.4082489 28.03459510000001, -82.4082544 28.0343083, -82.4077683 28.0343117, -82.4077542 28.0335912, -82.4072584 28.0334712, -82.40726050000001 28.0333844, -82.40725759999999 28.0332195, -82.4068133 28.0332101, -82.4063628 28.0332017)","(28.049805, -82.4096645)","(28.0332017, -82.4063628)"
120570001012,74,0,1692.391,"LINESTRING (-82.40372790000001 28.0454604, -82.4037269 28.0452856, -82.40372499999999 28.0449623, -82.403723 28.0446065, -82.40371750000001 28.0436517, -82.40371709999999 28.0435792, -82.40364099999999 28.041726, -82.4036662 28.0416713, -82.4044765 28.0399117, -82.404492 28.039878, -82.40448240000001 28.0390934, -82.4044437 28.0390935, -82.4044394 28.039048, -82.4049861 28.0383897, -82.4055721 28.0376989, -82.4068305 28.036215, -82.4068728 28.0361643, -82.4082489 28.03459510000001, -82.4082544 28.0343083, -82.4077683 28.0343117, -82.4077542 28.0335912, -82.4072584 28.0334712, -82.40726050000001 28.0333844, -82.40725759999999 28.0332195, -82.4068133 28.0332101, -82.4063628 28.0332017)","(28.0454604, -82.4037279)","(28.0332017, -82.4063628)"
120570001012,71,1,1851.198,"LINESTRING (-82.40372790000001 28.0454604, -82.4037269 28.0452856, -82.40372499999999 28.0449623, -82.403723 28.0446065, -82.40371750000001 28.0436517, -82.40371709999999 28.0435792, -82.40364099999999 28.041726, -82.4036662 28.0416713, -82.4044765 28.0399117, -82.404492 28.039878, -82.40448240000001 28.0390934, -82.4044437 28.0390935, -82.4044394 28.039048, -82.4049861 28.0383897, -82.4055721 28.0376989, -82.4068305 28.036215, -82.4068728 28.0361643, -82.4082489 28.03459510000001, -82.4082544 28.0343083, -82.4077683 28.0343117, -82.4077542 28.0335912, -82.4072584 28.0334712, -82.40726050000001 28.0333844, -82.40725759999999 28.0332195, -82.4068133 28.0332101, -82.40680020000001 28.0328688, -82.4067452 28.0328678, -82.40674079999999 28.0327613, -82.40634129999999 28.0327519, -82.4063434 28.0327015, -82.4064676 28.0327009, -82.4073518 28.0325762)","(28.0454604, -82.4037279)","(28.0325762, -82.4073518)"
120570001013,72,0,2406.341,"LINESTRING (-82.399635 28.050739, -82.3996369 28.0500686, -82.399636 28.049414, -82.39964000000001 28.048728, -82.39964670000001 28.0480073, -82.39964670000001 28.0471589, -82.398991 28.04713, -82.3989878 28.047081, -82.398984 28.046318, -82.398983 28.045619, -82.398982 28.044941, -82.398977 28.044243, -82.39897980000001 28.0435821, -82.39897999999999 28.043538, -82.3989942 28.0399544, -82.39899459999999 28.0398572, -82.4017183 28.037706, -82.40169419999999 28.0370265, -82.4016888 28.036875, -82.4016635 28.0363498, -82.4016499 28.0362601, -82.4016542 28.035663, -82.4016566 28.0353231, -82.4016586 28.0350352, -82.4016599 28.0348562, -82.401664 28.0342674, -82.4016704 28.033363, -82.4016718 28.0331782, -82.4016725 28.0330702, -82.4016744 28.0328056, -82.401675 28.0327231, -82.4016752 28.0325951, -82.40157280000001 28.0325938, -82.4014767 28.0325924, -82.401003 28.0325854)","(28.050739, -82.399635)","(28.0325854, -82.401003)"
120570001013,73,1,2426.425,"LINESTRING (-82.399635 28.050739, -82.3996369 28.0500686, -82.399636 28.049414, -82.39964000000001 28.048728, -82.39964670000001 28.0480073, -82.39964670000001 28.0471589, -82.398991 28.04713, -82.3989878 28.047081, -82.398984 28.046318, -82.398983 28.045619, -82.398982 28.044941, -82.398977 28.044243, -82.39897980000001 28.0435821, -82.39897999999999 28.043538, -82.3989942 28.0399544, -82.39899459999999 28.0398572, -82.4017183 28.037706, -82.40169419999999 28.0370265, -82.40174450000001 28.037028, -82.40173 28.0363439, -82.40172699999999 28.0362593, -82.4017195 28.0361838, -82.40172230000002 28.0356639, -82.4017242 28.0353244, -82.40172579999999 28.035033, -82.40172680000001 28.0348564, -82.401735 28.033364, -82.40185330000001 28.0333657, -82.4019843 28.0333672, -82.4021214 28.0333685, -82.40229069999999 28.0328958, -82.4022892 28.0327752, -82.40228860000001 28.0327274, -82.4027914 28.0326896)","(28.050739, -82.399635)","(28.0326896, -82.4027914)"
120570001014,77,0,659.65,"LINESTRING (-82.4221641 28.0474446, -82.4244614 28.0468315, -82.4260428 28.0466251, -82.42618450000001 28.046627, -82.42618299999999 28.047208, -82.4264785 28.047208, -82.42647890000001 28.0472846, -82.4264809 28.0476059)","(28.0474446, -82.4221641)","(28.0476059, -82.4264809)"
120570001014,83,1,1656.227,"LINESTRING (-82.4221641 28.0474446, -82.4244614 28.0468315, -82.4260428 28.0466251, -82.42604609999999 28.0496047, -82.42604609999999 28.0509381, -82.42616719999999 28.0509501, -82.42616169999999 28.0512862, -82.42615840000001 28.0514851, -82.4261612 28.0517417, -82.4261642 28.0520081, -82.4261662 28.0523835, -82.4261669 28.0525123, -82.4261642 28.0525952, -82.4263334 28.0525987, -82.4263028 28.0534071, -82.4264325 28.053421, -82.4264699 28.0536667, -82.4266049 28.0536667, -82.4266143 28.0540935, -82.4272191 28.0541047, -82.4272186 28.0542028, -82.4278968 28.0542099, -82.42879689999999 28.0542125, -82.4287923 28.0543541, -82.4287198 28.0545624)","(28.0474446, -82.4221641)","(28.0545624, -82.4287198)"
120570001021,70,0,2161.131,"LINESTRING (-82.4180841 28.03813, -82.4188881 28.0385292, -82.41977559999999 28.0386473, -82.4206662 28.0395389, -82.4197046 28.0407727, -82.4179518 28.0416498, -82.4164282 28.0416365, -82.4164979 28.0341009, -82.41651040000001 28.0328169, -82.4165089 28.0326914, -82.41651 28.0325819, -82.41650850000001 28.03244, -82.4165307 28.0324338, -82.4170125 28.0324539, -82.41746070000001 28.0324782, -82.41769160000001 28.0324835, -82.4180612 28.0324735, -82.4181672 28.0324786, -82.4182753 28.0324802)","(28.03813, -82.4180841)","(28.0324802, -82.4182753)"
120570001021,77,1,2295.927,"LINESTRING (-82.4180841 28.03813, -82.4188881 28.0385292, -82.41977559999999 28.0386473, -82.4206662 28.0395389, -82.4197046 28.0407727, -82.4179518 28.0416498, -82.4179542 28.0417501, -82.4178946 28.0419981, -82.4178967 28.0423026, -82.4179032 28.0425094, -82.4180341 28.0432372, -82.418074 28.0435103, -82.4197503 28.0434939, -82.42041070000001 28.0435005, -82.42042309999999 28.0435567, -82.4220387 28.0435644, -82.42211829999999 28.0440524, -82.4221074 28.0444204, -82.4220988 28.0447537, -82.4220988 28.0450719, -82.4221611 28.0450708, -82.4231116 28.0450643, -82.4235346 28.045062, -82.4244935 28.0450567, -82.4247628 28.0451247, -82.4256517 28.0451295, -82.42605469999999 28.0451317, -82.4261917 28.0451324, -82.42619240000001 28.0458441, -82.42618450000001 28.046627, -82.42618299999999 28.047208, -82.4264785 28.047208, -82.42647890000001 28.0472846, -82.4264809 28.0476059)","(28.03813, -82.4180841)","(28.0476059, -82.4264809)"
120570001022,74,0,1002.486,"LINESTRING (-82.4075637 28.039851, -82.4075551 28.0383813, -82.4083361 28.0383662, -82.4083447 28.0362071, -82.4083438 28.0361511, -82.40831609999999 28.0346072, -82.4082489 28.03459510000001, -82.4082544 28.0343083, -82.4077683 28.0343117, -82.4077542 28.0335912, -82.4072584 28.0334712, -82.40726050000001 28.0333844, -82.40725759999999 28.0332195, -82.4068133 28.0332101, -82.4063628 28.0332017)","(28.039851, -82.4075637)","(28.0332017, -82.4063628)"
120570001022,71,1,1161.293,"LINESTRING (-82.4075637 28.039851, -82.4075551 28.0383813, -82.4083361 28.0383662, -82.4083447 28.0362071, -82.4083438 28.0361511, -82.40831609999999 28.0346072, -82.4082489 28.03459510000001, -82.4082544 28.0343083, -82.4077683 28.0343117, -82.4077542 28.0335912, -82.4072584 28.0334712, -82.40726050000001 28.0333844, -82.40725759999999 28.0332195, -82.4068133 28.0332101, -82.40680020000001 28.0328688, -82.4067452 28.0328678, -82.40674079999999 28.0327613, -82.40634129999999 28.0327519, -82.4063434 28.0327015, -82.4064676 28.0327009, -82.4073518 28.0325762)","(28.039851, -82.4075637)","(28.0325762, -82.4073518)"
120570001023,74,0,1323.106,"LINESTRING (-82.40178620000002 28.0399757, -82.40272280000001 28.0399822, -82.40343319999999 28.0399871, -82.4043298 28.0399217, -82.4044765 28.0399117, -82.404492 28.039878, -82.40448240000001 28.0390934, -82.4044437 28.0390935, -82.4044394 28.039048, -82.4049861 28.0383897, -82.4055721 28.0376989, -82.4068305 28.036215, -82.4068728 28.0361643, -82.4082489 28.03459510000001, -82.4082544 28.0343083, -82.4077683 28.0343117, -82.4077542 28.0335912, -82.4072584 28.0334712, -82.40726050000001 28.0333844, -82.40725759999999 28.0332195, -82.4068133 28.0332101, -82.4063628 28.0332017)","(28.0399757, -82.40178620000002)","(28.0332017, -82.4063628)"
