cbg_id,store_id,rank,distance,geometry,Origin,Destination
390950040001,6,0,1439.033,"LINESTRING (-83.560641 41.63796749999999, -83.5599259 41.6377139, -83.55989580000001 41.6376749, -83.56024499999999 41.637533, -83.56024480000001 41.63746429999998, -83.56032279999999 41.6374305, -83.560705 41.6372711, -83.56107660000001 41.6371178, -83.56115029999999 41.6370873, -83.5612177 41.6370595, -83.5613668 41.6369989, -83.56161400000001 41.6368972, -83.5618364 41.636806, -83.56195219999999 41.6367588, -83.5618817 41.6346259, -83.56189089999999 41.6346118, -83.5619434 41.6345299, -83.56178199999999 41.634525, -83.561359 41.634514, -83.56119270000001 41.63451619999999, -83.560757 41.634504, -83.5605036 41.6344951, -83.559324 41.634467, -83.5587242 41.6344568, -83.55871809999999 41.6343725, -83.55821899999999 41.6343637, -83.5581267 41.6343549, -83.5580339 41.6343425, -83.5580389 41.6333681, -83.5580403 41.633308, -83.5580413 41.6332508, -83.5580356 41.6324629, -83.55755619999999 41.6324636, -83.5573765 41.6324637, -83.55737739999999 41.63237789999999, -83.5570354 41.6323782, -83.5565665 41.6323785, -83.55572340000001 41.6323791, -83.5558363 41.6321199, -83.5557135 41.6320181, -83.5555171 41.63185509999999, -83.5557098 41.6317117, -83.5557388 41.6316901, -83.5558705 41.631592, -83.55603259999999 41.6314714, -83.55610660000001 41.6314163, -83.555992 41.6313328, -83.5558951 41.6312597)","(41.63796749999999, -83.560641)","(41.6312597, -83.5558951)"
390950040001,8,1,1779.094,"LINESTRING (-83.560641 41.63796749999999, -83.5599259 41.6377139, -83.55989580000001 41.6376749, -83.56024499999999 41.637533, -83.56024480000001 41.63746429999998, -83.56032279999999 41.6374305, -83.560705 41.6372711, -83.56107660000001 41.6371178, -83.56115029999999 41.6370873, -83.5612177 41.6370595, -83.5613668 41.6369989, -83.56161400000001 41.6368972, -83.5618364 41.636806, -83.56195219999999 41.6367588, -83.5618817 41.6346259, -83.56189089999999 41.6346118, -83.5619434 41.6345299, -83.56178199999999 41.634525, -83.561359 41.634514, -83.56119270000001 41.63451619999999, -83.560757 41.634504, -83.5605036 41.6344951, -83.5603579 41.6345952, -83.5597187 41.6350347, -83.5588063 41.635662, -83.5581107 41.6361402, -83.5576107 41.6364863, -83.55740110000001 41.636634, -83.5572665 41.6366334, -83.556922 41.636632, -83.55633760000001 41.6366363, -83.5558023 41.6366402, -83.5557 41.636641, -83.5556074 41.6366408, -83.5550942 41.63663949999999, -83.5545759 41.6366383, -83.55447100000001 41.636638, -83.5543918 41.63663840000001, -83.55382360000002 41.636641, -83.55325209999999 41.6366436, -83.553172 41.636644, -83.55306539999999 41.6366445, -83.55245730000001 41.6366476, -83.5508008 41.6366555, -83.55035220000001 41.636658, -83.55026549999999 41.63665809999998, -83.55016740000001 41.6366587, -83.5496538 41.6366617, -83.549092 41.636665, -83.5489287 41.6366667, -83.5483691 41.63667269999998, -83.548153 41.636675, -83.5480584 41.63674159999999)","(41.63796749999999, -83.560641)","(41.636741599999986, -83.5480584)"
390950040003,7,0,1271.906,"LINESTRING (-83.577533 41.634144, -83.577533 41.6345114, -83.5796473 41.6345542, -83.57964720000001 41.6345248, -83.58022990000001 41.6337278, -83.58081420000001 41.6337255, -83.58138839999999 41.6335861, -83.5819542 41.6335914, -83.5819454 41.632492, -83.581936 41.631613, -83.58194279999999 41.63072659999999, -83.5822725 41.6309759, -83.58401310000001 41.6336156, -83.58445759999999 41.6337812)","(41.634144, -83.577533)","(41.6337812, -83.5844576)"
390950040003,6,1,2287.648,"LINESTRING (-83.577533 41.634144, -83.577533 41.6345114, -83.57622670000001 41.6348868, -83.5762058 41.6348863, -83.5743824 41.6348392, -83.5727977 41.6348009, -83.572266 41.634782, -83.56982189999999 41.6347193, -83.5677566 41.6346706, -83.56731809999999 41.6346602, -83.5651836 41.6346071, -83.5631011 41.634552, -83.5629084 41.6345485, -83.56286470000001 41.6345477, -83.56248239999999 41.6345406, -83.5623792 41.6345387, -83.562014 41.634532, -83.5619434 41.6345299, -83.56178199999999 41.634525, -83.561359 41.634514, -83.56119270000001 41.63451619999999, -83.560757 41.634504, -83.5605036 41.6344951, -83.559324 41.634467, -83.5587242 41.6344568, -83.55871809999999 41.6343725, -83.55821899999999 41.6343637, -83.5581267 41.6343549, -83.5580339 41.6343425, -83.5580389 41.6333681, -83.5580403 41.633308, -83.5580413 41.6332508, -83.5580356 41.6324629, -83.55755619999999 41.6324636, -83.5573765 41.6324637, -83.55737739999999 41.63237789999999, -83.5570354 41.6323782, -83.5565665 41.6323785, -83.55572340000001 41.6323791, -83.5558363 41.6321199, -83.5557135 41.6320181, -83.5555171 41.63185509999999, -83.5557098 41.6317117, -83.5557388 41.6316901, -83.5558705 41.631592, -83.55603259999999 41.6314714, -83.55610660000001 41.6314163, -83.555992 41.6313328, -83.5558951 41.6312597)","(41.634144, -83.577533)","(41.6312597, -83.5558951)"
390950042001,8,0,562.158,"LINESTRING (-83.54747209999999 41.6326565, -83.54750490000001 41.6327253, -83.54726789999999 41.6328305, -83.5473219 41.6328789, -83.54819910000001 41.6329012, -83.548204 41.6333315, -83.54820410000001 41.6334209, -83.54820650000002 41.6335089, -83.54821389999999 41.6339294, -83.5482114 41.63436609999999, -83.548214 41.6344576, -83.5482169 41.6345414, -83.5482262 41.6351292, -83.5482277 41.6351842, -83.5482293 41.6352497, -83.5482313 41.6358094, -83.5482313 41.6358665, -83.5482312 41.6359173, -83.5482379 41.6364877, -83.5482705 41.6364667, -83.5483392 41.636496, -83.54838890000001 41.6365183, -83.54833990000002 41.6365513, -83.548153 41.636675, -83.5480584 41.63674159999999)","(41.6326565, -83.5474721)","(41.636741599999986, -83.5480584)"
390950042001,6,1,765.617,"LINESTRING (-83.54747209999999 41.6326565, -83.54750490000001 41.6327253, -83.54819790000001 41.6324237, -83.5482927 41.6323843, -83.5483833 41.6323842, -83.5501115 41.632383, -83.5502089 41.6323829, -83.5503028 41.6323828, -83.5525303 41.6323813, -83.5543278 41.6323801, -83.5544471 41.6322938, -83.5553891 41.6316122, -83.5555195 41.6315214, -83.5558951 41.6312597)","(41.6326565, -83.5474721)","(41.6312597, -83.5558951)"
390950027001,17,0,81.973,"LINESTRING (-83.54797139999999 41.6576261, -83.5471388 41.6572305)","(41.6576261, -83.5479714)","(41.6572305, -83.5471388)"
390950027001,23,1,1526.271,"LINESTRING (-83.54797139999999 41.6576261, -83.54840280000001 41.6578321, -83.54805639999999 41.6582392, -83.5476788 41.6586827, -83.54733539999999 41.6590862, -83.5472728 41.659161, -83.546982 41.659509, -83.5467745 41.6597329, -83.54680519999999 41.6604799, -83.54608880000001 41.660498, -83.5459723 41.6605005, -83.54533600000001 41.66051429999999, -83.5453663 41.66141, -83.54539029999999 41.6621096, -83.5454033 41.6624891, -83.54540900000001 41.6626556, -83.5454283 41.6632191, -83.5451028 41.6632185, -83.5443332 41.6637164, -83.54423300000001 41.6639242, -83.5442419 41.6641433, -83.54303729999999 41.6641701, -83.5421577 41.66418969999999, -83.54182460000001 41.66419709999999, -83.5415972 41.664202, -83.54109459999999 41.6642133, -83.54047300000001 41.6642271, -83.5404803 41.6644228, -83.539356 41.6644473, -83.5393692 41.6647574, -83.53938290000001 41.6648831, -83.53888550000001 41.66514120000001)","(41.6576261, -83.5479714)","(41.665141200000015, -83.5388855)"
390950030001,24,0,1215.882,"LINESTRING (-83.52022820000001 41.6673064, -83.5199253 41.6669343, -83.5186863 41.6675447, -83.5183516 41.6671741, -83.5183215 41.6671886, -83.51788809999999 41.667397, -83.51740150000001 41.6676273, -83.5168628 41.6678824, -83.516473 41.668067, -83.5161031 41.6683725, -83.51493139999999 41.6693393, -83.514349 41.669802, -83.5139224 41.6695049, -83.5134791 41.6691962, -83.51310839999999 41.6694991, -83.5130941 41.6695108, -83.5109642 41.671251, -83.51060409999999 41.6715453, -83.5098871 41.6710601, -83.5097548 41.6709681)","(41.6673064, -83.5202282)","(41.6709681, -83.5097548)"
390950030001,23,1,2060.631,"LINESTRING (-83.52022820000001 41.6673064, -83.522043 41.666445, -83.52439699999999 41.665324, -83.52587800000001 41.66461, -83.5262281 41.6644454, -83.527348 41.6639189, -83.52736899999999 41.663909, -83.5275323 41.6638311, -83.528862 41.663197, -83.5303863 41.6624871, -83.530879 41.66307, -83.531021 41.663238, -83.5311214 41.66337080000001, -83.5314166 41.6637142, -83.531936 41.66433090000001, -83.53245320000001 41.6649478, -83.5327036 41.66525729999999, -83.5342328 41.664547, -83.53447199999999 41.664823, -83.53493330000001 41.66460669999999, -83.53548499999999 41.664348, -83.5358207 41.6647388, -83.53618090000001 41.6651581, -83.53663899999999 41.664939, -83.5370977 41.664722, -83.5375509 41.6645074, -83.53758070000001 41.6644933, -83.5381555 41.6642787, -83.538673 41.664888, -83.53888550000001 41.66514120000001)","(41.6673064, -83.5202282)","(41.665141200000015, -83.5388855)"
