cbg_id,store_id,rank,distance,geometry,Origin,Destination
40190039032,4,0,937.072,"LINESTRING (-110.9819182 32.1305584, -110.9819202 32.130953, -110.9819221 32.131333, -110.9819239 32.1317092, -110.981925 32.1320806, -110.9819276 32.1324561, -110.9819164 32.1328333, -110.9819318 32.1333021, -110.9796613 32.1333207, -110.9796625 32.1334419, -110.979665 32.1337056, -110.9796064 32.1337053, -110.9794207 32.1337949, -110.9792499 32.1337985, -110.9789917 32.1338038, -110.97872 32.13380990000001, -110.9784539 32.1338163, -110.9783194 32.1338217, -110.9781011 32.1338309, -110.9781031 32.1338798, -110.9779748 32.1338827, -110.9778901 32.1338809, -110.9776696 32.1338836, -110.9775712 32.1338899, -110.9775736 32.1340803, -110.9775744 32.1341451, -110.9772377 32.1341419, -110.976631 32.1341521, -110.976194 32.1341573, -110.976187 32.1340916)","(32.1305584, -110.9819182)","(32.1340916, -110.976187)"
40190039032,5,1,1592.934,"LINESTRING (-110.9819182 32.1305584, -110.9819202 32.130953, -110.9819221 32.131333, -110.9819239 32.1317092, -110.981925 32.1320806, -110.9819276 32.1324561, -110.9819164 32.1328333, -110.9819318 32.1333021, -110.9796613 32.1333207, -110.9796625 32.1334419, -110.979665 32.1337056, -110.9796064 32.1337053, -110.9794207 32.1337949, -110.9792499 32.1337985, -110.9789917 32.1338038, -110.97872 32.13380990000001, -110.9784539 32.1338163, -110.9783194 32.1338217, -110.9781011 32.1338309, -110.9781031 32.1338798, -110.9779748 32.1338827, -110.9778901 32.1338809, -110.9776696 32.1338836, -110.9775712 32.1338899, -110.9767274 32.1339033, -110.976498 32.1339071, -110.9762897 32.1339104, -110.9761184 32.1339132, -110.9760569 32.1339142, -110.9758221 32.133918, -110.9756269 32.1339211, -110.9755849 32.1339218, -110.9755424 32.1339225, -110.9753705 32.1339238, -110.9750235 32.1339257, -110.9747097 32.1339274, -110.9742735 32.1339298, -110.9734022 32.1339345, -110.973226 32.13393520000001, -110.9731078 32.1339357, -110.9730505 32.1340964, -110.9730213 32.1341785, -110.9728209 32.1341778, -110.9725387 32.1341805, -110.9721139 32.13419, -110.9719826 32.1341945, -110.9718998 32.1341951, -110.9714542 32.1341976, -110.9710112 32.1342028, -110.970918 32.1342038, -110.9708295 32.1342047, -110.9698507 32.1342143, -110.9696977 32.1342142, -110.9694248 32.1342136, -110.9691637 32.1342096, -110.9690568 32.1342074)","(32.1305584, -110.9819182)","(32.1342074, -110.9690568)"
40190040291,31,0,2485.604,"LINESTRING (-110.8371361 32.1726628, -110.8384719 32.1726401, -110.839519 32.1745059, -110.8397314 32.1748833, -110.8399064 32.17488270000001, -110.8407821 32.1752513, -110.8407497 32.1772717, -110.8407613 32.1772832, -110.8407598 32.1774009, -110.8407581 32.1775235, -110.8407674 32.1775308, -110.8407656 32.1777043, -110.8407663 32.177919, -110.8407666 32.1781828, -110.8407667 32.1784005, -110.8407634 32.1787604, -110.8407581 32.1790575, -110.8407536 32.179379, -110.8407535 32.1794551, -110.8407554 32.1797274, -110.8407567 32.1799769, -110.8407573 32.1800494, -110.840757 32.1801248, -110.8407578 32.1803749, -110.8407558 32.1806296, -110.8407556 32.1807111, -110.840755 32.1807852, -110.8407554 32.1810571, -110.8407563 32.1813236, -110.8407576 32.1814166, -110.8407577 32.1815072, -110.8407597 32.1817352, -110.840759 32.1819099, -110.8407592 32.181953, -110.8407566 32.1821529, -110.8407561 32.1821924, -110.8407594 32.1825159, -110.8407591 32.1826615, -110.8407582 32.1830009, -110.8407584 32.1830846, -110.8407579 32.1831757, -110.840757 32.1837583, -110.840756 32.18458239999999, -110.840759 32.1846807, -110.840761 32.1847754, -110.8407635 32.1851098, -110.8407623 32.1853919, -110.8407623 32.185423, -110.8407618 32.185624, -110.8407617 32.1856559, -110.840761 32.1859455, -110.8407599 32.1862361, -110.8407598 32.1862651, -110.8407598 32.186464, -110.8407589 32.1864994, -110.840758 32.1867868, -110.8407572 32.1870861, -110.8407577 32.1871668, -110.8407581 32.1872401, -110.8407628 32.1875461, -110.8407611 32.18782470000001, -110.8407637 32.1878609, -110.840763 32.188066, -110.8408591 32.1881528, -110.8408592 32.1883882, -110.8408595 32.1884321, -110.8408623 32.1886261, -110.8408674 32.1889892, -110.8408707 32.1892183, -110.8408834 32.1897566, -110.8410747 32.1897835, -110.8411626 32.1897841, -110.8411755 32.1902092, -110.8412018 32.1905175, -110.841226 32.1910065, -110.8412266 32.19107609999999, -110.8412279 32.191241, -110.841234 32.1917165, -110.8412921 32.1917644, -110.842256 32.1917923)","(32.1726628, -110.8371361)","(32.1917923, -110.842256)"
40190040291,34,1,2560.381,"LINESTRING (-110.8371361 32.1726628, -110.8384719 32.1726401, -110.839519 32.1745059, -110.8397314 32.1748833, -110.8399064 32.17488270000001, -110.8407821 32.1752513, -110.8407497 32.1772717, -110.8407613 32.1772832, -110.8407598 32.1774009, -110.8407581 32.1775235, -110.8407674 32.1775308, -110.8407656 32.1777043, -110.8407663 32.177919, -110.8407666 32.1781828, -110.8407667 32.1784005, -110.8407634 32.1787604, -110.8407581 32.1790575, -110.8407536 32.179379, -110.8407535 32.1794551, -110.8407554 32.1797274, -110.8407567 32.1799769, -110.8407573 32.1800494, -110.840757 32.1801248, -110.8407578 32.1803749, -110.8407558 32.1806296, -110.8407556 32.1807111, -110.840755 32.1807852, -110.8407554 32.1810571, -110.8407563 32.1813236, -110.8407576 32.1814166, -110.8407577 32.1815072, -110.8407597 32.1817352, -110.840759 32.1819099, -110.8407592 32.181953, -110.8407566 32.1821529, -110.8407561 32.1821924, -110.8407594 32.1825159, -110.8407591 32.1826615, -110.8407582 32.1830009, -110.8407584 32.1830846, -110.8407579 32.1831757, -110.840757 32.1837583, -110.840756 32.18458239999999, -110.840759 32.1846807, -110.840761 32.1847754, -110.8407635 32.1851098, -110.8407623 32.1853919, -110.8407623 32.185423, -110.8407618 32.185624, -110.8407617 32.1856559, -110.840761 32.1859455, -110.8407599 32.1862361, -110.8407598 32.1862651, -110.8407598 32.186464, -110.8407589 32.1864994, -110.840758 32.1867868, -110.8407572 32.1870861, -110.8407577 32.1871668, -110.8407581 32.1872401, -110.8407628 32.1875461, -110.8407611 32.18782470000001, -110.8407637 32.1878609, -110.840763 32.188066, -110.8408591 32.1881528, -110.8408592 32.1883882, -110.8408595 32.1884321, -110.8408623 32.1886261, -110.8408674 32.1889892, -110.8408707 32.1892183, -110.8408834 32.1897566, -110.8410747 32.1897835, -110.8411626 32.1897841, -110.8411755 32.1902092, -110.8412018 32.1905175, -110.841226 32.1910065, -110.8412266 32.19107609999999, -110.8412279 32.191241, -110.841234 32.1917165, -110.8412921 32.1917644, -110.8412883 32.19187180000002, -110.8412822 32.1920491, -110.8412796 32.19214310000001, -110.8412271 32.1922268, -110.8412227 32.1926875, -110.8413083 32.1926878, -110.8413122 32.1928622, -110.8413018 32.1930154, -110.8412946 32.1931701)","(32.1726628, -110.8371361)","(32.1931701, -110.8412946)"
40190040741,0,0,1922.063,"LINESTRING (-110.7833034 32.09001529999998, -110.7831695 32.0902786, -110.7828651 32.09097279999999, -110.782783 32.0911348, -110.7826673 32.0913629, -110.7767256 32.0892169, -110.7758612 32.08889390000002, -110.7757461 32.0888485, -110.7756542 32.088819, -110.7748848 32.0885181, -110.7747816 32.0884807, -110.774654 32.088434, -110.7738401 32.0881051, -110.7737376 32.0880787, -110.773641 32.0880539, -110.7730533 32.0879754, -110.772971 32.0879089, -110.7728368 32.0879054, -110.772834 32.0873507, -110.772838 32.0864696, -110.7726242 32.0855654, -110.7724497 32.0855129, -110.7722971 32.0854559, -110.7718721 32.084978, -110.7721883 32.0816289)","(32.09001529999998, -110.7833034)","(32.0816289, -110.7721883)"
40190040741,1,1,2959.889,"LINESTRING (-110.7833034 32.09001529999998, -110.7831695 32.0902786, -110.7828651 32.09097279999999, -110.782783 32.0911348, -110.7826673 32.0913629, -110.7826326 32.0914301, -110.7786924 32.0900134, -110.777818 32.0896997, -110.776689 32.0892947, -110.7766564 32.0893622, -110.7765287 32.0893098, -110.7757555 32.0890523, -110.7756477 32.0890213, -110.7755654 32.0889948, -110.774751 32.0887392, -110.774667 32.0887128, -110.7744254 32.0891796, -110.77422 32.08917970000001, -110.774016 32.0891798, -110.7739222 32.0891799, -110.7737976 32.08917979999999, -110.7732924 32.0891741, -110.7732847 32.0893802, -110.7730313 32.0893795, -110.7730292 32.0894341, -110.7729049 32.1009353, -110.772918 32.1009854, -110.7729211 32.1010868, -110.7729199 32.1016794, -110.7729185 32.1017788, -110.7728706 32.1024043, -110.7729264 32.1025036, -110.7729171 32.1025949, -110.7729174 32.1027004, -110.7729178 32.1027755, -110.7729163 32.1027847, -110.7729126 32.1028013, -110.7729548 32.1036244, -110.772952 32.1037017, -110.772975 32.1050107, -110.7729685 32.1051101)","(32.09001529999998, -110.7833034)","(32.1051101, -110.77296850000002)"
40190034002,54,0,1139.139,"LINESTRING (-110.896564 32.2137352, -110.8945189 32.2137194, -110.8944436 32.2136563, -110.894378 32.2137136, -110.8944524 32.2137754, -110.8944805 32.2145556, -110.8944172 32.2145539, -110.8944278 32.2153167, -110.8944342 32.2160463, -110.8944484 32.2169486, -110.8944629 32.2177073, -110.8945158 32.2177064, -110.8945254 32.2184826, -110.8945461 32.2192341, -110.8945389 32.2199954, -110.8945222 32.220461, -110.8945167 32.2204865, -110.8944278 32.220916, -110.8944277 32.2211631, -110.8943509 32.2211662, -110.8943284 32.22133289999999, -110.8938483 32.2213346, -110.8938498 32.221412)","(32.2137352, -110.896564)","(32.221412, -110.8938498)"
40190034002,46,1,1259.27,"LINESTRING (-110.896564 32.2137352, -110.8982347 32.21369210000001, -110.8982928 32.2129351, -110.8982892 32.2121346, -110.8982373 32.2112981, -110.8982824 32.2112294, -110.8990065 32.2110984, -110.899932 32.2110773, -110.9008123 32.2110754, -110.9009124 32.2110752, -110.900913 32.2109566, -110.9009169 32.210591, -110.9009146 32.20974420000001, -110.9009118 32.2088522, -110.9009192 32.2079452, -110.9010183 32.2079441, -110.9010218 32.2078808, -110.9010214 32.2077951, -110.9010342 32.2074943, -110.9010285 32.2071785, -110.9010536 32.2071603, -110.9015157 32.2071571, -110.9024203 32.2071585)","(32.2137352, -110.896564)","(32.2071585, -110.9024203)"
40190040301,85,0,717.156,"LINESTRING (-110.8452339 32.2516783, -110.8452378 32.2512003, -110.8452408 32.2508276, -110.8446603 32.2509156, -110.8441503 32.2509311, -110.8435459 32.2509333, -110.84287 32.2509532, -110.842025 32.2509733, -110.8417664 32.25097809999998, -110.8411616 32.2509665, -110.8411183 32.2510171, -110.8409663 32.2510216, -110.840751 32.2510234, -110.8406326 32.2509764, -110.8405925 32.2510093, -110.8405667 32.2510305, -110.839936 32.2509469, -110.8391246 32.2509418, -110.8390926 32.2510727, -110.8388855 32.2510719)","(32.2516783, -110.8452339)","(32.2510719, -110.8388855)"
40190040301,77,1,855.988,"LINESTRING (-110.8452339 32.2516783, -110.8452378 32.2512003, -110.8452408 32.2508276, -110.8454479 32.2507726, -110.8458716 32.25066, -110.8465716 32.2503234, -110.8467024 32.2502476, -110.8470047 32.2500658, -110.8473208 32.2498737, -110.8473388 32.2498668, -110.8474264 32.2498201, -110.8476054 32.2497472, -110.8480121 32.2494581, -110.8488463 32.2489529, -110.8490474 32.2488828, -110.8492019 32.2487996, -110.8493517 32.2487082, -110.8498544 32.2484143, -110.8498715 32.2484176, -110.8499236 32.2483845, -110.8503468 32.2488437, -110.8506509 32.2491727, -110.8509709 32.2494357, -110.8510906 32.2495305, -110.8516227 32.2499287)","(32.2516783, -110.8452339)","(32.2499287, -110.8516227)"
