cbg_id,store_id,rank,distance,geometry,Origin,Destination
401450304032,57,0,10633.223,"LINESTRING (-95.74003480000002 36.14464980000001, -95.74129579999999 36.147296, -95.7412898 36.1479905, -95.7427916 36.1472665, -95.7431802 36.1463313, -95.74969969999999 36.1480175, -95.7540752 36.1480086, -95.7545913 36.1480065, -95.76122349999999 36.1480016, -95.7617005 36.1479962, -95.7639406 36.1479882, -95.76434829999999 36.1479868, -95.76458700000001 36.1479859, -95.7650376 36.14798429999998, -95.7654454 36.1479829, -95.7696181 36.1479719, -95.77029210000001 36.14796919999998, -95.7706139 36.1479679, -95.7709203 36.1479666, -95.7713703 36.1479648, -95.77215889999999 36.1479616, -95.7722447 36.14796129999998, -95.7723869 36.1479607, -95.7725719 36.14796, -95.77290379999999 36.1479586, -95.77307620000001 36.1479579, -95.7741597 36.1479536, -95.7745407 36.147952, -95.7747366 36.1479534, -95.7749211 36.1479547, -95.77631030000001 36.1479449, -95.7773797 36.1479406, -95.77778669999999 36.1479418, -95.7787416 36.1479357, -95.7792122 36.1479381, -95.7796421 36.1479352, -95.77996539999999 36.1479365, -95.7801188 36.147938, -95.7808091 36.1479426, -95.7821285 36.1479393, -95.78232559999999 36.1479388, -95.7826086 36.1479381, -95.7830713 36.1479369, -95.783424 36.147936, -95.7841383 36.1479342, -95.7842935 36.1479343, -95.7851661 36.147935, -95.7857206 36.1479355, -95.7864064 36.1479361, -95.7867392 36.1479364, -95.7871576 36.1479367, -95.78804270000001 36.1479375, -95.7884425 36.1479378, -95.78858779999999 36.14793679999999, -95.78896140000001 36.1479371, -95.78966549999998 36.1479377, -95.7916525 36.1479373, -95.79605720000001 36.1479364, -95.79725120000001 36.1479362, -95.79752860000001 36.1479363, -95.7986133 36.1479395, -95.79918480000001 36.1479412, -95.80025750000001 36.1479444, -95.802002 36.1479496, -95.8020046 36.1476291, -95.80200550000001 36.1475208, -95.80200929999999 36.1470475, -95.8020166 36.146152, -95.8019984 36.144324, -95.8032339 36.144353, -95.804789 36.1443492, -95.80547520000002 36.14434330000001, -95.8061501 36.1443458, -95.8078677 36.1443436, -95.80924589999999 36.1443392, -95.8094255 36.1443366, -95.8097934 36.1443095, -95.8103861 36.1442116, -95.810868 36.144132, -95.81115939999999 36.1440702, -95.8120942 36.1438718, -95.815415 36.143797, -95.81538089999999 36.1422507, -95.815404 36.140766, -95.8154006 36.1389392, -95.8153995 36.1383373, -95.8153988 36.1379736, -95.8154004 36.1371453, -95.8154005 36.1370564, -95.81539859999999 36.1356829, -95.81549149999999 36.1352198, -95.8154917 36.1341586, -95.8154918 36.133828, -95.8154918 36.1337405, -95.8157319 36.1335419, -95.8162487 36.1335426, -95.8178321 36.133542, -95.8179257 36.1335417, -95.8189636 36.1335336, -95.81906879999998 36.1335338, -95.8209873 36.1335263, -95.82329609999999 36.1335224, -95.82343470000001 36.133523, -95.8235322 36.1335235, -95.82525630000001 36.1335218, -95.8252567 36.1334052, -95.825255 36.1333522, -95.8258045 36.1333512, -95.827073 36.1333507, -95.82877980000001 36.1333475, -95.8304828 36.133344, -95.8310135 36.1333422, -95.83138649999999 36.1333413, -95.8318439 36.133341, -95.8323616 36.13334050000001, -95.8327371 36.1333401, -95.8330484 36.1333348, -95.8331817 36.1333258, -95.83332540000001 36.133316, -95.83341900000001 36.1333097, -95.8341197 36.1333129, -95.8341193 36.1334005)","(36.14464980000001, -95.74003480000002)","(36.1334005, -95.8341193)"
401450304032,58,1,10690.795,"LINESTRING (-95.74003480000002 36.14464980000001, -95.74129579999999 36.147296, -95.7412898 36.1479905, -95.7427916 36.1472665, -95.7431802 36.1463313, -95.74969969999999 36.1480175, -95.7540752 36.1480086, -95.7545913 36.1480065, -95.76122349999999 36.1480016, -95.7617005 36.1479962, -95.7639406 36.1479882, -95.76434829999999 36.1479868, -95.76458700000001 36.1479859, -95.7650376 36.14798429999998, -95.7654454 36.1479829, -95.7696181 36.1479719, -95.77029210000001 36.14796919999998, -95.7706139 36.1479679, -95.7709203 36.1479666, -95.7713703 36.1479648, -95.77215889999999 36.1479616, -95.7722447 36.14796129999998, -95.7723869 36.1479607, -95.7725719 36.14796, -95.77290379999999 36.1479586, -95.77307620000001 36.1479579, -95.7741597 36.1479536, -95.7745407 36.147952, -95.7747366 36.1479534, -95.7749211 36.1479547, -95.77631030000001 36.1479449, -95.7773797 36.1479406, -95.77778669999999 36.1479418, -95.7787416 36.1479357, -95.7792122 36.1479381, -95.7796421 36.1479352, -95.77996539999999 36.1479365, -95.7801188 36.147938, -95.7808091 36.1479426, -95.7821285 36.1479393, -95.78232559999999 36.1479388, -95.7826086 36.1479381, -95.7830713 36.1479369, -95.783424 36.147936, -95.7841383 36.1479342, -95.7842935 36.1479343, -95.7851661 36.147935, -95.7857206 36.1479355, -95.7864064 36.1479361, -95.7867392 36.1479364, -95.7871576 36.1479367, -95.78804270000001 36.1479375, -95.7884425 36.1479378, -95.78858779999999 36.14793679999999, -95.78896140000001 36.1479371, -95.78966549999998 36.1479377, -95.7916525 36.1479373, -95.79605720000001 36.1479364, -95.79725120000001 36.1479362, -95.79752860000001 36.1479363, -95.7986133 36.1479395, -95.79918480000001 36.1479412, -95.80025750000001 36.1479444, -95.802002 36.1479496, -95.8020046 36.1476291, -95.80200550000001 36.1475208, -95.80200929999999 36.1470475, -95.8020166 36.146152, -95.8019984 36.144324, -95.8032339 36.144353, -95.804789 36.1443492, -95.80547520000002 36.14434330000001, -95.8061501 36.1443458, -95.8078677 36.1443436, -95.80924589999999 36.1443392, -95.8094255 36.1443366, -95.8097934 36.1443095, -95.8103861 36.1442116, -95.810868 36.144132, -95.81115939999999 36.1440702, -95.8120942 36.1438718, -95.815415 36.143797, -95.81538089999999 36.1422507, -95.815404 36.140766, -95.8154006 36.1389392, -95.8153995 36.1383373, -95.8153988 36.1379736, -95.8154004 36.1371453, -95.8154005 36.1370564, -95.81539859999999 36.1356829, -95.81549149999999 36.1352198, -95.8154917 36.1341586, -95.8154918 36.133828, -95.8154918 36.1337405, -95.8157319 36.1335419, -95.8162487 36.1335426, -95.8178321 36.133542, -95.8179257 36.1335417, -95.8189636 36.1335336, -95.81906879999998 36.1335338, -95.8209873 36.1335263, -95.82329609999999 36.1335224, -95.82343470000001 36.133523, -95.8235322 36.1335235, -95.82525630000001 36.1335218, -95.8270733 36.1335216, -95.8287831 36.1335166, -95.8288506 36.1335166, -95.83042210000001 36.1335176, -95.8306678 36.13351750000001, -95.8313881 36.1335171, -95.83189520000001 36.1335158, -95.83264509999999 36.1335129, -95.83307000000001 36.1335112, -95.83318110000002 36.133512, -95.8333234 36.1335157, -95.8334363 36.133516, -95.8339752 36.1335176, -95.8342158 36.1335183, -95.83452779999999 36.1335192, -95.83493720000001 36.1335204, -95.83493780000001 36.1334033)","(36.14464980000001, -95.74003480000002)","(36.1334033, -95.8349378)"
401450304081,57,0,13112.172,"LINESTRING (-95.72753299999999 36.1168686, -95.7273386 36.1169758, -95.73153569999999 36.1227367, -95.7265941 36.123643, -95.7262558 36.12335539999999, -95.72623 36.1193533, -95.726681 36.1189659, -95.73316130000001 36.1189939, -95.73326 36.118995, -95.7336774 36.1189972, -95.7356011 36.1189985, -95.7357579 36.1189995, -95.74001380000001 36.119025, -95.7435442 36.11904160000002, -95.74397970000001 36.119042, -95.7476458 36.1190353, -95.75014899999999 36.11903569999998, -95.755217 36.1190181, -95.757561 36.1190116, -95.75956170000001 36.1190062, -95.7616998 36.1190005, -95.7668966 36.1189789, -95.7795838 36.1189568, -95.7795867 36.1213297, -95.7795883 36.1226882, -95.77959180000001 36.1233092, -95.77960349999999 36.1254042, -95.7796002 36.1334438, -95.7829934 36.1334465, -95.784402 36.1334485, -95.78546710000001 36.13345, -95.7857791 36.1334504, -95.788504 36.133459, -95.7888148 36.1334606, -95.7900245 36.13346409999998, -95.7905356 36.1334648, -95.7919078 36.1334574, -95.7936188 36.1334722, -95.79601340000001 36.1334715, -95.79646640000001 36.13347129999999, -95.7973028 36.1334711, -95.79750919999999 36.1334686, -95.800776 36.1334625, -95.80489059999999 36.1334833, -95.8070618 36.1334776, -95.810501 36.1334677, -95.8107732 36.1334664, -95.8116596 36.1334685, -95.8133776 36.13354060000001, -95.81477390000001 36.1335427, -95.81506539999999 36.1335432, -95.8153202 36.1335435, -95.8154919 36.1335425, -95.8157319 36.1335419, -95.8162487 36.1335426, -95.8178321 36.133542, -95.8179257 36.1335417, -95.8189636 36.1335336, -95.81906879999998 36.1335338, -95.8209873 36.1335263, -95.82329609999999 36.1335224, -95.82343470000001 36.133523, -95.8235322 36.1335235, -95.82525630000001 36.1335218, -95.8252567 36.1334052, -95.825255 36.1333522, -95.8258045 36.1333512, -95.827073 36.1333507, -95.82877980000001 36.1333475, -95.8304828 36.133344, -95.8310135 36.1333422, -95.83138649999999 36.1333413, -95.8318439 36.133341, -95.8323616 36.13334050000001, -95.8327371 36.1333401, -95.8330484 36.1333348, -95.8331817 36.1333258, -95.83332540000001 36.133316, -95.83341900000001 36.1333097, -95.8341197 36.1333129, -95.8341193 36.1334005)","(36.1168686, -95.727533)","(36.1334005, -95.8341193)"
401450304081,58,1,13169.744,"LINESTRING (-95.72753299999999 36.1168686, -95.7273386 36.1169758, -95.73153569999999 36.1227367, -95.7265941 36.123643, -95.7262558 36.12335539999999, -95.72623 36.1193533, -95.726681 36.1189659, -95.73316130000001 36.1189939, -95.73326 36.118995, -95.7336774 36.1189972, -95.7356011 36.1189985, -95.7357579 36.1189995, -95.74001380000001 36.119025, -95.7435442 36.11904160000002, -95.74397970000001 36.119042, -95.7476458 36.1190353, -95.75014899999999 36.11903569999998, -95.755217 36.1190181, -95.757561 36.1190116, -95.75956170000001 36.1190062, -95.7616998 36.1190005, -95.7668966 36.1189789, -95.7795838 36.1189568, -95.7795867 36.1213297, -95.7795883 36.1226882, -95.77959180000001 36.1233092, -95.77960349999999 36.1254042, -95.7796002 36.1334438, -95.7829934 36.1334465, -95.784402 36.1334485, -95.78546710000001 36.13345, -95.7857791 36.1334504, -95.788504 36.133459, -95.7888148 36.1334606, -95.7900245 36.13346409999998, -95.7905356 36.1334648, -95.7919078 36.1334574, -95.7936188 36.1334722, -95.79601340000001 36.1334715, -95.79646640000001 36.13347129999999, -95.7973028 36.1334711, -95.79750919999999 36.1334686, -95.800776 36.1334625, -95.80489059999999 36.1334833, -95.8070618 36.1334776, -95.810501 36.1334677, -95.8107732 36.1334664, -95.8116596 36.1334685, -95.8133776 36.13354060000001, -95.81477390000001 36.1335427, -95.81506539999999 36.1335432, -95.8153202 36.1335435, -95.8154919 36.1335425, -95.8157319 36.1335419, -95.8162487 36.1335426, -95.8178321 36.133542, -95.8179257 36.1335417, -95.8189636 36.1335336, -95.81906879999998 36.1335338, -95.8209873 36.1335263, -95.82329609999999 36.1335224, -95.82343470000001 36.133523, -95.8235322 36.1335235, -95.82525630000001 36.1335218, -95.8270733 36.1335216, -95.8287831 36.1335166, -95.8288506 36.1335166, -95.83042210000001 36.1335176, -95.8306678 36.13351750000001, -95.8313881 36.1335171, -95.83189520000001 36.1335158, -95.83264509999999 36.1335129, -95.83307000000001 36.1335112, -95.83318110000002 36.133512, -95.8333234 36.1335157, -95.8334363 36.133516, -95.8339752 36.1335176, -95.8342158 36.1335183, -95.83452779999999 36.1335192, -95.83493720000001 36.1335204, -95.83493780000001 36.1334033)","(36.1168686, -95.727533)","(36.1334033, -95.8349378)"
401139400064,73,0,1600.59,"LINESTRING (-96.0202968 36.1752464, -96.02028919999999 36.175435, -96.020203 36.1756133, -96.0200679 36.17560630000001, -96.01977340000001 36.1755909, -96.0197955 36.17286, -96.0198481 36.1670492, -96.0198706 36.1652103, -96.01987219999999 36.16305309999998, -96.0198747 36.162453, -96.0198761 36.1619247)","(36.1752464, -96.0202968)","(36.1619247, -96.0198761)"
401139400064,77,1,4631.895,"LINESTRING (-96.0202968 36.1752464, -96.02028919999999 36.175435, -96.020203 36.1756133, -96.0200679 36.17560630000001, -96.01977340000001 36.1755909, -96.0197668 36.1765812, -96.0186212 36.17657, -96.0180807 36.1765647, -96.0174378 36.1765584, -96.01735130000002 36.1765606, -96.01574069999999 36.1765383, -96.0152963 36.1765397, -96.0108729 36.1764903, -96.0107627 36.1764856, -96.0101611 36.176483, -96.0095572 36.1764754, -96.00895199999999 36.1764678, -96.0087292 36.17646339999999, -96.00773270000001 36.1764678, -96.00723379999999 36.1764875, -96.00652810000001 36.1764925, -96.005348 36.1764756, -96.0045164 36.1764811, -96.00418850000001 36.1764961, -96.0035369 36.176546, -96.0030493 36.1766064, -96.0029535 36.1765916, -96.0020073 36.1767399, -96.00165629999999 36.1767998, -96.00022629999999 36.1768958, -95.9993952 36.1769217, -95.99800860000001 36.1769539, -95.996937 36.17695169999999, -95.9968456 36.1769515, -95.9967547 36.17695160000001, -95.9958511 36.1769526, -95.99575729999999 36.1769527, -95.9956735 36.17695079999999, -95.994714 36.17692869999998, -95.994635 36.1769269, -95.9945419 36.1769256, -95.99436040000001 36.17692310000001, -95.99397449999999 36.1769159, -95.99380379999999 36.1769156, -95.9936548 36.1769164, -95.99352759999999 36.1769213, -95.9933602 36.1769278, -95.9927127 36.1769359, -95.9918405 36.1769403, -95.99138910000001 36.176943, -95.99112340000001 36.1769446, -95.99071720000001 36.1769436, -95.9896009 36.1769461, -95.9890055 36.1769435, -95.98849439999999 36.1769446, -95.98803150000001 36.1769446, -95.9869149 36.1769434, -95.98681120000001 36.1769434, -95.98671880000001 36.1769433, -95.9859072 36.1769464, -95.9851348 36.176943, -95.9846105 36.17694519999998, -95.9845205 36.1769437, -95.98416389999998 36.1769444, -95.9839855 36.1769448, -95.98348729999999 36.1769458, -95.98347870000001 36.177019, -95.98326 36.17702419999998, -95.980836 36.1770233, -95.98051340000001 36.1770227, -95.9800635 36.17702, -95.98006100000001 36.177449, -95.98005910000001 36.1777828, -95.98005830000001 36.1779329, -95.98006859999998 36.1785695, -95.98004830000002 36.1789032, -95.97783010000001 36.1789081, -95.9767071 36.1789095, -95.9757685 36.1789079, -95.9757018 36.1789078, -95.975562 36.1789259, -95.9754873 36.17893560000001, -95.9752553 36.1789377, -95.97525450000001 36.1791272, -95.9752538 36.1792873, -95.97507050000002 36.1792947, -95.9750688 36.1798261, -95.97489309999999 36.179858, -95.9749152 36.1800074, -95.97482359999999 36.1800085, -95.97482669999999 36.1801933, -95.97483459999999 36.1804375, -95.9750769 36.1804357)","(36.1752464, -96.0202968)","(36.1804357, -95.9750769)"
401139400061,73,0,1039.439,"LINESTRING (-96.01258230000001 36.1659394, -96.0135993 36.1659658, -96.01486869999999 36.1660434, -96.0159077 36.16605, -96.01623050000001 36.1638571, -96.0170292 36.1632312, -96.017849 36.1630439, -96.01922500000001 36.1630523, -96.01987219999999 36.16305309999998, -96.0198747 36.162453, -96.0198761 36.1619247)","(36.1659394, -96.0125823)","(36.1619247, -96.0198761)"
401139400061,77,1,4957.212,"LINESTRING (-96.01258230000001 36.1659394, -96.0119802 36.1659317, -96.0115608 36.1659273, -96.0115313 36.1687045, -96.0109174 36.1687082, -96.01090809999999 36.1695558, -96.010904 36.1705534, -96.0083896 36.1713767, -96.0083794 36.1727339, -96.00773130000002 36.1727273, -96.00773030000001 36.1727917, -96.0077285 36.1745421, -96.007732 36.1761419, -96.00723309999999 36.1763965, -96.00652479999999 36.1763995, -96.00652580000001 36.1764273, -96.0053466 36.1764131, -96.0041889 36.1764343, -96.0030491 36.1765345, -96.0029735 36.1765427, -96.0019923 36.1766951, -96.0016591 36.1767492, -96.00022490000001 36.1768586, -95.99939519999998 36.176875, -95.9980082 36.176885, -95.9969375 36.1768926, -95.99684550000001 36.1768928, -95.9967518 36.176893, -95.99584830000001 36.1768899, -95.99575729999999 36.1768895, -95.9956715 36.1768893, -95.99470439999999 36.1768625, -95.99463120000001 36.1768595, -95.9945412 36.1768558, -95.9943576 36.1768539, -95.993655 36.1768536, -95.9935278 36.1768534, -95.9933669 36.1768532, -95.9927127 36.1769359, -95.9918405 36.1769403, -95.99138910000001 36.176943, -95.99112340000001 36.1769446, -95.99071720000001 36.1769436, -95.9896009 36.1769461, -95.9890055 36.1769435, -95.98849439999999 36.1769446, -95.98803150000001 36.1769446, -95.9869149 36.1769434, -95.98681120000001 36.1769434, -95.98671880000001 36.1769433, -95.9859072 36.1769464, -95.9851348 36.176943, -95.9846105 36.17694519999998, -95.9845205 36.1769437, -95.98416389999998 36.1769444, -95.9839855 36.1769448, -95.98348729999999 36.1769458, -95.98347870000001 36.177019, -95.98326 36.17702419999998, -95.980836 36.1770233, -95.98051340000001 36.1770227, -95.9800635 36.17702, -95.98006100000001 36.177449, -95.98005910000001 36.1777828, -95.98005830000001 36.1779329, -95.98006859999998 36.1785695, -95.98004830000002 36.1789032, -95.97783010000001 36.1789081, -95.9767071 36.1789095, -95.9757685 36.1789079, -95.9757018 36.1789078, -95.975562 36.1789259, -95.9754873 36.17893560000001, -95.9752553 36.1789377, -95.97525450000001 36.1791272, -95.9752538 36.1792873, -95.97507050000002 36.1792947, -95.9750688 36.1798261, -95.97489309999999 36.179858, -95.9749152 36.1800074, -95.97482359999999 36.1800085, -95.97482669999999 36.1801933, -95.97483459999999 36.1804375, -95.9750769 36.1804357)","(36.1659394, -96.0125823)","(36.1804357, -95.9750769)"
401430025003,73,0,2681.92,"LINESTRING (-95.9947976 36.15814629999998, -95.99433399999999 36.1582133, -95.9947334 36.1589586, -95.99477539999999 36.1590388, -95.99525279999999 36.1588759, -95.9953567 36.1588409, -95.9954378 36.1588127, -95.9954736 36.15880030000001, -95.9955186 36.1588901, -95.99593609999999 36.1596649, -95.99692140000002 36.1593825, -95.9970299 36.15934920000002, -95.9974931 36.1602097, -95.9975278 36.160274, -95.9975598 36.1603372, -95.9980166 36.1612058, -95.9981483 36.1612084, -95.99877429999999 36.161221, -95.9992991 36.1613009, -95.9994451 36.1613184, -95.99957209999999 36.161323, -95.9995926 36.16137669999998, -96.0026372 36.1614105, -96.0027359 36.1613936, -96.003698 36.1613921, -96.00376249999999 36.1613921, -96.0038533 36.1613922, -96.0100575 36.1613701, -96.0109763 36.1613818, -96.0115191 36.1613802, -96.0116127 36.1613782, -96.01490750000001 36.161356, -96.0154661 36.1613526, -96.0166289 36.1613454, -96.0171249 36.1613423, -96.0175517 36.1613396, -96.0187037 36.1613337, -96.0187088 36.161491, -96.0187226 36.1619189, -96.0189347 36.16192, -96.0191452 36.161921, -96.0193491 36.1619221, -96.019392 36.1619223, -96.01957659999999 36.1619232, -96.0198761 36.1619247)","(36.158146299999984, -95.9947976)","(36.1619247, -96.0198761)"
401430025003,68,1,3250.003,"LINESTRING (-95.9947976 36.15814629999998, -95.99433399999999 36.1582133, -95.9943166 36.1581809, -95.9942705 36.1581003, -95.993798 36.1582673, -95.99369230000001 36.1583047, -95.9935803 36.1583424, -95.9930858 36.1585011, -95.99262090000001 36.1586621, -95.99257629999998 36.1585794, -95.99252549999999 36.1585974, -95.9924472 36.1586251, -95.9923352 36.15865920000001, -95.9919307 36.1578933, -95.9911073 36.1581546, -95.99096179999999 36.1582026, -95.9909469 36.1581755, -95.99091869999999 36.1581201, -95.9908843 36.158064, -95.9907704 36.1580941, -95.99076289999999 36.1580817, -95.99064160000002 36.1581187, -95.9902359 36.1582525, -95.9901727 36.1582748, -95.98968920000002 36.1584495, -95.9895744 36.1584895, -95.98947060000002 36.1585256, -95.9894407 36.1585352, -95.9889822 36.158693, -95.9884971 36.15885989999999, -95.988437 36.1588801, -95.9883913 36.1588947, -95.98818350000001 36.1585042, -95.98795200000001 36.1580692, -95.9878624 36.1579007, -95.9878102 36.15780259999999, -95.98774919999998 36.1578148, -95.98772049999999 36.1578205, -95.9875378 36.1574963, -95.9873049 36.1570833, -95.98726189999999 36.1570105, -95.9872117 36.1569115, -95.98697319999999 36.1564598, -95.986797 36.1561354, -95.9867558 36.1560432, -95.986271 36.1562109, -95.98622279999999 36.1561215, -95.986086 36.15586979999998, -95.9855496 36.1559345, -95.98544320000001 36.1557325, -95.9853828 36.1556164, -95.98527989999999 36.1556505, -95.98522730000001 36.1555494, -95.9851038 36.1555926, -95.98508560000001 36.155566, -95.98505520000001 36.1555269, -95.9845892 36.1556902, -95.98445890000001 36.1557359, -95.9841098 36.1558552, -95.9839894 36.1558904, -95.9838513 36.1559362, -95.983795 36.15589090000001, -95.9836549 36.1559395, -95.9822884 36.1564019, -95.982202 36.1564517, -95.9821137 36.1565017, -95.9820562 36.156531, -95.98159099999999 36.15664, -95.98103949999998 36.1566286, -95.9809772 36.1566286, -95.9808816 36.1566286, -95.9798842 36.1566226, -95.97975340000001 36.15663150000001, -95.9796791 36.15663049999998, -95.979359 36.1566314, -95.97913800000001 36.156632, -95.97861039999999 36.1566322, -95.9785475 36.156634, -95.978481 36.1566358, -95.9784519 36.1566362, -95.97738699999999 36.1566546, -95.976557 36.1566408, -95.9763942 36.1566358, -95.9762554 36.1566315, -95.97572310000001 36.1566283, -95.97560350000001 36.15663639999999, -95.9756028 36.156213, -95.9756029 36.15598390000001, -95.9755217 36.1559796, -95.9737361 36.1557142, -95.9736544 36.1557135, -95.9736554 36.1556421, -95.9736602 36.1553143, -95.97323369999999 36.1551633, -95.9716786 36.1551643, -95.971594 36.1551641, -95.9715942 36.1551264, -95.9715035 36.1551259, -95.97036970000001 36.1551196, -95.9703683 36.1550627, -95.9703665 36.1549875, -95.9703705 36.1547992, -95.9703749 36.1545895, -95.9703785 36.1542248, -95.969236 36.1541501, -95.9691594 36.1541489, -95.9690772 36.1541476, -95.9685552 36.1541397, -95.9685552 36.1540893, -95.96803389999999 36.1540853, -95.9679443 36.1540848, -95.9678586 36.1540844, -95.9671956 36.154081, -95.96711740000002 36.1540867, -95.9671183 36.1540142, -95.9671203 36.15384739999999, -95.9670407 36.1538451, -95.9670412 36.1536843, -95.9670419 36.1534849, -95.9670424 36.1533277)","(36.158146299999984, -95.9947976)","(36.1533277, -95.9670424)"
