cbg_id,store_id,rank,distance,geometry,Origin,Destination
518100458071,33,0,839.907,"LINESTRING (-76.1148726 36.8194965, -76.1149765 36.8186329, -76.1138646 36.8184989, -76.1130702 36.8185571, -76.112641 36.818447, -76.111851 36.818541, -76.1118693 36.8178206, -76.1115753 36.8178161, -76.1116055 36.8169569, -76.1113812 36.8169502, -76.1110024 36.8169389, -76.1105926 36.8163245)","(36.8194965, -76.1148726)","(36.8163245, -76.1105926)"
518100458071,36,1,1357.9,"LINESTRING (-76.1148726 36.8194965, -76.11515799999999 36.819218, -76.115419 36.818912, -76.1155002 36.8186533, -76.11610400000001 36.81871, -76.116929 36.818881, -76.11742 36.819094, -76.118227 36.818287, -76.118809 36.818651, -76.1191419 36.8188599, -76.11937829999999 36.8190083, -76.119781 36.819261, -76.11988100000001 36.819324, -76.12036209999999 36.8196286, -76.1207837 36.8198903, -76.1212367 36.82017, -76.12167669999999 36.8204481, -76.12177680000001 36.820511, -76.1222053 36.8207787, -76.1233065 36.8214681, -76.12454 36.822247, -76.1246196 36.8222975, -76.12538499999999 36.822788, -76.12575099999999 36.823022, -76.1264372 36.823429, -76.126364 36.8235105)","(36.8194965, -76.1148726)","(36.8235105, -76.126364)"
518100462201,26,0,636.585,"LINESTRING (-76.21480680000001 36.8130398, -76.2143071 36.8122723, -76.214235 36.812106, -76.21410899999999 36.811778, -76.2140311 36.8112317, -76.214062 36.81117, -76.21598059999999 36.8116349, -76.21601 36.811519, -76.2160602 36.8113577, -76.2161335 36.81123419999999, -76.2162364 36.811061, -76.21633009999999 36.8109032, -76.2164302 36.8107347, -76.2165224 36.8105795, -76.21662240000001 36.8104112, -76.21671310000001 36.81025850000001, -76.2168114 36.810093, -76.2169052 36.8099351, -76.2170053 36.8097666)","(36.8130398, -76.2148068)","(36.8097666, -76.2170053)"
518100462201,27,1,857.688,"LINESTRING (-76.21480680000001 36.8130398, -76.2143071 36.8122723, -76.214235 36.812106, -76.21340280000001 36.8123141, -76.21239679999999 36.8126183, -76.21080600000001 36.813357, -76.209552 36.813029, -76.209271 36.812957, -76.2085929 36.8128367, -76.2086419 36.81218509999999, -76.2085512 36.8119941, -76.20760509999999 36.8119048)","(36.8130398, -76.2148068)","(36.8119048, -76.2076051)"
518100428012,40,0,1348.834,"LINESTRING (-76.08560900000001 36.831114, -76.086583 36.831544, -76.087389 36.831776, -76.08822000000001 36.83202, -76.088239 36.834074, -76.088571 36.834883, -76.0888033 36.8355705, -76.0889265 36.8358713, -76.089027 36.836117, -76.08919710000001 36.8365341, -76.089399 36.83698, -76.0894388 36.8370665, -76.0895617 36.83733320000001, -76.089797 36.837845, -76.0898925 36.8380764, -76.089913 36.838126, -76.08994079999999 36.8382148, -76.09012210000002 36.8395257, -76.0898454 36.8395262, -76.0900223 36.8403188, -76.0899888 36.8403233, -76.089821 36.8403459, -76.0897904 36.84035, -76.08960860000001 36.84037450000001, -76.0895927 36.8403766, -76.0893844 36.8404047, -76.089168 36.8404338, -76.0889652 36.8404612, -76.0887599 36.8404888)","(36.831114, -76.085609)","(36.8404888, -76.0887599)"
518100428012,44,1,1691.067,"LINESTRING (-76.08560900000001 36.831114, -76.086583 36.831544, -76.087389 36.831776, -76.08822000000001 36.83202, -76.088239 36.834074, -76.088571 36.834883, -76.0888033 36.8355705, -76.0889265 36.8358713, -76.089027 36.836117, -76.08919710000001 36.8365341, -76.089399 36.83698, -76.0894388 36.8370665, -76.0895617 36.83733320000001, -76.089797 36.837845, -76.0898925 36.8380764, -76.089913 36.838126, -76.08994079999999 36.8382148, -76.09012210000002 36.8395257, -76.0898454 36.8395262, -76.0900223 36.8403188, -76.0899888 36.8403233, -76.09010809999999 36.840837, -76.0899399 36.8408642, -76.08990729999999 36.8408695, -76.08970669999999 36.8409019, -76.0895056 36.8409345, -76.0894765 36.8409392, -76.0892944 36.8409687, -76.0892812 36.8409708, -76.08909730000001 36.8410006, -76.08907139999999 36.8410048, -76.0889234 36.8410288, -76.08889619999999 36.8410332, -76.08879840000002 36.841049, -76.0886861 36.8410672, -76.0885141 36.841095, -76.0884817 36.8411003, -76.08826070000001 36.8411361, -76.0883012 36.8417091, -76.08784540000001 36.84177480000001, -76.08744179999999 36.841833, -76.08650900000001 36.84196810000001)","(36.831114, -76.085609)","(36.84196810000001, -76.086509)"
518100446003,63,0,2571.24,"LINESTRING (-76.001549 36.861848, -76.001429 36.861035, -76.0009798 36.8598193, -75.999309 36.860163, -75.99923939999999 36.85990610000001, -75.99920299999999 36.8597664, -75.996627 36.8584809, -75.99596099999999 36.858846, -75.9954544 36.8590763, -75.9938994 36.85916119999999, -75.9928372 36.8586031, -75.991579 36.8582124, -75.990976 36.858053, -75.9909088 36.857975, -75.9906553 36.8575327, -75.98912919999999 36.8577973, -75.9890736 36.8578069, -75.98903199999999 36.8576332, -75.98892119999999 36.8575312, -75.988755 36.857558, -75.9887318 36.8574765, -75.98869990000001 36.8573646, -75.9872668 36.8576632, -75.9871921 36.85767709999999, -75.9849792 36.8581292, -75.9842493 36.8581269, -75.9837158 36.8578557, -75.9826473 36.8575404, -75.98195389999999 36.8576491, -75.98179500000001 36.857674, -75.9816864 36.8576932, -75.9810358 36.8578084, -75.980985 36.8577264, -75.9809017 36.85774, -75.98080179999999 36.8573636, -75.9807675 36.8572409, -75.980667 36.856881, -75.98047699999999 36.856182)","(36.861848, -76.001549)","(36.856182, -75.980477)"
518100446003,43,1,2770.33,"LINESTRING (-76.001549 36.861848, -76.001429 36.861035, -76.0009798 36.8598193, -76.0013416 36.8596948, -76.002077 36.859327, -75.99932459999999 36.85666539999998, -75.9989738 36.8565722, -75.9979475 36.856263, -75.9972886 36.8555954, -75.997248 36.85547, -75.997152 36.855116, -75.997057 36.85478, -75.996905 36.85432, -75.99687900000001 36.854213, -75.996858 36.854088, -75.996843 36.853984, -75.996297 36.854092, -75.9960435 36.8539187, -75.995807 36.853757, -75.995396 36.853479, -75.995003 36.853331, -75.9949246 36.8531708, -75.99473570000001 36.8527761, -75.9946175 36.8524577, -75.994603 36.852412, -75.994505 36.852068, -75.9944031 36.8514211, -75.994389 36.8511085, -75.99436799999999 36.850379, -75.994347 36.849622, -75.994333 36.849069, -75.994319 36.848605, -75.99432299999999 36.84781, -75.99436 36.847652, -75.9951533 36.8459299, -75.9953594 36.8454917, -75.9957754 36.8445818, -75.995833 36.844433, -75.99587020000001 36.8443092, -75.996072 36.843138, -75.996105 36.842494, -75.99613650000001 36.8419378, -75.99614200000001 36.8418613, -75.9961504 36.8417436, -75.996004 36.8417361, -75.9959166 36.8417316, -75.9954098 36.8417063, -75.9949615 36.84170490000001)","(36.861848, -76.001549)","(36.84170490000001, -75.9949615)"
518100410042,55,0,338.976,"LINESTRING (-76.1393949 36.84578, -76.1391708 36.8458046, -76.138926 36.8458165, -76.1389255 36.8459812, -76.137972 36.84597, -76.13778619999999 36.8459672, -76.1377176 36.8459661, -76.13751499999999 36.845963, -76.13691900000001 36.845958, -76.13660900000001 36.845956, -76.1359594 36.8459443, -76.1359712 36.8458126)","(36.84578, -76.1393949)","(36.8458126, -76.1359712)"
518100410042,53,1,406.732,"LINESTRING (-76.1393949 36.84578, -76.13963680000001 36.8457278, -76.1398428 36.84567689999999, -76.14010570000001 36.8455911, -76.140213 36.845741, -76.141059 36.845447, -76.142386 36.845223, -76.14255799999999 36.845225, -76.142506 36.845087, -76.14292829999999 36.84496379999999, -76.14297259999999 36.8445953)","(36.84578, -76.1393949)","(36.8445953, -76.1429726)"
