cbg_id,store_id,rank,distance,geometry,Origin,Destination
110010001011,34,0,162.72,"LINESTRING (-77.0546446 38.9086331, -77.0546823 38.9086282, -77.0546916 38.9093134, -77.0547593 38.9093103, -77.0548225 38.9093101, -77.0548433 38.9093211, -77.0548479 38.9093847, -77.0548604 38.9094465, -77.05550289999999 38.90944779999999)","(38.9086331, -77.0546446)","(38.90944779999999, -77.0555029)"
110010001011,33,1,656.924,"LINESTRING (-77.0546446 38.9086331, -77.05420719999999 38.9087155, -77.0539517 38.9089031, -77.0527488 38.9094236, -77.0525719 38.9095693, -77.0525501 38.90956760000001, -77.0524351 38.9095734, -77.0523225 38.9095794, -77.0517617 38.9095776, -77.04947249999999 38.9095729, -77.04942269999999 38.9095251, -77.0493409 38.9095444, -77.0492315 38.9095625, -77.0490659 38.9095624, -77.04892220000001 38.9095624, -77.04888099999999 38.9095624, -77.04879769999999 38.9095623, -77.0486969 38.9095622, -77.04870289999999 38.9092027, -77.0481717 38.909201, -77.0481711 38.9092435, -77.04835970000001 38.9092414)","(38.9086331, -77.0546446)","(38.9092414, -77.0483597)"
110010001021,39,0,830.874,"LINESTRING (-77.0610095 38.9142407, -77.06134710000001 38.9134845, -77.06206330000001 38.9131548, -77.06212170000001 38.9131148, -77.062185 38.913129, -77.0630096 38.913353, -77.0631236 38.9133881, -77.0638835 38.9136125, -77.0641914 38.91371, -77.0642714 38.9137232, -77.06435260000001 38.9137366, -77.0666088 38.91379709999998, -77.06671780000001 38.9137938, -77.0668465 38.9140364, -77.0669511 38.914223, -77.0671636 38.914623, -77.06721 38.91470730000001, -77.0672419 38.9147686, -77.06728150000001 38.9148414, -77.0675425 38.9153208, -77.0677053 38.9156066, -77.06775020000001 38.9156833)","(38.9142407, -77.0610095)","(38.9156833, -77.0677502)"
110010001021,43,1,956.962,"LINESTRING (-77.0610095 38.9142407, -77.06103969999999 38.9143299, -77.0615705 38.9147032, -77.06150270000001 38.9151894, -77.062183 38.9156491, -77.0625778 38.9157903, -77.0631691 38.915938, -77.06450820000001 38.9161567, -77.0660639 38.9174253, -77.06735810000001 38.9175609, -77.0673894 38.9175381, -77.0678028 38.9173219, -77.0678606 38.9172948, -77.06810110000001 38.9171819, -77.0681556 38.91724249999999, -77.0683545 38.9171508, -77.06864179999999 38.9170184, -77.06870859999999 38.9170952, -77.0687252 38.917115)","(38.9142407, -77.0610095)","(38.917115, -77.0687252)"
110010001022,34,0,462.991,"LINESTRING (-77.0608033 38.9093156, -77.0593166 38.90933480000001, -77.0592327 38.9093358, -77.0591263 38.909337, -77.0582794 38.9093463, -77.05818480000001 38.9093473, -77.05809720000001 38.9093481, -77.0571953 38.9093602, -77.0571115 38.9093568, -77.05700950000001 38.9093545, -77.05569560000001 38.9093733, -77.0556483 38.9094375, -77.055576 38.9094502, -77.05550289999999 38.90944779999999)","(38.9093156, -77.0608033)","(38.90944779999999, -77.0555029)"
110010001022,39,1,1071.883,"LINESTRING (-77.0608033 38.9093156, -77.0613515 38.9093077, -77.0613807 38.9093551, -77.0618365 38.9104242, -77.0618516 38.9104957, -77.06188659999999 38.9105512, -77.06231029999999 38.9114992, -77.0629813 38.9130656, -77.0630336 38.913207, -77.0631265 38.9132343, -77.0632212 38.9132629, -77.06369479999999 38.91341, -77.0641432 38.9135437, -77.0641985 38.9135587, -77.064255 38.913574, -77.0643015 38.9136033, -77.0643276 38.9136691, -77.06520329999999 38.9137039, -77.0657173 38.9137212, -77.06657010000001 38.9137303, -77.0666088 38.91379709999998, -77.06671780000001 38.9137938, -77.0668465 38.9140364, -77.0669511 38.914223, -77.0671636 38.914623, -77.06721 38.91470730000001, -77.0672419 38.9147686, -77.06728150000001 38.9148414, -77.0675425 38.9153208, -77.0677053 38.9156066, -77.06775020000001 38.9156833)","(38.9093156, -77.0608033)","(38.9156833, -77.0677502)"
110010001023,25,0,967.401,"LINESTRING (-77.0610507 38.9014547, -77.0610253 38.9015109, -77.06114549999999 38.9016048, -77.0611688 38.9016529, -77.061142 38.9017473, -77.0611411 38.9023518, -77.0611409 38.90245619999999, -77.061075 38.9024576, -77.0610552 38.902458, -77.06019089999999 38.9024768, -77.0601058 38.9024786, -77.0600278 38.9024774, -77.05957770000001 38.9024708, -77.059175 38.9024694, -77.0591086 38.9024638, -77.059028 38.9024631, -77.058288 38.9024341, -77.05828390000002 38.9024737, -77.058285 38.9025024, -77.05632439999999 38.9024194, -77.05609010000001 38.902418, -77.05533 38.9024926, -77.0548352 38.902496, -77.0534109 38.9024964, -77.0534117 38.9025742, -77.05341180000001 38.90265429999999, -77.0534103 38.9026948, -77.0533882 38.9027178, -77.0533836 38.90291, -77.0533095 38.9029097, -77.0533071 38.9034975, -77.0533028 38.9036569, -77.05329930000002 38.90381719999998, -77.0532176 38.9038211, -77.0531987 38.9038052)","(38.9014547, -77.0610507)","(38.9038052, -77.0531987)"
110010001023,20,1,1203.742,"LINESTRING (-77.0610507 38.9014547, -77.0610253 38.9015109, -77.0604246 38.9012784, -77.06006480000001 38.9012077, -77.0591577 38.9009237, -77.0589887 38.900921, -77.058922 38.9009071, -77.0586778 38.9008552, -77.0584379 38.9008042, -77.058046 38.901018, -77.05734579999999 38.9009133, -77.0572605 38.9008678, -77.0571908 38.9008402, -77.05708060000001 38.9007972, -77.0568645 38.90069739999998, -77.05681989999999 38.90074049999998, -77.0566939 38.90067369999998, -77.0565094 38.9006775, -77.0564567 38.9006761, -77.05609250000001 38.9006752, -77.0560795 38.9005347, -77.05590119999999 38.9004372, -77.0542423 38.8995031, -77.0539031 38.8993768, -77.0534449 38.89948339999999, -77.05339960000001 38.8994688, -77.0531936 38.89951479999998, -77.05310880000002 38.8995786, -77.0529494 38.8996553, -77.05286460000001 38.8996515, -77.0527805 38.8996491, -77.0523322 38.9001211, -77.05187789999999 38.90062, -77.0517699 38.9006205, -77.0515109 38.900632, -77.0514283 38.9006296, -77.0513473 38.9006276, -77.0513469 38.9006381, -77.0513425 38.9007636, -77.0508816 38.9007625, -77.0506985 38.9007625, -77.0502852 38.9007784, -77.050118 38.9007777, -77.0499858 38.9007777, -77.0499859 38.9008103, -77.04932429999999 38.9007922)","(38.9014547, -77.0610507)","(38.9007922, -77.0493243)"
110010002011,39,0,1317.734,"LINESTRING (-77.0760622 38.9098698, -77.0759903 38.9102252, -77.0759894 38.9103711, -77.0758711 38.9103698, -77.0758364 38.91045709999999, -77.0756846 38.9105127, -77.07430100000001 38.91042559999999, -77.0742724 38.9109572, -77.0742437 38.9115916, -77.0742151 38.9121169, -77.0742139 38.9121641, -77.0736462 38.9123026, -77.0732696 38.9124266, -77.0732651 38.9125126, -77.07298609999999 38.9125555, -77.07277430000001 38.91254669999999, -77.0727794 38.9125982, -77.0727717 38.9126659, -77.072693 38.9126751, -77.0726154 38.91267469999998, -77.07263759999999 38.9135171, -77.0726272 38.91358389999998, -77.0722466 38.9135942, -77.07118610000001 38.9136197, -77.0711142 38.9136226, -77.071039 38.9136262, -77.0693773 38.9136665, -77.0692865 38.9136688, -77.0691954 38.913671, -77.0688191 38.9136804, -77.0687831 38.9136813, -77.0679938 38.9136988, -77.06799460000001 38.9137537, -77.06790530000001 38.913757, -77.06783880000002 38.9137595, -77.06784570000001 38.9142076, -77.0678559 38.9148755, -77.067859 38.9150762, -77.0678509 38.9156325, -77.06775020000001 38.9156833)","(38.9098698, -77.0760622)","(38.9156833, -77.0677502)"
110010002011,43,1,1377.231,"LINESTRING (-77.0760622 38.9098698, -77.0759903 38.9102252, -77.0759894 38.9103711, -77.0758711 38.9103698, -77.0758364 38.91045709999999, -77.0756846 38.9105127, -77.07430100000001 38.91042559999999, -77.0742724 38.9109572, -77.0742437 38.9115916, -77.0742151 38.9121169, -77.0742139 38.9121641, -77.0736462 38.9123026, -77.0732696 38.9124266, -77.0732651 38.9125126, -77.07298609999999 38.9125555, -77.07277430000001 38.91254669999999, -77.0727794 38.9125982, -77.0727717 38.9126659, -77.072693 38.9126751, -77.0726154 38.91267469999998, -77.07263759999999 38.9135171, -77.0726272 38.91358389999998, -77.0722466 38.9135942, -77.072249 38.9136526, -77.0722651 38.914046, -77.0722844 38.9144374, -77.0712334 38.91446920000001, -77.07123369999999 38.9145276, -77.0712345 38.91458239999999, -77.0711546 38.9145855, -77.0711716 38.9149801, -77.0711874 38.91536510000001, -77.07111380000001 38.9153675, -77.07111310000001 38.9154382, -77.0711125 38.91550139999999, -77.0702916 38.9155171, -77.07022540000001 38.915521, -77.070156 38.9155252, -77.0701638 38.916516, -77.0699664 38.9165245, -77.0699678 38.91658249999998, -77.0694956 38.916604, -77.06941569999999 38.9166077, -77.0693275 38.9166132, -77.06932879999999 38.9166669, -77.06933119999999 38.9167157, -77.0689193 38.9170071, -77.06892809999999 38.9170182, -77.06883259999999 38.9170633, -77.0687252 38.917115)","(38.9098698, -77.0760622)","(38.917115, -77.0687252)"
