cbg_id,store_id,rank,distance,geometry,Origin,Destination
201730059003,0,0,1825.041,"LINESTRING (-97.3158328 37.6087274, -97.315832 37.608009, -97.31699399999999 37.608011, -97.3171656 37.60801179999999, -97.31811500000001 37.608016, -97.31925200000001 37.608018, -97.31948989999999 37.60801819999999, -97.3197132 37.6080184, -97.320381 37.608019, -97.321511 37.608022, -97.32198200000001 37.6080285, -97.3224014 37.6080311, -97.32265630000001 37.6080313, -97.3234205 37.6080569, -97.32454029999998 37.6080273, -97.3266175 37.6080503, -97.32687530000001 37.60806319999999, -97.3283512 37.6080735, -97.3300728 37.6080322, -97.33119720000001 37.6079402, -97.3320653 37.6079273, -97.3320559 37.608062, -97.33216880000001 37.6080654, -97.33288469999999 37.6080875, -97.33340469999999 37.6081771, -97.33341979999999 37.6082493, -97.3336425 37.6089027, -97.33388429999999 37.6089005, -97.33390989999999 37.60940810000001)","(37.6087274, -97.3158328)","(37.60940810000001, -97.3339099)"
201730059003,9,1,5289.416,"LINESTRING (-97.3158328 37.6087274, -97.315834 37.609825, -97.315833 37.610322, -97.315832 37.610741, -97.315832 37.611625, -97.3158492 37.61195819999999, -97.31584489999999 37.61335809999999, -97.315839 37.615303, -97.3158335 37.6161229, -97.315837 37.617125, -97.31583790000001 37.6176499, -97.31583999999999 37.618956, -97.3158402 37.6193296, -97.31584100000001 37.620773, -97.31583989999999 37.6216142, -97.31583759999999 37.6220635, -97.3158363 37.6223173, -97.3158348 37.6225968, -97.3158358 37.6227134, -97.315838 37.6229607, -97.3158397 37.6231615, -97.315848 37.623851, -97.3158554 37.6244967, -97.31587570000001 37.6247174, -97.3159193 37.6249119, -97.3160721 37.6255927, -97.316101 37.6257213, -97.31662649999998 37.6284561, -97.3168956 37.6298283, -97.31694760000001 37.6301844, -97.31705530000001 37.6304712, -97.31706699999999 37.630709, -97.31711300000001 37.631438, -97.317123 37.632148, -97.3171203 37.6323121, -97.317111 37.632883, -97.31710200000001 37.633605, -97.31710579999999 37.6340301, -97.317115 37.635041, -97.31711970000001 37.6355289, -97.317122 37.636475, -97.317116 37.637389, -97.31711559999999 37.6374416, -97.3171117 37.6379182, -97.317109 37.638258, -97.318298 37.638257, -97.318866 37.6395, -97.318721 37.639989, -97.318718 37.640867, -97.318715 37.641594, -97.318713 37.642332, -97.31927899999999 37.64233, -97.3198694 37.6423276, -97.32025729999999 37.6423246, -97.3206486 37.64232250000001, -97.32127800000001 37.642319, -97.321279 37.643344, -97.32128 37.64414, -97.32218 37.64414, -97.323905 37.644625, -97.326384 37.645163, -97.32638799999999 37.645913, -97.32640499999999 37.6478745, -97.326347 37.6498064)","(37.6087274, -97.3158328)","(37.6498064, -97.326347)"
201730095043,54,0,1480.371,"LINESTRING (-97.44941300000001 37.719124, -97.4510346 37.7191135, -97.4503818 37.7201823, -97.4503014 37.7202232, -97.450346 37.720287, -97.45038719999999 37.720346, -97.450625 37.721407, -97.451668 37.721397, -97.45169 37.722902, -97.45489000000001 37.722843, -97.456909 37.722805, -97.4575383 37.7227943, -97.45826599999999 37.722782, -97.45898699999999 37.72277, -97.4595106 37.7227613, -97.4598427 37.7227558, -97.4599691 37.7227534, -97.4606395 37.7227409)","(37.719124, -97.449413)","(37.7227409, -97.4606395)"
201730095043,41,1,1602.907,"LINESTRING (-97.44941300000001 37.719124, -97.4510346 37.7191135, -97.45103229999999 37.7183215, -97.4509746 37.7157832, -97.4501534 37.7156517, -97.4500554 37.71563019999999, -97.44895 37.715029, -97.44846699999999 37.714312, -97.448256 37.712015, -97.44810099999999 37.711167, -97.44809810000001 37.7103268, -97.4480873 37.7093787, -97.4480853 37.7089005, -97.44808500000001 37.708743, -97.44626909999999 37.7087566)","(37.719124, -97.449413)","(37.7087566, -97.4462691)"
201730059001,1,0,3927.005,"LINESTRING (-97.308727 37.626555, -97.30535759999999 37.6246703, -97.3051974 37.6246621, -97.306359 37.6227354, -97.30636029999999 37.62261179999999, -97.30192099999999 37.622598, -97.29649000000001 37.620435, -97.294374 37.62029859999998, -97.294166 37.620293, -97.2942 37.620455, -97.29454870000001 37.6220363, -97.2946635 37.622543, -97.294676 37.6225963, -97.2947918 37.6230711, -97.2957457 37.6266991, -97.29664459999999 37.6281648, -97.29698209999999 37.6285752, -97.298051 37.629739, -97.299379 37.631126, -97.3016274 37.6334165, -97.30196479999999 37.6340438, -97.30133549999999 37.6340445, -97.30041660000001 37.6340455, -97.3003861 37.6344391, -97.3003674 37.6347711, -97.30035100000001 37.635064, -97.30022 37.6350645, -97.3002157 37.6352647, -97.299803 37.63526550000001)","(37.626555, -97.308727)","(37.63526550000001, -97.299803)"
201730059001,9,1,4196.393,"LINESTRING (-97.308727 37.626555, -97.308913 37.626558, -97.3103497 37.6267473, -97.3134632 37.62666659999999, -97.31512429999999 37.62601620000002, -97.3159314 37.62560529999999, -97.3160721 37.6255927, -97.316101 37.6257213, -97.31662649999998 37.6284561, -97.3168956 37.6298283, -97.31694760000001 37.6301844, -97.31705530000001 37.6304712, -97.31706699999999 37.630709, -97.31711300000001 37.631438, -97.317123 37.632148, -97.3171203 37.6323121, -97.317111 37.632883, -97.31710200000001 37.633605, -97.31710579999999 37.6340301, -97.317115 37.635041, -97.31711970000001 37.6355289, -97.317122 37.636475, -97.317116 37.637389, -97.31711559999999 37.6374416, -97.3171117 37.6379182, -97.317109 37.638258, -97.318298 37.638257, -97.318866 37.6395, -97.318721 37.639989, -97.318718 37.640867, -97.318715 37.641594, -97.318713 37.642332, -97.31927899999999 37.64233, -97.3198694 37.6423276, -97.32025729999999 37.6423246, -97.3206486 37.64232250000001, -97.32127800000001 37.642319, -97.321279 37.643344, -97.32128 37.64414, -97.32218 37.64414, -97.323905 37.644625, -97.326384 37.645163, -97.32638799999999 37.645913, -97.32640499999999 37.6478745, -97.326347 37.6498064)","(37.626555, -97.308727)","(37.6498064, -97.326347)"
201730057001,0,0,568.408,"LINESTRING (-97.33213720000001 37.6071383, -97.3327001 37.6071375, -97.33269940000001 37.607051, -97.3326988 37.6069703, -97.3326983 37.6069073, -97.332697 37.6068207, -97.3326958 37.6067393, -97.3326935 37.606587, -97.33269110000001 37.6064217, -97.3335393 37.6064047, -97.33389450000001 37.606413, -97.33389440000001 37.6078464, -97.3338978 37.6080302, -97.3338961 37.6081379, -97.33388429999999 37.6089005, -97.33390989999999 37.60940810000001)","(37.6071383, -97.3321372)","(37.60940810000001, -97.3339099)"
201730057001,2,1,4725.212,"LINESTRING (-97.33213720000001 37.6071383, -97.3327001 37.6071375, -97.33269940000001 37.607051, -97.3326988 37.6069703, -97.3326983 37.6069073, -97.332697 37.6068207, -97.3326958 37.6067393, -97.3326935 37.606587, -97.33269110000001 37.6064217, -97.3335393 37.6064047, -97.33389450000001 37.606413, -97.33389440000001 37.6078464, -97.3338978 37.6080302, -97.3338961 37.6081379, -97.33388429999999 37.6089005, -97.33390989999999 37.60940810000001, -97.3340027 37.6098379, -97.33405190000001 37.6099842, -97.3340578 37.6100262, -97.33406370000002 37.61006840000001, -97.3340721 37.6106139, -97.3340816 37.611234, -97.33408689999999 37.6115775, -97.3340889 37.61176449999999, -97.3340893 37.6118167, -97.3340884 37.6119458, -97.3340881 37.6120604, -97.33408460000001 37.6124956, -97.33408129999999 37.6129648, -97.33408460000001 37.613192, -97.334087 37.6133554, -97.3340965 37.6140025, -97.33410189999999 37.6143688, -97.3341054 37.6146056, -97.33410790000001 37.6147783, -97.33411030000001 37.614941, -97.3341147 37.6152444, -97.3341147 37.6153664, -97.3341162 37.6162005, -97.3341186 37.6176017, -97.33411940000001 37.6180961, -97.3341199 37.6184203, -97.3341205 37.61876139999998, -97.3341209 37.6190112, -97.3341217 37.6194617, -97.3341221 37.6196758, -97.3341223 37.6198401, -97.3341228 37.6201199, -97.33412309999999 37.6202865, -97.3341327 37.6217024, -97.334135 37.6220774, -97.3341355 37.622161, -97.3341362 37.6222817, -97.33413760000001 37.6225012, -97.33413830000001 37.6226059, -97.33498969999999 37.6226163, -97.337401 37.6226363, -97.3382216 37.6226449, -97.341105 37.625539, -97.3415964 37.6259343, -97.3457023 37.627682, -97.34909690000001 37.6279159, -97.3524616 37.6285668, -97.3525525 37.628931, -97.3525528 37.628964, -97.35256099999999 37.630148, -97.35256200000001 37.630223, -97.35256529999998 37.6306223, -97.35256769999999 37.6309168, -97.35257009999999 37.6312169, -97.35257230000001 37.6314828, -97.352576 37.631936, -97.352582 37.633333, -97.35258509999998 37.6338671, -97.352587 37.634203, -97.3525898 37.6344997, -97.3525964 37.635188, -97.3525949 37.6355715, -97.352597 37.6359802)","(37.6071383, -97.3321372)","(37.6359802, -97.352597)"
200150202071,25,0,7463.452,"LINESTRING (-97.15305650000001 37.6987075, -97.15303900000001 37.697634, -97.15303299999999 37.696462, -97.15303710000001 37.6958698, -97.1530346 37.6953874, -97.1530341 37.6952912, -97.153025 37.6940521, -97.15302440000001 37.6929897, -97.15302440000001 37.6928834, -97.1530259 37.6913197, -97.1530401 37.6901032, -97.1530418 37.6899708, -97.1530401 37.6892068, -97.1530412 37.6887341, -97.1530435 37.6877995, -97.1530422 37.6863077, -97.1530365 37.6860918, -97.153037 37.6860098, -97.1530444 37.6848466, -97.1530466 37.684778, -97.153029 37.6835173, -97.1530296 37.6834216, -97.1530473 37.6824689, -97.1530487 37.6823957, -97.153049 37.681841, -97.1530497 37.6804133, -97.15304980000001 37.6801514, -97.15304999999999 37.679531, -97.1621236 37.6795125, -97.166692 37.679487, -97.17125900000001 37.679472, -97.17125900000001 37.679335, -97.171261 37.678055, -97.171263 37.677107, -97.173498 37.677778, -97.174871 37.677809, -97.176545 37.677826, -97.17702 37.676986, -97.1786998 37.6768427, -97.17977729999998 37.676837, -97.1811288 37.6767035, -97.1835189 37.6755633, -97.1845498 37.6751192, -97.18562919999999 37.6750962, -97.1857351 37.6750968, -97.1873298 37.674719, -97.1873727 37.6747856, -97.18953850000001 37.6744874, -97.1896843 37.6745089, -97.1950519 37.677245, -97.19861849999998 37.6788571, -97.19877200000001 37.6788621, -97.20308180000001 37.6788806, -97.20317379999999 37.678195, -97.20321079999999 37.6781953, -97.2033222 37.67819469999998, -97.20391549999998 37.6781721, -97.20412279999999 37.6781318, -97.20432270000001 37.6781147, -97.2045348 37.6781039)","(37.6987075, -97.1530565)","(37.6781039, -97.2045348)"
200150202071,58,1,7760.481,"LINESTRING (-97.15305650000001 37.6987075, -97.1530612 37.7000444, -97.1530633 37.7001505, -97.15304279999999 37.703145, -97.15303560000001 37.7043372, -97.15302250000001 37.70634890000002, -97.153015 37.708678, -97.1554292 37.7086842, -97.16015419999999 37.708682, -97.1620044 37.7086747, -97.16404900000001 37.708671, -97.16497200000001 37.708671, -97.16686319999999 37.708671, -97.167326 37.708671, -97.16729599999999 37.710316, -97.168843 37.710295, -97.16888710000001 37.7103145, -97.17023399999999 37.710911, -97.17130299999999 37.711086, -97.171318 37.712515, -97.171317 37.712925, -97.171323 37.7146966, -97.17132599999999 37.714881, -97.171339 37.71576309999998, -97.18964620000001 37.715721, -97.199021 37.7156825, -97.20787760000002 37.7156647, -97.2078762 37.7161314, -97.20788659999999 37.7173163, -97.20788240000002 37.7174381, -97.208068 37.7174372, -97.20877739999999 37.7174346, -97.21018719999999 37.7175214, -97.2108763 37.71794679999999, -97.2110617 37.7181283, -97.2111812 37.7192159, -97.2109363 37.72023480000001, -97.2112826 37.7211496, -97.21140440000001 37.7213587, -97.2114229 37.7218213, -97.21141040000001 37.7220157, -97.2114409 37.7224772, -97.21144049999999 37.7231008, -97.21158859999998 37.7231004)","(37.6987075, -97.1530565)","(37.7231004, -97.21158859999998)"
