cbg_id,store_id,rank,distance,geometry,Origin,Destination
370670028091,68,0,4456.671,"LINESTRING (-80.3218755 36.2018572, -80.3215534 36.2018479, -80.32134840000001 36.201842, -80.3208805 36.2018337, -80.32090490000002 36.2009264, -80.32028939999999 36.2009139, -80.3160977 36.20080619999999, -80.31608780000001 36.1998, -80.3152319 36.1997454, -80.3147283 36.1992925, -80.3141998 36.1995921, -80.3138756 36.19977589999998, -80.3137054 36.1998724, -80.3131539 36.1993815, -80.3126603 36.198942, -80.31207499999999 36.198421, -80.31033499999999 36.19657, -80.31009380000002 36.1957555, -80.31004950000001 36.1955406, -80.310036 36.1954751, -80.3099655 36.1951335, -80.30985769999999 36.1946112, -80.309822 36.194438, -80.3097341 36.1939704, -80.3096977 36.1937767, -80.30965399999999 36.193544, -80.3096336 36.1934354, -80.3095276 36.1928713, -80.3095143 36.1928003, -80.3091812 36.19102739999999, -80.3091711 36.1909734, -80.3090627 36.1903963, -80.30895599999999 36.189828, -80.3089373 36.189731, -80.3088662 36.18936330000001, -80.30871190000001 36.1885653, -80.3086273 36.1881273, -80.3080049 36.1860843, -80.30753919999999 36.1855969, -80.3059281 36.1846753, -80.3056957 36.1845537, -80.3053384 36.1843669, -80.3050057 36.1841929, -80.303887 36.183469, -80.303854 36.1833724, -80.30380700000001 36.182505, -80.3038279 36.1817546, -80.303838 36.181393, -80.3038109 36.1810466, -80.30377340000001 36.1806953, -80.3037241 36.1804028, -80.30371529999999 36.1803505, -80.303617 36.179767, -80.303423 36.178568, -80.3033831 36.1783703, -80.303358 36.1782459, -80.303162 36.1772738, -80.3031565 36.1772468, -80.3030929 36.1769773, -80.30301040000001 36.1766435, -80.30294689999999 36.1763864, -80.30291099999999 36.176241, -80.3027901 36.1758075, -80.30268640000001 36.1754374, -80.3026672 36.1753692, -80.30259599999999 36.175116, -80.3025803 36.1750599, -80.3025004 36.1747735, -80.30241839999999 36.1744799, -80.3023137 36.1740707, -80.3022242 36.1737144, -80.3021869 36.1732799, -80.30220129999999 36.1726426, -80.3022034 36.1725938, -80.30222449999999 36.1721071, -80.3022481 36.17169)","(36.2018572, -80.3218755)","(36.17169, -80.3022481)"
370670028091,73,1,5621.69,"LINESTRING (-80.3218755 36.2018572, -80.3215534 36.2018479, -80.32134840000001 36.201842, -80.3208805 36.2018337, -80.32090490000002 36.2009264, -80.32028939999999 36.2009139, -80.3160977 36.20080619999999, -80.31608780000001 36.1998, -80.3152319 36.1997454, -80.3147283 36.1992925, -80.3141998 36.1995921, -80.3138756 36.19977589999998, -80.3137054 36.1998724, -80.31352149999999 36.1999772, -80.3132966 36.2001054, -80.312983 36.2002841, -80.31278330000001 36.2003979, -80.31243689999999 36.2005952, -80.31172309999999 36.201002, -80.3090816 36.2025071, -80.3081049 36.2015306, -80.306729 36.2001726, -80.30595150000002 36.1994052, -80.304751 36.198233, -80.30446999999999 36.197961, -80.3040311 36.1975236, -80.3031392 36.1966346, -80.3029659 36.1964619, -80.302657 36.196154, -80.30089390000001 36.1944919, -80.29995660000002 36.1939255, -80.2995162 36.1936689, -80.2990882 36.19344980000001, -80.2984288 36.19326370000001, -80.297466 36.1932701, -80.294605 36.193525, -80.290927 36.194328, -80.2870224 36.1953422, -80.2865822 36.1954561, -80.28501350000001 36.1960036, -80.2829849 36.196986, -80.2826925 36.1971233, -80.2824887 36.1972143, -80.2818437 36.1974643, -80.28137169999999 36.1976222, -80.2804914 36.1979116, -80.2792244 36.1983078, -80.27879350000001 36.1972671, -80.2787464 36.1970853, -80.2786902 36.196674, -80.2786874 36.1965207, -80.27869250000001 36.1962045, -80.2787056 36.1958074, -80.27872379999999 36.195205, -80.2787347 36.19362889999999, -80.2786753 36.193265, -80.27859920000002 36.1929783, -80.2785805 36.1929217, -80.2785212 36.1927556, -80.2784407 36.1925598, -80.27838079999999 36.1924263, -80.27835709999999 36.1923741, -80.2782995 36.1922472, -80.2781505 36.19191909999999, -80.2779534 36.191485, -80.2778137 36.1911773, -80.2775915 36.190688)","(36.2018572, -80.3218755)","(36.190688, -80.2775915)"
370670038032,30,0,2954.087,"LINESTRING (-80.28822099999999 36.056977, -80.2910581 36.0592206, -80.29287170000001 36.05947410000001, -80.2923026 36.0616601, -80.2923412 36.0620294, -80.29216030000001 36.0648352, -80.291837 36.065658, -80.2914828 36.0664944, -80.2907378 36.0679284, -80.2905404 36.0683064, -80.2903527 36.0687666, -80.2902869 36.0694317, -80.29024130000001 36.0699112, -80.2902124 36.0704972, -80.2902232 36.0710487, -80.29022980000001 36.07126630000001, -80.2902844 36.0720179, -80.29029160000002 36.0727217, -80.2902259 36.0733507, -80.2902084 36.0735185, -80.2901911 36.0736802, -80.29017279999999 36.07380950000002, -80.2900769 36.0747387, -80.29004089999999 36.0749359, -80.2899796 36.0752718, -80.2897858 36.0762211, -80.28962009999999 36.0770678, -80.28951189999999 36.0775545, -80.289406 36.078031, -80.2875676 36.0779744, -80.2869424 36.0779597, -80.28638580000001 36.0779455, -80.286119 36.077939, -80.2859326 36.0779393, -80.28588929999999 36.0779406)","(36.056977, -80.288221)","(36.0779406, -80.2858893)"
370670038032,9,1,3146.065,"LINESTRING (-80.28822099999999 36.056977, -80.28939099999999 36.056348, -80.291034 36.055898, -80.29179999999999 36.055875, -80.2931718 36.05583549999999, -80.293345 36.0565732, -80.29382649999999 36.05698, -80.29559380000001 36.0558695, -80.2961189 36.0557956, -80.2966081 36.05574689999999, -80.2981571 36.0556399, -80.29852339999999 36.0556407, -80.2990429 36.0556666, -80.30040700000001 36.055841, -80.3018694 36.0560966, -80.3028513 36.0563518, -80.3039247 36.0571617, -80.3040099 36.0572243, -80.3048641 36.0578652, -80.3072291 36.05908380000001, -80.3092386 36.0595541, -80.3092362 36.0599179, -80.3093449 36.0608093, -80.309432 36.061426, -80.30947930000001 36.0622259, -80.3094509 36.0622931, -80.3091802 36.0627527, -80.30944640000001 36.0629564, -80.3097666 36.0631315, -80.3106452 36.0637177, -80.31162430000001 36.0642752, -80.31218370000001 36.0645941, -80.3132391 36.0651607, -80.3133076 36.06505449999999, -80.3121563 36.06443079999998)","(36.056977, -80.288221)","(36.06443079999998, -80.3121563)"
370670029012,72,0,3261.791,"LINESTRING (-80.24667770000001 36.19181389999999, -80.2470304 36.1920614, -80.2472896 36.1922437, -80.2475975 36.19246039999999, -80.2482751 36.1929371, -80.24876070000001 36.1932796, -80.2522811 36.1945804, -80.25359779999999 36.1947007, -80.2541884 36.19475170000001, -80.25471899999999 36.1948868, -80.25475729999999 36.1949319, -80.25508240000001 36.1949657, -80.25513309999999 36.1949236, -80.2551538 36.1947711, -80.2551344 36.1947377, -80.2558332 36.1930823, -80.25731759999999 36.1909797, -80.258633 36.191583, -80.260882 36.189732, -80.26154409999999 36.1897974, -80.26164559999999 36.1897903, -80.26245910000002 36.1880046, -80.2633713 36.18742, -80.2634827 36.1873713, -80.26458049999999 36.1870371, -80.2646673 36.1870201, -80.2664891 36.1871456, -80.26673889999999 36.18697, -80.26809729999999 36.1875697, -80.2723012 36.1894813, -80.2741087 36.1898566)","(36.191813899999985, -80.2466777)","(36.1898566, -80.2741087)"
370670029012,71,1,3398.766,"LINESTRING (-80.24667770000001 36.19181389999999, -80.2470304 36.1920614, -80.2472896 36.1922437, -80.2475975 36.19246039999999, -80.2482751 36.1929371, -80.24876070000001 36.1932796, -80.2522811 36.1945804, -80.25359779999999 36.1947007, -80.2541884 36.19475170000001, -80.25471899999999 36.1948868, -80.25475729999999 36.1949319, -80.25508240000001 36.1949657, -80.25513309999999 36.1949236, -80.2551538 36.1947711, -80.2551344 36.1947377, -80.2558332 36.1930823, -80.25731759999999 36.1909797, -80.258633 36.191583, -80.260882 36.189732, -80.26154409999999 36.1897974, -80.26164559999999 36.1897903, -80.26245910000002 36.1880046, -80.2633713 36.18742, -80.2634827 36.1873713, -80.26458049999999 36.1870371, -80.2646673 36.1870201, -80.2664891 36.1871456, -80.26673889999999 36.18697, -80.26809729999999 36.1875697, -80.2723012 36.1894813, -80.27236259999999 36.1893402, -80.27240810000001 36.1892059, -80.2724046 36.1888418, -80.2724044 36.1888245, -80.27240159999999 36.1885357, -80.2730263 36.18859, -80.27387330000001 36.1885608, -80.2742221 36.1885488, -80.27418489999999 36.1882436)","(36.191813899999985, -80.2466777)","(36.1882436, -80.2741849)"
370670026041,66,0,664.455,"LINESTRING (-80.32678 36.157297, -80.327315 36.157545, -80.326688 36.158546, -80.3264356 36.15895039999999, -80.3260574 36.15955649999999, -80.32602 36.1596164, -80.325526 36.160408, -80.32612 36.160657, -80.3258893 36.160931, -80.3257541 36.1611018, -80.32595689999999 36.1611646, -80.32608930000001 36.1612352, -80.32626860000001 36.1613309, -80.3264561 36.161431, -80.32663100000001 36.16152429999999, -80.32682200000001 36.1616262, -80.32700749999999 36.1617327)","(36.157297, -80.32678)","(36.1617327, -80.3270075)"
370670026041,65,1,972.407,"LINESTRING (-80.32678 36.157297, -80.32387300000001 36.1568244, -80.32390700000001 36.15827579999998, -80.32385450000001 36.1589184, -80.323599 36.1595355, -80.3229719 36.1606291, -80.32241639999999 36.1603176, -80.3221254 36.1601554, -80.32192929999999 36.16004619999999, -80.3218181 36.1599842, -80.3216647 36.1598987, -80.3216115 36.1598691, -80.321399 36.159747, -80.32060009999999 36.1601473)","(36.157297, -80.32678)","(36.1601473, -80.3206001)"
370670009002,37,0,548.059,"LINESTRING (-80.2547514 36.0877189, -80.25477160000001 36.0877699, -80.2548278 36.0877543, -80.25488249999999 36.0877391, -80.2557777 36.0875443, -80.2562277 36.0875443, -80.25673810000001 36.0875442, -80.2567639 36.08681570000001, -80.2567655 36.0867689, -80.2567947 36.0859197, -80.2568093 36.0854916, -80.2574453 36.085517, -80.2574405 36.0854394, -80.25743430000001 36.0851206, -80.2573428 36.0851229, -80.2573428 36.085049, -80.2571734 36.0850459)","(36.0877189, -80.2547514)","(36.0850459, -80.2571734)"
370670009002,35,1,816.353,"LINESTRING (-80.2547514 36.0877189, -80.25477160000001 36.0877699, -80.2548278 36.0877543, -80.25488249999999 36.0877391, -80.2557777 36.0875443, -80.2562277 36.0875443, -80.25673810000001 36.0875442, -80.2567639 36.08681570000001, -80.2567655 36.0867689, -80.2567947 36.0859197, -80.2568093 36.0854916, -80.2574453 36.085517, -80.2574405 36.0854394, -80.25743430000001 36.0851206, -80.2573352 36.0846109, -80.2573364 36.0844975, -80.2573373 36.0844046, -80.2574103 36.084191, -80.257446 36.0834685, -80.257614 36.0824675)","(36.0877189, -80.2547514)","(36.0824675, -80.257614)"
